breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Don't Know,,Uwelu,,,"Water Scheme, Source within 100m",1337954641801.jpg,No,6.38570561 5.58319928 135.8000030517578 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Don't Know,1337954641801.jpg,water,Edo,edo_egor,17ba2e85-4b17-46e1-bd82-ef825194c3aa,5,Tap,outlet,,17ba2e85-4b17-46e1-bd82-ef825194c3aa,South-South
Functional,,Egor,,,"Water Scheme, Source further than 1km",1338038042661.jpg,Yes,6.38149314 5.57018651 112.30000305175781 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Yes,1338038042661.jpg,water,Edo,edo_egor,c9e5ee71-4fcf-4c6a-934b-5fff6db33b43,5,Tap,outlet,,c9e5ee71-4fcf-4c6a-934b-5fff6db33b43,South-South
Functional,,Egor,,,"Water Scheme, Source within 100m",1338034473357.jpg,Yes,6.37280454 5.5772428 105.5999984741211 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Yes,1338034473357.jpg,water,Edo,edo_egor,d56637c6-3517-4d52-bed2-905f97b837e8,4,Tap,outlet,,d56637c6-3517-4d52-bed2-905f97b837e8,South-South
Functional,,Ukpera,,,"Water Scheme, Source within 100m",1338131285373.jpg,Yes,6.34846976 5.55197058 90.19999694824219 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338131285373.jpg,water,Edo,edo_egor,3f815663-8583-4b06-87db-dcccf6634f29,2,Tap,outlet,,3f815663-8583-4b06-87db-dcccf6634f29,South-South
Functional,,Egor,,,"Water Scheme, Source within 100m",1338130128578.jpg,Yes,6.37548201 5.60094259 123.0999984741211 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338130128578.jpg,water,Edo,edo_egor,2bd13c8d-96fb-473b-8296-7e9233d69a65,6,Tap,outlet,,2bd13c8d-96fb-473b-8296-7e9233d69a65,South-South
Functional,,Evbuotubu,,,Stand Alone Water Point,1338030894845.jpg,Yes,6.33202505 5.57943325 98.9000015258789 5.0,False,Egor,182,182,182.0,,No,1338030894845.jpg,water,Edo,edo_egor,7f921956-bef6-489d-bc1f-5e6e109ad4b8,Ward 1,Unimproved Well,water_source,protected_dug_well,7f921956-bef6-489d-bc1f-5e6e109ad4b8,South-South
Functional,,Evareke,,,"Water Scheme, Source within 100m",1338124009850.jpg,Yes,6.35656559 5.59251803 116.0999984741211 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Yes,1338124009850.jpg,water,Edo,edo_egor,cacb3e0d-279d-4e40-b353-8bba0c0db983,7,Tap,outlet,,cacb3e0d-279d-4e40-b353-8bba0c0db983,South-South
Functional,,Ogida,,,Stand Alone Water Point,1338051638378.jpg,Yes,6.36297016 5.58942767 131.8000030517578 5.0,False,Egor,182,182,182.0,,No,1338051638378.jpg,water,Edo,edo_egor,a50c06cd-93cb-40b2-8c61-b3216d8bf28d,Ward 3,Unimproved Well,water_source,protected_dug_well,a50c06cd-93cb-40b2-8c61-b3216d8bf28d,South-South
Functional,,Egor,,,"Water Scheme, Source within 100m",1338035755156.jpg,Yes,6.37514236 5.57653583 114.4000015258789 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338035755156.jpg,water,Edo,edo_egor,99e6328e-42f4-4378-ab56-355738e40a28,4,Tap,outlet,,99e6328e-42f4-4378-ab56-355738e40a28,South-South
Functional,,Ologbo,,,"Water Scheme, Source within 100m",1337943074045.jpg,Yes,6.37595172 5.62936642 113.5 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1337943074045.jpg,water,Edo,edo_egor,ac6105b1-d062-4a90-bc5f-014fbeda6e56,Ward 8,Tap,outlet,,ac6105b1-d062-4a90-bc5f-014fbeda6e56,South-South
Functional,,Ogida,,,"Water Scheme, Source within 100m",1338126520387.jpg,Yes,6.35629783 5.58683745 110.30000305175781 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338126520387.jpg,water,Edo,edo_egor,cbfd17e0-4751-47bc-a981-d8c0d522530d,2,Tap,outlet,,cbfd17e0-4751-47bc-a981-d8c0d522530d,South-South
Functional,,Useh,,,Stand Alone Water Point,1338030545327.jpg,Yes,6.36642299 5.58167337 113.4000015258789 5.0,True,Egor,182,182,182.0,Diesel,No,1338030545327.jpg,water,Edo,edo_egor,eb73add4-e1a9-4649-bbeb-fcf7df24185d,3,Borehole,water_source,borehole_tube_well,eb73add4-e1a9-4649-bbeb-fcf7df24185d,South-South
Functional,,Useh,,,"Water Scheme, Source within 100m",1338030565269.jpg,Yes,6.36722103 5.58200529 113.19999694824219 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338030565269.jpg,water,Edo,edo_egor,cb843005-b278-47fc-a33f-d9671b972bd8,5,Tap,outlet,,cb843005-b278-47fc-a33f-d9671b972bd8,South-South
Mechanical Issue,,Useh,,,"Water Scheme, Source within 1km",1338127071031.jpg,No,6.36299964 5.58236944 115.5 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338127071031.jpg,water,Edo,edo_egor,24f6dd68-c49b-46f5-83c3-4d48c53e2c9e,3,Tap,outlet,,24f6dd68-c49b-46f5-83c3-4d48c53e2c9e,South-South
Functional,,Evbareke,,,"Water Scheme, Source within 100m",1338135224462.jpg,Yes,6.36380439 5.61130709 117.30000305175781 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338135224462.jpg,water,Edo,edo_egor,87a53de2-fac6-4825-9e3a-9e330da5521c,6,Tap,outlet,,87a53de2-fac6-4825-9e3a-9e330da5521c,South-South
Dry Well,,Evbuotubu,,,Stand Alone Water Point,1338031408535.jpg,No,6.33202756 5.57946792 97.30000305175781 5.0,False,Egor,182,182,182.0,,No,1338031408535.jpg,water,Edo,edo_egor,9994c499-7403-4bbf-8381-2326e9ce7599,Ward 1,Unimproved Well,water_source,protected_dug_well,9994c499-7403-4bbf-8381-2326e9ce7599,South-South
Functional,,Useh,,,"Water Scheme, Source within 100m",1338125701797.jpg,Yes,6.36176771 5.58497646 108.19999694824219 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Yes,1338125701797.jpg,water,Edo,edo_egor,d97da3a0-855e-4982-8402-fcba95b07941,3,Tap,outlet,,d97da3a0-855e-4982-8402-fcba95b07941,South-South
Mechanical Issue,,Uselu,,,"Water Scheme, Source within 100m",1337872138753.jpg,No,6.37341884 5.61204432 111.9000015258789 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1337872138753.jpg,water,Edo,edo_egor,8d9f62d4-0943-48bd-a13c-c77bab4deab6,Ward 8,Tap,outlet,,8d9f62d4-0943-48bd-a13c-c77bab4deab6,South-South
Functional,,Evbuotubu,,,Stand Alone Water Point,1338197249989.jpg,Yes,6.32878757 5.57077797 94.5 5.0,False,Egor,182,182,182.0,,No,1338197249989.jpg,water,Edo,edo_egor,1bf0b590-6f5f-441f-aafd-b59461283b37,Ward 1,Unimproved Well,water_source,protected_dug_well,1bf0b590-6f5f-441f-aafd-b59461283b37,South-South
Functional,,Uwelu,,,"Water Scheme, Source within 100m",1338049731131.jpg,Yes,6.36991221 5.59553489 117.80000305175781 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338049731131.jpg,water,Edo,edo_egor,4b2e0320-808f-40df-9e9e-a71ba511f64c,5,Tap,outlet,,4b2e0320-808f-40df-9e9e-a71ba511f64c,South-South
Functional,,Okhokhugbo,,,"Water Scheme, Source within 100m",1338039668090.jpg,Yes,6.34833711 5.56539563 105.0999984741211 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1338039668090.jpg,water,Edo,edo_egor,1084a85a-a90b-4ae6-82cf-1df27b54af8a,Ward 1,Tap,outlet,,1084a85a-a90b-4ae6-82cf-1df27b54af8a,South-South
Functional,,Evbuotubu,,,Stand Alone Water Point,1338032146844.jpg,Yes,6.33151222 5.57937056 90.30000305175781 5.0,False,Egor,182,182,182.0,,No,1338032146844.jpg,water,Edo,edo_egor,e5af0dab-de88-4046-b8dc-550361880295,Ward 1,Unimproved Well,water_source,protected_dug_well,e5af0dab-de88-4046-b8dc-550361880295,South-South
Functional,,Egor,,,"Water Scheme, Source within 100m",1338034745325.jpg,Yes,6.37308924 5.57686057 102.4000015258789 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Don't Know,1338034745325.jpg,water,Edo,edo_egor,49c95057-ba36-4489-8c37-d1ac333a615c,4,Tap,outlet,,49c95057-ba36-4489-8c37-d1ac333a615c,South-South
Functional,,Uselu,,,"Water Scheme, Source within 100m",1337875233984.jpg,Yes,6.37296782 5.60939006 115.0 5.0,True,Egor,182,182,182.0,Tap (unknown lift),No,1337875233984.jpg,water,Edo,edo_egor,b489efd0-c3b7-47fc-af56-1ea822201567,8,Tap,outlet,,b489efd0-c3b7-47fc-af56-1ea822201567,South-South
Functional,,Egor,,,"Water Scheme, Source within 100m",1338032899327.jpg,Yes,6.37268994 5.5779636 116.5999984741211 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Yes,1338032899327.jpg,water,Edo,edo_egor,ffb55c41-9280-49e2-a3a0-c6715ecf3796,5,Tap,outlet,,ffb55c41-9280-49e2-a3a0-c6715ecf3796,South-South
Functional,,Uwelu,,,"Water Scheme, Source within 100m",1337955565118.jpg,Yes,6.38259628 5.58261921 141.60000610351563 5.0,True,Egor,182,182,182.0,Tap (unknown lift),Yes,1337955565118.jpg,water,Edo,edo_egor,70df732e-2106-47fd-8483-82d6d3724eac,5,Tap,outlet,,70df732e-2106-47fd-8483-82d6d3724eac,South-South
