breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Don't Know,,Uwalor oke,0.0622078271918,6.90132065438,"Water Scheme, Source within 1km",1347030083685.jpg,No,6.680422425270081 6.319606304168701 405.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347030083685.jpg,water,Edo,edo_esan_north_east,3d8f7706-3357-410b-86d0-3124e7d30f1e,9,Tap,outlet,,3d8f7706-3357-410b-86d0-3124e7d30f1e,South-South
Poorly Constructed,,UZEA,0.0304347981675,3.3760108931,"Water Scheme, Source within 100m",1347094109477.jpg,No,6.812129616737366 6.409664154052734 157.0 8.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347094109477.jpg,water,Edo,edo_esan_north_east,53446273-5f63-4d91-bdf9-7dbbe9393b2f,06,Tap,outlet,,53446273-5f63-4d91-bdf9-7dbbe9393b2f,South-South
Functional,,EBULEN,0.0453816128424,5.03398421801,"Water Scheme, Source within 100m",1347096353238.jpg,Yes,6.810150146484375 6.42451286315918 150.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347096353238.jpg,water,Edo,edo_esan_north_east,66036dc2-c721-479d-b454-f8374f8f9242,06,Tap,outlet,,66036dc2-c721-479d-b454-f8374f8f9242,South-South
Don't Know,,Ubierumu Oke,0.0294333920129,3.26539479701,"Water Scheme, Source further than 1km",1347022108423.jpg,No,6.6734379529953 6.286899447441101 378.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),Don't Know,1347022108423.jpg,water,Edo,edo_esan_north_east,c933e8f7-f817-4590-b047-df79d048654c,11,Tap,outlet,,c933e8f7-f817-4590-b047-df79d048654c,South-South
Functional,,AWO,0.029976719402,3.32548077802,Stand Alone Water Point,1347021420425.jpg,Yes,6.729780435562134 6.369452476501465 379.0 4.0,False,Esan North-East,200,200,199.0,Manual,No,1347021420425.jpg,water,Edo,edo_esan_north_east,b67c29c8-4e28-4ea4-931d-0dc5577d8af9,7,Unimproved Well,water_source,protected_dug_well,b67c29c8-4e28-4ea4-931d-0dc5577d8af9,South-South
Mechanical Issue,,Unuwazi,0.0062403751995,0.692269974154,"Water Scheme, Source within 100m",1347026205985.jpg,No,6.750631928443909 6.3181471824646 395.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347026205985.jpg,water,Edo,edo_esan_north_east,1e4ca580-94ef-490c-a1b2-fb903da75c00,1,Tap,outlet,,1e4ca580-94ef-490c-a1b2-fb903da75c00,South-South
Functional,,Unuwazi,0.0108412791107,1.20267087838,"Water Scheme, Source within 1km",1347111464511.jpg,Yes,6.745691299438477 6.31389319896698 411.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347111464511.jpg,water,Edo,edo_esan_north_east,52be17ff-6d7a-4145-919b-4442ea500822,1,Tap,outlet,,52be17ff-6d7a-4145-919b-4442ea500822,South-South
Poorly Constructed,,uzea,0.0463521273429,5.14163512072,"Water Scheme, Source within 1km",1347103265143.jpg,No,6.8105632066726685 6.4255160093307495 171.0 6.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347103265143.jpg,water,Edo,edo_esan_north_east,560e10ce-dd8f-4dfa-8e76-6a0800a7cfb8,6,Tap,outlet,,560e10ce-dd8f-4dfa-8e76-6a0800a7cfb8,South-South
Functional,,AWO,0.0301204192387,3.34142221168,"Water Scheme, Source within 100m",1347021682762.jpg,Yes,6.729721426963806 6.36982798576355 377.0 3.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347021682762.jpg,water,Edo,edo_esan_north_east,fe511536-4af4-4f79-a373-543d0280c647,7,Tap,outlet,,fe511536-4af4-4f79-a373-543d0280c647,South-South
Mechanical Issue,,Ivue,0.0131607828471,1.45999647255,"Water Scheme, Source within 100m",1347022646644.jpg,No,6.7363035678863525 6.26995325088501 464.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347022646644.jpg,water,Edo,edo_esan_north_east,db601a6c-c9b9-4ad9-b3af-dea99cb12b13,2,Tap,outlet,,db601a6c-c9b9-4ad9-b3af-dea99cb12b13,South-South
Mechanical Issue,,obeidu,0.0139314476658,1.54549039383,"Water Scheme, Source within 100m",1347024649839.jpg,No,6.736078262329102 6.27144992351532 494.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347024649839.jpg,water,Edo,edo_esan_north_east,59e64cc2-b31c-4f12-b68f-81385b1cca90,2,Tap,outlet,,59e64cc2-b31c-4f12-b68f-81385b1cca90,South-South
Don't Know,,ewoyi,0.0513921802,5.70137694883,"Water Scheme, Source further than 1km",1347023365614.jpg,No,6.694326996803284 6.301957368850708 422.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347023365614.jpg,water,Edo,edo_esan_north_east,89797ed8-2993-4ab4-9a13-4be28448f245,11,Tap,outlet,,89797ed8-2993-4ab4-9a13-4be28448f245,South-South
Mechanical Issue,,Uzenema,0.0108690737248,1.20575414578,"Water Scheme, Source within 100m",1347026578759.jpg,No,6.745771765708923 6.312498450279236 392.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347026578759.jpg,water,Edo,edo_esan_north_east,84ad2349-9387-4b71-948c-f9ab9980fe11,3,Tap,outlet,,84ad2349-9387-4b71-948c-f9ab9980fe11,South-South
Mechanical Issue,,Idumoza,0.0421741563732,4.67866683576,"Water Scheme, Source within 1km",1347026854162.jpg,No,6.713365316390991 6.29167377948761 425.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347026854162.jpg,water,Edo,edo_esan_north_east,e4be0e71-ee2c-4a99-bf44-72dd34a9e61b,11,Tap,outlet,,e4be0e71-ee2c-4a99-bf44-72dd34a9e61b,South-South
Don't Know,,Ebhoiyi,0.0483830786347,5.36748154579,"Water Scheme, Source further than 1km",1347023657121.jpg,No,6.7081403732299805 6.3148534297943115 441.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),No,1347023657121.jpg,water,Edo,edo_esan_north_east,ccf7cf46-0705-4f0f-b680-1fb6b03b9e3a,11,Tap,outlet,,ccf7cf46-0705-4f0f-b680-1fb6b03b9e3a,South-South
Under Construction,,Ebhoijie ,0.045217918013,5.01633307275,"Water Scheme, Source within 100m",1347025671224.jpg,No,6.712093949317932 6.300573348999023 426.0 4.0,True,Esan North-East,200,200,199.0,Tap (unknown lift),Don't Know,1347025671224.jpg,water,Edo,edo_esan_north_east,ced185bf-48e5-41bc-8a7e-047b9f266e78,11,Tap,outlet,,ced185bf-48e5-41bc-8a7e-047b9f266e78,South-South
