antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,1133.424248,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,ivianokpodi PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1345811802516.jpg,7.1397775411605835 6.599612832069397 297.0 4.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,True,False,False,False,Etsako East,213,213,213.0,False,True,True,True,True,False,False,False,False,False,FALSE,etsako_east,edo,south_south,2,2,,,0.0,,False,public,,True,1345811802516.jpg,145996,128.80966704,True,False,False,health,False,TRUE,Edo,False,True,148,TRUE,edo_etsako_east,False,f7cd0e6a-74b5-488d-950a-93f223778a7a,,,f7cd0e6a-74b5-488d-950a-93f223778a7a,South-South
False,1133.424248,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Pri Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1345805293537.jpg,7.0544238 6.56882367 46.400001525878906 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Etsako East,213,213,213.0,False,True,False,True,False,False,False,False,False,False,FALSE,etsako_east,edo,south_south,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1345805293537.jpg,145996,128.80966704,True,False,False,health,False,TRUE,Edo,False,True,148,FALSE,edo_etsako_east,False,ca80754c-9023-4472-956a-1edbbb2eb40f,,,ca80754c-9023-4472-956a-1edbbb2eb40f,South-South
False,1133.424248,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,,iviebua PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1345810176600.jpg,7.131816744804382 6.622679829597473 268.0 4.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,True,False,False,False,Etsako East,213,213,213.0,False,True,False,True,True,False,False,False,False,False,FALSE,etsako_east,edo,south_south,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1345810176600.jpg,145996,128.80966704,True,False,False,health,False,TRUE,Edo,False,True,148,FALSE,edo_etsako_east,False,7394f7ee-0477-4057-8c90-66df4cc85a55,,,7394f7ee-0477-4057-8c90-66df4cc85a55,South-South
False,1133.424248,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,Iddo primary health care center,TRUE,primaryhealthcarecentre,False,True,False,True,1346074295208.jpg,7.2595274448394775 6.341927647590637 318.0 3.0,False,True,FALSE,False,True,False,False,TRUE,True,True,False,False,False,False,False,False,Etsako East,213,213,213.0,False,False,True,True,True,False,False,False,False,False,FALSE,etsako_east,edo,south_south,0,0,0.0,0.0,1.0,0.0,False,public,,True,1346074295208.jpg,145996,128.80966704,False,False,False,health,True,TRUE,Edo,False,True,148,FALSE,edo_etsako_east,False,73a5c59a-4463-41d4-9c00-60ac7f07f81e,,,73a5c59a-4463-41d4-9c00-60ac7f07f81e,South-South
False,1133.424248,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,iviari,TRUE,primaryhealthcarecentre,False,True,False,True,1345801663748.jpg,7.036115527153015 6.540309190750122 41.0 6.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,True,False,False,False,Etsako East,213,213,213.0,False,True,False,True,False,False,False,False,False,False,FALSE,etsako_east,edo,south_south,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1345801663748.jpg,145996,128.80966704,True,False,False,health,True,TRUE,Edo,False,True,148,TRUE,edo_etsako_east,False,6ca7e91d-e2a0-4ca8-ac99-bc3101aba22e,,,6ca7e91d-e2a0-4ca8-ac99-bc3101aba22e,South-South
False,1133.424248,True,True,True,False,False,False,False,False,False,False,False,False,True,True,TRUE,False,,,True,True,False,True,True,False,,True,general hospital aganibode,TRUE,generalhospital,False,True,False,True,1346069991889.jpg,7.1141088008880615 6.665815114974976 185.0 4.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Etsako East,213,213,213.0,False,True,True,True,True,False,False,False,False,False,FALSE,etsako_east,edo,south_south,0,0,1.0,1.0,8.0,4.0,False,public,False,True,1346069991889.jpg,145996,128.80966704,True,False,False,health,True,TRUE,Edo,True,True,148,FALSE,edo_etsako_east,False,d75582b6-401f-4176-a2e9-5494b0755ff5,,,d75582b6-401f-4176-a2e9-5494b0755ff5,South-South
False,1133.424248,False,False,False,True,False,False,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,"Primary Health Clinic, Imiegba",TRUE,primaryhealthclinic,False,True,False,True,1345887069500.jpg,7.229406237602234 6.443776488304138 370.0 4.0,False,True,FALSE,False,True,True,False,TRUE,False,True,True,False,True,True,False,False,Etsako East,213,213,213.0,False,True,False,True,False,False,False,False,False,False,FALSE,etsako_east,edo,south_south,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1345887069500.jpg,145996,128.80966704,True,False,False,health,False,TRUE,Edo,False,False,148,FALSE,edo_etsako_east,False,ee763431-3961-4e85-b94f-9790b1d17643,,,ee763431-3961-4e85-b94f-9790b1d17643,South-South
False,1133.424248,False,False,True,True,False,True,False,True,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,,True,Imiekhuri primary health care center.,FALSE,primaryhealthcarecentre,False,True,False,True,1345888921217.jpg,7.248594760894775 6.277291774749756 474.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Etsako East,213,213,213.0,False,True,False,True,False,False,False,False,False,False,FALSE,etsako_east,edo,south_south,0,0,0.0,0.0,2.0,2.0,False,public,False,True,1345888921217.jpg,145996,128.80966704,,False,False,health,True,TRUE,Edo,False,True,148,FALSE,edo_etsako_east,False,52dd3029-b5d3-429c-a470-28009a58cd07,,,52dd3029-b5d3-429c-a470-28009a58cd07,South-South
False,1133.424248,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,Itukwi h/c,TRUE,primaryhealthcarecentre,False,True,False,True,1345889969425.jpg,7.218983173370361 6.447826623916626 331.0 3.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Etsako East,213,213,213.0,False,True,True,True,True,False,False,False,False,False,FALSE,etsako_east,edo,south_south,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1345889969425.jpg,145996,128.80966704,,False,False,health,False,TRUE,Edo,False,True,148,FALSE,edo_etsako_east,False,4ace4961-b618-452f-9452-a2dc57ce9167,,,4ace4961-b618-452f-9452-a2dc57ce9167,South-South
False,1133.424248,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Phc,TRUE,primaryhealthcarecentre,False,True,False,True,1345817622962.jpg,7.12797451 6.63740974 261.5 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,False,False,False,False,Etsako East,213,213,213.0,False,True,False,True,False,False,False,False,False,False,FALSE,etsako_east,edo,south_south,1,1,0.0,0.0,0.0,0.0,False,public,False,True,1345817622962.jpg,145996,128.80966704,True,False,False,health,False,TRUE,Edo,False,False,148,FALSE,edo_etsako_east,False,498fd38c-8626-4141-b32c-8c77a5f20995,,,498fd38c-8626-4141-b32c-8c77a5f20995,South-South
