breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Under Construction,,Usi,,,"Water Scheme, Source further than 1km",1342096966286.jpg,No,7.86872066 5.16577802 617.5999755859375 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1342096966286.jpg,water,Ekiti,ekiti_ido_osi,9a47f209-a479-47fa-b0aa-fca0e44d24ff,Usi,Tap,outlet,,9a47f209-a479-47fa-b0aa-fca0e44d24ff,Southwest
Poorly Constructed,,"Ilogbe Street, Ifaki Ekiti",,,"Water Scheme, Source further than 1km",1342004864618.jpg,No,7.79353914 5.23851399 606.2999877929688 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1342004864618.jpg,water,Ekiti,ekiti_ido_osi,dfb90bf5-7cab-4773-ae01-2242ea7d6901,02,Tap,outlet,,dfb90bf5-7cab-4773-ae01-2242ea7d6901,Southwest
Mechanical Issue,,Ilogbo Ekiti,,,"Water Scheme, Source further than 1km",1342172209873.jpg,No,7.85843262 5.151127 608.7000122070313 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1342172209873.jpg,water,Ekiti,ekiti_ido_osi,32ecb5dc-d096-47ec-8e7a-6fa5730777f9,Ilogbo,Tap,outlet,,32ecb5dc-d096-47ec-8e7a-6fa5730777f9,Southwest
Functional,,Iwore,,,"Water Scheme, Source further than 1km",1342013489123.jpg,Yes,7.7896963 5.24529298 598.5999755859375 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1342013489123.jpg,water,Ekiti,ekiti_ido_osi,d6d05798-22a8-4a0b-9cc6-d02c0cb2506e,1,Tap,outlet,,d6d05798-22a8-4a0b-9cc6-d02c0cb2506e,Southwest
Functional,,Ilogbo,,,Stand Alone Water Point,1342176787433.jpg,Yes,7.86608463 5.16064745 600.0 5.0,True,Ido Osi,299,299,299.0,Electric,No,1342176787433.jpg,water,Ekiti,ekiti_ido_osi,0f8ee3a3-b05c-4ce4-8532-cad01089e32f,Ilogbo,Borehole,water_source,borehole_tube_well,0f8ee3a3-b05c-4ce4-8532-cad01089e32f,Southwest
Under Construction,,2,,,"Water Scheme, Source further than 1km",1341919097354.jpg,No,7.84886131 5.18405698 597.0999755859375 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1341919097354.jpg,water,Ekiti,ekiti_ido_osi,7f610911-e8f1-4b63-9f3a-d2313fe97142,1,Tap,outlet,,7f610911-e8f1-4b63-9f3a-d2313fe97142,Southwest
Don't Know,,Orin,,,"Water Scheme, Source further than 1km",1342088376747.jpg,No,7.83198435 5.23877032 577.9000244140625 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1342088376747.jpg,water,Ekiti,ekiti_ido_osi,cb184724-e360-45b3-b41a-895699b7dba4,Orin/Ora,Tap,outlet,,cb184724-e360-45b3-b41a-895699b7dba4,Southwest
Functional,,Ora,,,"Water Scheme, Source further than 1km",1341992686446.jpg,Yes,7.82226682 5.21851191 578.4000244140625 5.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1341992686446.jpg,water,Ekiti,ekiti_ido_osi,e5693ce8-d72d-4103-813a-9e236f4bfdb5,Orin Ora,Tap,outlet,,e5693ce8-d72d-4103-813a-9e236f4bfdb5,Southwest
Functional,,Usi,,,Stand Alone Water Point,1342079689296.jpg,Yes,7.86722974 5.17121513 579.5999755859375 5.0,False,Ido Osi,299,299,299.0,Manual,No,1342079689296.jpg,water,Ekiti,ekiti_ido_osi,1cd19886-ed2d-4fa0-8423-e8e7d493205b,Usi,Unimproved Well,water_source,protected_dug_well,1cd19886-ed2d-4fa0-8423-e8e7d493205b,Southwest
Don't Know,,Osi Ekiti,,,"Water Scheme, Source further than 1km",1342008710997.jpg,No,7.79737299 5.17616464 606.5 3.0,True,Ido Osi,299,299,299.0,Tap (unknown lift),No,1342008710997.jpg,water,Ekiti,ekiti_ido_osi,390d1d03-11f5-4a38-a00f-422146713737,Osi,Tap,outlet,,390d1d03-11f5-4a38-a00f-422146713737,Southwest
