breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Don't Know,,Araromi,,,,1346153717358.jpg,No,7.49844949 5.23856106 389.0 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346153717358.jpg,water,Ekiti,ekiti_ikere,49d861dd-24c4-4539-904b-b384d8b5d9bb,9,Tap,outlet,,49d861dd-24c4-4539-904b-b384d8b5d9bb,Southwest
Mechanical Issue,,"Okeruku, Ikere Ekiti",,,Stand Alone Water Point,1346053536508.jpg,No,7.48733804 5.21320895 349.70001220703125 5.0,True,Ikere,328,328,328.0,Electric,No,1346053536508.jpg,water,Ekiti,ekiti_ikere,dcedc898-60cd-4c2a-81ee-49591e7ccfeb,02,Borehole,water_source,borehole_tube_well,dcedc898-60cd-4c2a-81ee-49591e7ccfeb,Southwest
Functional,,"Okeruku, Ikere Ekiti",,,"Water Scheme, Source further than 1km",1345893006463.jpg,Yes,7.49161323 5.22083377 390.0 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345893006463.jpg,water,Ekiti,ekiti_ikere,5a677461-e9e3-49c8-9d1f-08f85b663c66,02,Tap,outlet,,5a677461-e9e3-49c8-9d1f-08f85b663c66,Southwest
Don't Know,,Odo Oja Ikere Ekiti,,,"Water Scheme, Source within 100m",1346063389024.jpg,No,7.49248048 5.24590651 357.70001220703125 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346063389024.jpg,water,Ekiti,ekiti_ikere,8bdab5b8-81be-409c-bf54-33b18ca861b4,Odose ward,Tap,outlet,,8bdab5b8-81be-409c-bf54-33b18ca861b4,Southwest
Poorly Constructed,,Atiba,,,"Water Scheme, Source further than 1km",1346070553088.jpg,No,7.48840221 5.22344285 382.70001220703125 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346070553088.jpg,water,Ekiti,ekiti_ikere,592f8e3f-8e02-4ca3-b4c8-36b5a9709b50,01,Tap,outlet,,592f8e3f-8e02-4ca3-b4c8-36b5a9709b50,Southwest
Functional,,"Ugele, Ikere Ekiti",,,Stand Alone Water Point,1345802519362.jpg,Yes,7.49053401 5.22778166 363.8999938964844 5.0,True,Ikere,328,328,328.0,Hand Pump,No,1345802519362.jpg,water,Ekiti,ekiti_ikere,a2c03446-9021-4228-8b07-566772d5d8f4,03,Borehole,water_source,borehole_tube_well,a2c03446-9021-4228-8b07-566772d5d8f4,Southwest
Functional,,Okekere,,,"Water Scheme, Source within 1km",1345991824539.jpg,Yes,7.50025357 5.23232314 412.79998779296875 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345991824539.jpg,water,Ekiti,ekiti_ikere,caac608f-4897-4f20-9993-39fad7e501e2,8,Tap,outlet,,caac608f-4897-4f20-9993-39fad7e501e2,Southwest
Functional,,Kajola,,,Stand Alone Water Point,1345893654881.jpg,Yes,7.50803275 5.22833218 398.79998779296875 5.0,False,Ikere,328,328,328.0,,No,1345893654881.jpg,water,Ekiti,ekiti_ikere,c22a4c82-c4be-4cf9-a5c7-2d4366195e0f,10,Unimproved Well,water_source,protected_dug_well,c22a4c82-c4be-4cf9-a5c7-2d4366195e0f,Southwest
Functional,,Are/Araromi,,,Stand Alone Water Point,1346063305144.jpg,Yes,7.49916579 5.23528389 389.20001220703125 5.0,False,Ikere,328,328,328.0,,No,1346063305144.jpg,water,Ekiti,ekiti_ikere,977f6d46-c1bd-4d22-a9fd-50541243fcaf,9,Unimproved Well,water_source,protected_dug_well,977f6d46-c1bd-4d22-a9fd-50541243fcaf,Southwest
Mechanical Issue,,Odo oja,,,"Water Scheme, Source within 100m",1346235952625.jpg,No,7.49025325 5.23206059 381.20001220703125 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346235952625.jpg,water,Ekiti,ekiti_ikere,046d5812-42a0-4bae-afc9-216204eceb14,Odose,Tap,outlet,,046d5812-42a0-4bae-afc9-216204eceb14,Southwest
Functional,,Araromi,,,Stand Alone Water Point,1346230698028.jpg,Yes,7.49889494 5.23937209 401.6000061035156 5.0,False,Ikere,328,328,328.0,,No,1346230698028.jpg,water,Ekiti,ekiti_ikere,53d00222-dc9e-4fbd-be4a-0f17b49af917,9,Unimproved Well,water_source,protected_dug_well,53d00222-dc9e-4fbd-be4a-0f17b49af917,Southwest
Functional,,Ilupeju,,,Stand Alone Water Point,1345805057681.jpg,Yes,7.52114493 5.22447825 414.0 5.0,False,Ikere,328,328,328.0,,No,1345805057681.jpg,water,Ekiti,ekiti_ikere,bd57c253-832d-474c-8f3d-f3c97aa1541e,10,Unimproved Well,water_source,protected_dug_well,bd57c253-832d-474c-8f3d-f3c97aa1541e,Southwest
Poorly Constructed,,Ikere Ekiti,,,"Water Scheme, Source further than 1km",1345798566554.jpg,No,7.49323543 5.2200338 350.3999938964844 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345798566554.jpg,water,Ekiti,ekiti_ikere,5655cf3b-43de-4fb6-af3b-775312e9b5a7,Agbado Oyo,Tap,outlet,,5655cf3b-43de-4fb6-af3b-775312e9b5a7,Southwest
Functional,,Atiba/Aafin,,,"Water Scheme, Source further than 1km",1346070090155.jpg,Yes,7.48918036 5.22540343 387.70001220703125 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346070090155.jpg,water,Ekiti,ekiti_ikere,a705dd0e-38e5-4588-9d88-49096d52937a,01,Tap,outlet,,a705dd0e-38e5-4588-9d88-49096d52937a,Southwest
Functional,,"Atiba, Ikere Ekiti",,,Stand Alone Water Point,1346055959359.jpg,Yes,7.48524621 5.21343643 389.0 5.0,False,Ikere,328,328,328.0,Manual,No,1346055959359.jpg,water,Ekiti,ekiti_ikere,ab659bf0-b15c-40f6-943f-c66c24a612df,01,Unimproved Well,water_source,protected_dug_well,ab659bf0-b15c-40f6-943f-c66c24a612df,Southwest
Don't Know,,Are/Araromi,,,,1346064058979.jpg,No,7.50576055 5.24302581 414.79998779296875 5.0,False,Ikere,328,328,328.0,,Don't Know,1346064058979.jpg,water,Ekiti,ekiti_ikere,6f376032-359b-4f0e-873d-c5a84d736ca6,9,Don't Know,dk,,6f376032-359b-4f0e-873d-c5a84d736ca6,Southwest
Functional,,Afao,,,"Water Scheme, Source further than 1km",1345898882180.jpg,Yes,7.50896697 5.23426448 383.0 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345898882180.jpg,water,Ekiti,ekiti_ikere,cd99b28e-0914-4c12-a7df-381d3c3a3f0f,10,Tap,outlet,,cd99b28e-0914-4c12-a7df-381d3c3a3f0f,Southwest
Don't Know,,Agbado,,,,1345799798583.jpg,No,7.49387643 5.22073119 416.5 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),Don't Know,1345799798583.jpg,water,Ekiti,ekiti_ikere,a9daaa37-116b-441c-a752-1141d3fd13aa,4 Agbado/Oyo,Tap,outlet,,a9daaa37-116b-441c-a752-1141d3fd13aa,Southwest
Under Construction,,"Ugele, Ikere Ekiti",,,"Water Scheme, Source further than 1km",1345802795903.jpg,No,7.49009372 5.2279062 375.0 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345802795903.jpg,water,Ekiti,ekiti_ikere,05d9b722-8482-44c3-90cc-bb7dd063c2dd,03,Tap,outlet,,05d9b722-8482-44c3-90cc-bb7dd063c2dd,Southwest
Functional,,"Atiba, Ikere Ekiti",,,Stand Alone Water Point,1346055437307.jpg,Yes,7.48492678 5.21295156 387.1000061035156 5.0,False,Ikere,328,328,328.0,Manual,No,1346055437307.jpg,water,Ekiti,ekiti_ikere,94b4ec72-959b-4d9b-9e82-bee06f78560e,01,Unimproved Well,water_source,unprotected_dug_well,94b4ec72-959b-4d9b-9e82-bee06f78560e,Southwest
Poorly Constructed,,Ilapetu/Ijao,,,"Water Scheme, Source further than 1km",1345987359406.jpg,No,7.50231297 5.22976957 408.1000061035156 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345987359406.jpg,water,Ekiti,ekiti_ikere,88caabad-704c-407e-82ac-078c0e8c371a,8,Tap,outlet,,88caabad-704c-407e-82ac-078c0e8c371a,Southwest
Functional,,Araromi,,,Stand Alone Water Point,1346070322978.jpg,Yes,7.50010915 5.2394763 393.0 5.0,False,Ikere,328,328,328.0,,No,1346070322978.jpg,water,Ekiti,ekiti_ikere,2be90240-df70-4ca4-a710-ea357b10965c,9,Unimproved Well,water_source,protected_dug_well,2be90240-df70-4ca4-a710-ea357b10965c,Southwest
Functional,,Ilapetu/Ijao,,,Stand Alone Water Point,1345990032405.jpg,Yes,7.50139325 5.22997534 415.29998779296875 5.0,False,Ikere,328,328,328.0,,No,1345990032405.jpg,water,Ekiti,ekiti_ikere,101f0d89-b92c-46f7-a495-13bb4152e5e9,8,Unimproved Well,water_source,protected_dug_well,101f0d89-b92c-46f7-a495-13bb4152e5e9,Southwest
Poorly Constructed,,Are,,,"Water Scheme, Source within 1km",1346060180978.jpg,No,7.49972226 5.23477812 409.1000061035156 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346060180978.jpg,water,Ekiti,ekiti_ikere,299753ab-1a93-4347-b1eb-5ad6a0ac74e6,9,Tap,outlet,,299753ab-1a93-4347-b1eb-5ad6a0ac74e6,Southwest
Functional,,"Okeruku, Ikere Ekiti",,,Stand Alone Water Point,1345892713844.jpg,Yes,7.49130422 5.22090311 372.1000061035156 5.0,False,Ikere,328,328,328.0,,No,1345892713844.jpg,water,Ekiti,ekiti_ikere,f57d0d43-0f0a-4f01-965d-9611c985ef85,02,Unimproved Well,water_source,protected_dug_well,f57d0d43-0f0a-4f01-965d-9611c985ef85,Southwest
Under Construction,,"Okeruku, Ikere Ekiti",,,Stand Alone Water Point,1345897867967.jpg,No,7.49108355 5.21830769 396.8999938964844 5.0,True,Ikere,328,328,328.0,,No,1345897867967.jpg,water,Ekiti,ekiti_ikere,0f59468a-db0b-4cbc-beff-8a78a1ecc81d,02,Borehole,water_source,borehole_tube_well,0f59468a-db0b-4cbc-beff-8a78a1ecc81d,Southwest
Functional,,Are/Araromi,,,Stand Alone Water Point,1346063092413.jpg,Yes,7.49911003 5.23524397 404.20001220703125 5.0,False,Ikere,328,328,328.0,,No,1346063092413.jpg,water,Ekiti,ekiti_ikere,b183a998-8f43-4e71-9e54-558b7e456565,9,Unimproved Well,water_source,protected_dug_well,b183a998-8f43-4e71-9e54-558b7e456565,Southwest
Functional,,Ilapetu/Ijao,,,Stand Alone Water Point,1345989452501.jpg,Yes,7.50145209 5.2298457 407.79998779296875 5.0,False,Ikere,328,328,328.0,,No,1345989452501.jpg,water,Ekiti,ekiti_ikere,a4438bc3-e111-4daf-a5f1-d6fa675f8d36,8,Unimproved Well,water_source,protected_dug_well,a4438bc3-e111-4daf-a5f1-d6fa675f8d36,Southwest
Mechanical Issue,,Kajola,,,"Water Scheme, Source within 100m",1345891818788.jpg,No,7.51298812 5.22647078 407.20001220703125 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345891818788.jpg,water,Ekiti,ekiti_ikere,2fa5d4ba-1d23-48a3-92bf-e130eab6baf4,10,Tap,outlet,,2fa5d4ba-1d23-48a3-92bf-e130eab6baf4,Southwest
Don't Know,,Asae okorokoro,,,Stand Alone Water Point,1346143330702.jpg,No,7.49396927 5.23195563 393.3999938964844 5.0,True,Ikere,328,328,328.0,Hand Pump,Don't Know,1346143330702.jpg,water,Ekiti,ekiti_ikere,c4a80dd0-0e93-4696-b315-7cce31ef29ab,Ogbonjana,Borehole,water_source,borehole_tube_well,c4a80dd0-0e93-4696-b315-7cce31ef29ab,Southwest
Poorly Constructed,,"Okeruku, Ikrere Ekiti",,,"Water Scheme, Source further than 1km",1345811554485.jpg,No,7.49106111 5.22184976 390.6000061035156 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345811554485.jpg,water,Ekiti,ekiti_ikere,c491f758-96a3-4f2c-9a70-265bbd1e55b0,02,Tap,outlet,,c491f758-96a3-4f2c-9a70-265bbd1e55b0,Southwest
Poorly Constructed,,Oke osun,,,Stand Alone Water Point,1345805824125.jpg,No,7.46953757 5.22495315 398.8999938964844 5.0,True,Ikere,328,328,328.0,Solar,Don't Know,1345805824125.jpg,water,Ekiti,ekiti_ikere,9dd9c6ab-f483-48cd-8479-b15657845cc8,Oke osun,Borehole,water_source,borehole_tube_well,9dd9c6ab-f483-48cd-8479-b15657845cc8,Southwest
Poorly Constructed,,"Okeruku, Ikere Ekiti",,,"Water Scheme, Source further than 1km",1345808313810.jpg,No,7.49202373 5.22075581 383.79998779296875 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345808313810.jpg,water,Ekiti,ekiti_ikere,ebd7668e-964f-445d-bf8f-f282513ec120,02,Tap,outlet,,ebd7668e-964f-445d-bf8f-f282513ec120,Southwest
Functional,,Ikere Ekiti,,,"Water Scheme, Source within 100m",1345807745658.jpg,Yes,7.46739742 5.22861378 369.20001220703125 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345807745658.jpg,water,Ekiti,ekiti_ikere,71844aee-687a-4c45-b10a-58cc086874c0,Oke Osun wtd,Tap,outlet,,71844aee-687a-4c45-b10a-58cc086874c0,Southwest
Poorly Constructed,,"Okeruku, Ikere Ekiti",,,Stand Alone Water Point,1346053303991.jpg,No,7.4880857 5.21336618 399.79998779296875 5.0,False,Ikere,328,328,328.0,Manual,No,1346053303991.jpg,water,Ekiti,ekiti_ikere,aa81df95-3f4f-4cad-9ffe-e33eaeb3c90b,02,Unimproved Well,water_source,unprotected_dug_well,aa81df95-3f4f-4cad-9ffe-e33eaeb3c90b,Southwest
Functional,,"Atiba, Ikere Ekiti",,,Stand Alone Water Point,1346054604149.jpg,Yes,7.48286914 5.2067548 395.8999938964844 5.0,True,Ikere,328,328,328.0,Hand Pump,No,1346054604149.jpg,water,Ekiti,ekiti_ikere,861d7a9d-df8c-48c0-96b1-90be499e29a0,01,Borehole,water_source,borehole_tube_well,861d7a9d-df8c-48c0-96b1-90be499e29a0,Southwest
Functional,,"Okeruku, Ikere Ekiti",,,"Water Scheme, Source further than 1km",1345892482674.jpg,Yes,7.49123038 5.22077402 387.1000061035156 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1345892482674.jpg,water,Ekiti,ekiti_ikere,ca7765b1-fd98-4a72-945d-37c29a3edeb9,02,Tap,outlet,,ca7765b1-fd98-4a72-945d-37c29a3edeb9,Southwest
Functional,,Are,,,"Water Scheme, Source within 100m",1346056858014.jpg,Yes,7.49474024 5.23292985 406.8999938964844 5.0,True,Ikere,328,328,328.0,Tap (unknown lift),No,1346056858014.jpg,water,Ekiti,ekiti_ikere,f52355db-079a-4d5f-a9cd-e2e0b77f2181,9,Tap,outlet,,f52355db-079a-4d5f-a9cd-e2e0b77f2181,Southwest
Functional,,Orisunbare prince and princess academy,,,Stand Alone Water Point,1345801876115.jpg,Yes,7.46311262 5.22743693 391.0 5.0,False,Ikere,328,328,328.0,Manual,No,1345801876115.jpg,water,Ekiti,ekiti_ikere,341a13c7-09ee-42d0-90d1-f8d04bee113d,Oke osun,Unimproved Well,water_source,protected_dug_well,341a13c7-09ee-42d0-90d1-f8d04bee113d,Southwest
