access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,356.5173426,False,FALSE,False,,,,formal_educ,Araromi Baptist Nur/ Pry. Irona Igede,preprimary_and_primary,1338202131555.jpg,,False,FALSE,7.66522705 5.12905571 599.7000122070313 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,1.01,False,irepodun_ifelodun,ekiti,southwest,TRUE,0.0,,9.0,201.0,10.0,16.0,,14.0,66.0,private,True,1338202131555.jpg,129149,362.251662312,,True,FALSE,FALSE,1.34,22.3333333333333,1.34,12.5625,100.5,False,False,Araromi Baptist Nur/ Pry. Irona Igede,education,Ekiti,0.0,Others,False,False,TRUE,Inf,0.328358208955224,FALSE,,ekiti_irepodun_ifelodun,38665670-b327-456b-ba18-a0f817057a43,True,38665670-b327-456b-ba18-a0f817057a43,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,Methodist Nur/Pry Sch Iyin Ekiti,preprimary_and_primary,1338131275547.jpg,,True,FALSE,7.65899978 5.15480254 610.7000122070313 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,0.890173410404624,True,irepodun_ifelodun,ekiti,southwest,TRUE,0.0,2.0,6.0,327.0,5.0,22.0,,21.0,2850.0,public,False,1338131275547.jpg,129149,362.251662312,,False,FALSE,FALSE,6.54,54.5,6.54,14.8636363636364,163.5,False,False,Methodist Nur/Pry Sch Iyin Ekiti,education,Ekiti,0.0,Others,False,False,TRUE,22,8.71559633027523,FALSE,,ekiti_irepodun_ifelodun,4664d54a-928c-46f6-aae5-bf176f06a595,False,4664d54a-928c-46f6-aae5-bf176f06a595,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,St Andrews Nur/Pry Sch Are,preprimary_and_primary,1337948155045.jpg,,False,,7.71280063 5.29730279 417.8999938964844 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,1.30769230769231,False,irepodun_ifelodun,ekiti,southwest,TRUE,3.0,2.0,8.0,30.0,13.0,14.0,,10.0,519.0,public,False,1337948155045.jpg,129149,362.251662312,,False,FALSE,FALSE,0.75,3.75,0.75,2.14285714285714,,False,,St Andrews Nur/Pry Sch Are,education,Ekiti,0.0,Others,False,False,TRUE,Inf,17.3,FALSE,,ekiti_irepodun_ifelodun,2f90ef97-460a-4cad-a554-c013c52dc121,False,2f90ef97-460a-4cad-a554-c013c52dc121,Southwest
False,True,356.5173426,False,FALSE,True,,,,formal_educ,"Debora College, Igede",juniors_sec_only,1338198469501.jpg,,True,FALSE,7.68163038 5.12857776 555.7000122070313 5.0,False,False,juniors_sec_only,Irepodun/Ifelodun,356,356,356.0,0.608695652173913,False,irepodun_ifelodun,ekiti,southwest,TRUE,2.0,0.0,10.0,148.0,3.0,14.0,,4.0,70.0,private,False,1338198469501.jpg,129149,362.251662312,,False,FALSE,FALSE,0.672727272727273,14.8,0.672727272727273,10.5714285714286,74,True,True,"Debora College, Igede",education,Ekiti,101.0,Others,False,False,TRUE,Inf,0.472972972972973,FALSE,,ekiti_irepodun_ifelodun,d554f4e8-f1e9-49aa-888b-175c4e938dba,False,d554f4e8-f1e9-49aa-888b-175c4e938dba,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,"All Saints Nursery/Primary School, Iyin",preprimary_and_primary,1338134172122.jpg,True,True,FALSE,7.65886363 5.16486543 642.2999877929688 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,0.918238993710692,False,irepodun_ifelodun,ekiti,southwest,TRUE,4.0,,14.0,305.0,23.0,25.0,,24.0,784.0,public,False,1338134172122.jpg,129149,362.251662312,,False,FALSE,FALSE,1.22,21.7857142857143,1.22,12.2,152.5,False,,"All Saints Nursery/Primary School, Iyin",education,Ekiti,0.0,Others,False,False,TRUE,Inf,2.57049180327869,FALSE,,ekiti_irepodun_ifelodun,a4997095-eb8e-4df3-8645-91dcfc0ff8cf,False,a4997095-eb8e-4df3-8645-91dcfc0ff8cf,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,AUD NUR/PRY SCH IRO,preprimary_and_primary,1338130481497.jpg,,False,,7.64944234 5.15753217 598.4000244140625 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,1.06832298136646,False,irepodun_ifelodun,ekiti,southwest,TRUE,,0.0,21.0,333.0,1.0,26.0,,21.0,1250.0,public,False,1338130481497.jpg,129149,362.251662312,,False,FALSE,FALSE,3.33,15.8571428571429,3.33,12.8076923076923,,False,False,AUD NUR/PRY SCH IRO,education,Ekiti,0.0,Others,True,False,FALSE,Inf,3.75375375375375,FALSE,,ekiti_irepodun_ifelodun,12905780-d759-41d9-807f-7eee451afe4f,False,12905780-d759-41d9-807f-7eee451afe4f,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,Are Afao Comprehensive,junior_and_senior_sec,1337943505867.jpg,,False,,7.69919344 5.30589448 400.3999938964844 5.0,False,False,junior_and_senior_sec,Irepodun/Ifelodun,356,356,356.0,1.1390977443609,False,irepodun_ifelodun,ekiti,southwest,TRUE,14.0,,18.0,569.0,10.0,65.0,,34.0,11.0,public,False,1337943505867.jpg,129149,362.251662312,,False,FALSE,FALSE,2.276,31.6111111111111,2.276,8.75384615384615,,False,,Are Afao Comprehensive,education,Ekiti,45.0,Others,False,False,FALSE,9.28571428571429,0.0193321616871705,FALSE,,ekiti_irepodun_ifelodun,c7b9dffc-ab33-4734-a08f-48abcb5eb36d,False,c7b9dffc-ab33-4734-a08f-48abcb5eb36d,Southwest
False,False,356.5173426,True,FALSE,False,,,,formal_educ,C.A.C Nur. and Pry iyin Ekiti,preprimary_and_primary,1338126885476.jpg,,True,FALSE,7.66417731 5.15901165 593.0 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,0.932773109243697,False,irepodun_ifelodun,ekiti,southwest,FALSE,2.0,2.0,8.0,230.0,17.0,20.0,,18.0,780.0,public,False,1338126885476.jpg,129149,362.251662312,,False,FALSE,FALSE,2.3,28.75,2.3,11.5,115,False,True,C.A.C Nur. and Pry iyin Ekiti,education,Ekiti,0.0,Others,False,False,FALSE,Inf,3.39130434782609,FALSE,,ekiti_irepodun_ifelodun,849d1e93-b1c5-449c-a51a-a351fa21fe26,False,849d1e93-b1c5-449c-a51a-a351fa21fe26,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,"Ifelodun Nur/Pry Sch, Iworoko",preprimary_and_primary,1337942267487.jpg,,True,,7.73073195 5.2633357 454.5 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,0.966942148760331,False,irepodun_ifelodun,ekiti,southwest,TRUE,,,10.0,238.0,20.0,20.0,,16.0,1218.0,public,True,1337942267487.jpg,129149,362.251662312,,False,FALSE,FALSE,1.904,23.8,1.904,11.9,,False,True,"Ifelodun Nur/Pry Sch, Iworoko",education,Ekiti,25.0,Others,False,False,FALSE,Inf,5.11764705882353,FALSE,,ekiti_irepodun_ifelodun,caa617c8-1efb-4dfd-9146-e5f76260240e,False,caa617c8-1efb-4dfd-9146-e5f76260240e,Southwest
False,False,356.5173426,False,FALSE,False,,,,formal_educ,St Patrick‘s Catholic Nur/Pry Sch Aare,preprimary_and_primary,1337948731303.jpg,,True,FALSE,7.71287418 5.29611695 421.0 5.0,False,False,preprimary_and_primary,Irepodun/Ifelodun,356,356,356.0,1.19130434782609,True,irepodun_ifelodun,ekiti,southwest,TRUE,4.0,,16.0,252.0,8.0,16.0,,12.0,1238.0,public,False,1337948731303.jpg,129149,362.251662312,,False,FALSE,FALSE,2.016,15.75,2.016,15.75,126,True,True,St Patrick‘s Catholic Nur/Pry Sch Aare,education,Ekiti,0.0,Others,True,False,TRUE,Inf,4.91269841269841,FALSE,,ekiti_irepodun_ifelodun,82d8727c-b2e2-4f8d-afd5-b731526d1276,False,82d8727c-b2e2-4f8d-afd5-b731526d1276,Southwest
