access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,1043.552917,True,FALSE,True,,,,formal_educ,Jolatse Basic Academy,primary_junior_and_senior_sec,1341929695681.jpg,True,True,TRUE,8.9339017868042 7.08992063999176 197.0 4.0,False,False,primary_junior_and_senior_sec,Gwagwalada,266,266,266.0,0.809968847352025,False,gwagwalada,fct,north_central,TRUE,0.0,0.0,36.0,581.0,12.0,50.0,,32.0,107.0,private,True,1341929695681.jpg,157770,151.185433369,,False,FALSE,FALSE,1.36384976525822,16.1388888888889,1.36384976525822,11.62,48.4166666666667,False,False,Jolatse Basic Academy,education,FCT,150.0,Others,False,False,TRUE,Inf,0.184165232358003,FALSE,,fct_gwagwalada,060b879c-1884-4e39-92be-a2555c3870e8,True,060b879c-1884-4e39-92be-a2555c3870e8,North-Central
False,True,1043.552917,True,FALSE,False,,,,formal_educ,Junior Secondary School Dobi,juniors_sec_only,1342095543911.jpg,True,False,FALSE,9.076316356658936 6.994766592979431 245.0 4.0,False,False,juniors_sec_only,Gwagwalada,266,266,266.0,1.79024390243902,False,gwagwalada,fct,north_central,TRUE,5.0,,12.0,572.0,19.0,31.0,,18.0,,public,True,1342095543911.jpg,157770,151.185433369,,True,FALSE,FALSE,7.52631578947368,47.6666666666667,2,18.4516129032258,286,True,,Junior Secondary School Dobi,education,FCT,260.0,Others,False,False,FALSE,15.5,,FALSE,,fct_gwagwalada,6354fd68-a076-42de-8e9b-4dfa020c7177,False,6354fd68-a076-42de-8e9b-4dfa020c7177,North-Central
False,False,1043.552917,True,TRUE,False,,,,formal_educ,L.G.E.A Primary School Ledi II,primary_only,1342097791063.jpg,,False,,9.105348587036133 6.983758807182312 263.0 4.0,False,False,primary_only,Gwagwalada,266,266,266.0,1.17241379310345,True,gwagwalada,fct,north_central,FALSE,1.0,0.0,2.0,126.0,3.0,3.0,,2.0,,public,False,1342097791063.jpg,157770,151.185433369,,False,FALSE,FALSE,126,63,4.66666666666667,42,,True,True,L.G.E.A Primary School Ledi II,education,FCT,0.0,Others,True,False,FALSE,Inf,,FALSE,,fct_gwagwalada,11e1a901-0edc-4b9e-9b81-71255709785b,False,11e1a901-0edc-4b9e-9b81-71255709785b,North-Central
True,False,1043.552917,True,FALSE,True,,,,formal_educ,Suzz Tenderly Basic Academy,primary_and_junior_sec,1342261214410.jpg,,True,TRUE,8.9506645 7.07634943 224.6999969482422 5.0,False,False,primary_and_junior_sec,Gwagwalada,266,266,266.0,1.07627118644068,False,gwagwalada,fct,north_central,TRUE,0.0,0.0,36.0,245.0,30.0,54.0,,21.0,95.0,private,True,1342261214410.jpg,157770,151.185433369,,True,FALSE,FALSE,0.850694444444444,6.80555555555556,0.850694444444444,4.53703703703704,11.1363636363636,False,False,Suzz Tenderly Basic Academy,education,FCT,0.0,Others,False,False,TRUE,9,0.387755102040816,FALSE,,fct_gwagwalada,778fcfc9-44eb-468b-8252-763d2bd58955,True,778fcfc9-44eb-468b-8252-763d2bd58955,North-Central
False,False,1043.552917,False,FALSE,True,,,,formal_educ,lea primary,primary_only,1342092430709.jpg,True,False,TRUE,9.083311557769775 7.150382995605469 280.0 3.0,False,False,primary_only,Gwagwalada,266,266,266.0,1.43137254901961,False,gwagwalada,fct,north_central,FALSE,0.0,,9.0,248.0,3.0,7.0,,6.0,600.0,public,False,1342092430709.jpg,157770,151.185433369,,False,FALSE,FALSE,7.29411764705882,27.5555555555556,1.58974358974359,35.4285714285714,62,True,True,lea primary,education,FCT,20.0,Others,False,False,FALSE,Inf,2.41935483870968,FALSE,,fct_gwagwalada,90d82261-7b06-4f5e-bcc4-9dbed02e8413,False,90d82261-7b06-4f5e-bcc4-9dbed02e8413,North-Central
False,False,1043.552917,True,FALSE,True,,,,formal_educ,L.G.E.A Primary School Paikon-Kore,preprimary_and_primary,1341926494780.jpg,True,False,TRUE,8.9943265914917 7.02975332736969 197.0 4.0,False,False,preprimary_and_primary,Gwagwalada,266,266,266.0,1.10617760617761,False,gwagwalada,fct,north_central,TRUE,0.0,2.0,16.0,1091.0,15.0,22.0,,22.0,4411.0,public,True,1341926494780.jpg,157770,151.185433369,,True,FALSE,FALSE,Inf,68.1875,54.55,49.5909090909091,136.375,False,False,L.G.E.A Primary School Paikon-Kore,education,FCT,0.0,Others,False,False,TRUE,22,4.04307974335472,FALSE,,fct_gwagwalada,69eaebd3-d08b-42d2-9589-e1a5b4e9a91b,False,69eaebd3-d08b-42d2-9589-e1a5b4e9a91b,North-Central
False,False,1043.552917,False,FALSE,False,,,,formal_educ,Junior Secondary School,juniors_sec_only,1342097246409.jpg,False,False,,8.92988886 7.05648864 208.1999969482422 5.0,False,False,juniors_sec_only,Gwagwalada,266,266,266.0,1.03883495145631,False,gwagwalada,fct,north_central,TRUE,0.0,2.0,4.0,210.0,0.0,22.0,,15.0,82.0,public,True,1342097246409.jpg,157770,151.185433369,,False,FALSE,FALSE,2.1,52.5,2.1,9.54545454545454,,True,,Junior Secondary School,education,FCT,0.0,Others,False,False,TRUE,Inf,0.39047619047619,FALSE,,fct_gwagwalada,afa62e76-d376-41b3-bf27-d47ae30b771f,False,afa62e76-d376-41b3-bf27-d47ae30b771f,North-Central
False,True,1043.552917,True,FALSE,False,,,,formal_educ,Junior sec.sch.zuba,juniors_sec_only,1342091574548.jpg,True,True,FALSE,9.08519022 7.2090416 398.0 5.0,False,False,juniors_sec_only,Gwagwalada,266,266,266.0,1.17897091722595,False,gwagwalada,fct,north_central,TRUE,0.0,13.0,33.0,974.0,36.0,100.0,,63.0,3508.0,public,False,1342091574548.jpg,157770,151.185433369,,True,FALSE,FALSE,1.15952380952381,29.5151515151515,1.15952380952381,9.74,243.5,False,False,Junior sec.sch.zuba,education,FCT,500.0,Others,False,False,TRUE,25,3.60164271047228,FALSE,,fct_gwagwalada,d7bd9b07-b49a-4b52-9da4-75f0752b3506,False,d7bd9b07-b49a-4b52-9da4-75f0752b3506,North-Central
False,True,1043.552917,False,FALSE,False,,,,formal_educ,L.E.A pri.sch.,preprimary_and_primary,1341929047892.jpg,True,False,TRUE,9.03975108 7.17289141 338.70001220703125 5.0,False,False,preprimary_and_primary,Gwagwalada,266,266,266.0,1.04553119730186,True,gwagwalada,fct,north_central,TRUE,0.0,,11.0,1213.0,4.0,34.0,,31.0,3836.0,public,False,1341929047892.jpg,157770,151.185433369,,False,FALSE,FALSE,121.3,110.272727272727,4.04333333333333,35.6764705882353,303.25,False,True,L.E.A pri.sch.,education,FCT,0.0,Others,False,False,TRUE,Inf,3.16240725474031,FALSE,,fct_gwagwalada,e20946b5-f5e4-4163-832e-08de59f7a76f,False,e20946b5-f5e4-4163-832e-08de59f7a76f,North-Central
False,False,1043.552917,True,FALSE,False,0.014119856318,1.56206262196,,religious_with_formal,ibrahima islamic centre,primary_only,1342186168364.jpg,,False,,9.044923782348633 7.205475568771362 337.0 4.0,False,False,primary_only,Gwagwalada,266,266,514.0,1.79166666666667,False,gwagwalada,fct,north_central,TRUE,0.0,2.0,2.0,67.0,0.0,4.0,,2.0,44.0,private,False,1342186168364.jpg,157770,151.185433369,,False,FALSE,FALSE,5.58333333333333,33.5,8.375,16.75,,True,True,ibrahima islamic centre,education,FCT,0.0,Others,False,False,FALSE,Inf,0.656716417910448,FALSE,,fct_gwagwalada,0a5e344d-2275-448a-9856-d36b36af23f2,False,0a5e344d-2275-448a-9856-d36b36af23f2,North-Central
