access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,3812.178384,True,yes,False,,,,formal,School For Children With Special Needs.,primary,1307791745850.jpg,,,no,10.823560953140259 10.7733553647995 490.0 4.0,False,False,primary,Dukku,162,162,162.0,0.923076923076923,False,DUKKU,GOMBE,north_east,yes,0.0,2.0,2.0,25.0,2.0,6.0,4.0,,40.0,public,False,1307791745850.jpg,207190,54.3495028642,,False,no,no,0.625,12.5,0.625,4.16666666666667,,False,False,School For Children With Special Needs.,education,Gombe,0.0,113,False,False,no,Inf,1.6,no,,gombe_dukku,9ef6e5d889bd1385488c0f71eb677d81,False,29668,Northeast
False,True,3812.178384,True,no,True,,,,formal,Jurnoir Secondary Shabewa,js,1307634293399.jpg,,,yes,10.804597735404968 10.77182650566101 511.0 3.0,True,False,js,Dukku,162,162,162.0,1.05882352941176,False,DUKKU,GOMBE,north_east,yes,0.0,3.0,9.0,35.0,3.0,10.0,7.0,,20.0,public,False,1307634293399.jpg,207190,54.3495028642,,False,no,no,0.360824742268041,5.83333333333333,0.360824742268041,3.5,,True,True,Jurnoir Secondary Shabewa,education,Gombe,1.0,113,False,False,yes,0.909090909090909,0.571428571428571,no,,gombe_dukku,8f37183fa4a2066b003b759a7f96b86e,False,25629,Northeast
False,False,3812.178384,True,no,True,,,,formal,Junior Secondary School Alagaru.,js,1307707682579.jpg,,,yes,10.988178849220276 10.842132568359375 351.0 4.0,True,False,js,Dukku,162,162,162.0,2.4,False,DUKKU,GOMBE,north_east,no,3.0,2.0,11.0,17.0,0.0,1.0,1.0,,16.0,public,False,1307707682579.jpg,207190,54.3495028642,,False,no,no,0.425,2.125,0.425,17,,False,True,Junior Secondary School Alagaru.,education,Gombe,1.0,113,False,False,yes,Inf,0.941176470588235,no,,gombe_dukku,436ebdd42335ddb86b8a5357614a31db,False,29663,Northeast
True,True,3812.178384,True,yes,False,,,,formal,Nduggiri Pri. Sch.,primary,1307607357609.jpg,,,no,11.027956008911133 10.789239406585693 323.0 3.0,False,False,primary,Dukku,162,162,162.0,1.04651162790698,False,DUKKU,GOMBE,north_east,yes,0.0,1.0,7.0,88.0,0.0,2.0,1.0,,0.0,public,False,1307607357609.jpg,207190,54.3495028642,,False,no,no,5.5,22,5.5,44,,False,True,Nduggiri Pri. Sch.,education,Gombe,1.0,113,False,False,yes,1,0,no,,gombe_dukku,a64b743482ae0b5c2da038392632eba4,False,32753,Northeast
False,False,3812.178384,True,no,False,,,,formal,Bangadaza Pry School,primary,1307445294149.jpg,,,no,10.53915023803711 10.885654091835022 476.0 4.0,False,False,primary,Dukku,162,162,162.0,1.25,False,DUKKU,GOMBE,north_east,yes,2.0,0.0,2.0,45.0,0.0,1.0,0.0,,40.0,public,False,1307445294149.jpg,207190,54.3495028642,,False,no,no,Inf,22.5,Inf,45,,False,True,Bangadaza Pry School,education,Gombe,0.0,113,False,False,yes,Inf,0.888888888888889,no,,gombe_dukku,44b391c99947acac415ab0480839e33f,False,24696,Northeast
False,False,3812.178384,True,no,True,,,,formal,Damba Pry School,primary,1307523106354.jpg,,,no,10.65201222896576 10.713874697685242 498.0 4.0,False,False,primary,Dukku,162,162,162.0,1.77777777777778,False,DUKKU,GOMBE,north_east,yes,0.0,2.0,2.0,125.0,1.0,3.0,1.0,,24.0,public,False,1307523106354.jpg,207190,54.3495028642,,False,no,no,3.125,62.5,3.125,41.6666666666667,,False,False,Damba Pry School,education,Gombe,0.0,113,False,False,yes,Inf,0.192,no,,gombe_dukku,b3a84272d04c40efb30d168cfb4cfacd,False,28520,Northeast
False,False,3812.178384,True,yes,True,,,,formal,Jss Gombe Abba,js,1307962210437.jpg,,,no,10.821071863174438 10.610641837120056 347.0 4.0,True,True,js,Dukku,162,162,162.0,2.32,False,DUKKU,GOMBE,north_east,yes,0.0,0.0,6.0,83.0,0.0,8.0,6.0,,20.0,public,True,1307962210437.jpg,207190,54.3495028642,,False,no,no,0.691666666666667,27.6666666666667,0.691666666666667,10.375,,True,,Jss Gombe Abba,education,Gombe,0.0,113,False,False,no,Inf,0.240963855421687,no,,gombe_dukku,8c03aed55316bc6cbace1f3a37927e78,False,28504,Northeast
False,False,3812.178384,True,no,False,,,,formal,Kole Primary School,primary,1308040590316.jpg,,,yes,10.934346914291382 10.83775520324707 366.0 4.0,True,False,primary,Dukku,162,162,162.0,2.75,True,DUKKU,GOMBE,north_east,no,4.0,0.0,4.0,30.0,0.0,2.0,0.0,,4.0,public,False,1308040590316.jpg,207190,54.3495028642,,False,no,no,Inf,7.5,Inf,15,,False,True,Kole Primary School,education,Gombe,0.0,113,False,False,no,Inf,0.133333333333333,no,,gombe_dukku,310a408bdf5ff3bfa286d3307d194b8d,False,29684,Northeast
False,False,3812.178384,True,yes,False,,,,formal,Kabade Primary School,primary,1307542151328.jpg,,,no,10.904279351234436 10.68394660949707 332.0 4.0,False,False,primary,Dukku,162,162,162.0,0.875,True,DUKKU,GOMBE,north_east,yes,2.0,0.0,6.0,30.0,1.0,2.0,1.0,,40.0,public,False,1307542151328.jpg,207190,54.3495028642,,False,no,no,Inf,7.5,Inf,15,,False,True,Kabade Primary School,education,Gombe,0.0,113,False,False,yes,Inf,1.33333333333333,no,,gombe_dukku,fa6ec8dda879634d025268f429794e4b,False,29388,Northeast
False,False,3812.178384,True,yes,False,,,,formal,Galdo Primary School,primary,1307701514715.jpg,,,no,10.89792251586914 10.850345492362976 388.0 4.0,False,False,primary,Dukku,162,162,162.0,1.375,False,DUKKU,GOMBE,north_east,no,6.0,0.0,6.0,19.0,1.0,2.0,0.0,,12.0,public,False,1307701514715.jpg,207190,54.3495028642,,False,no,no,Inf,3.16666666666667,Inf,9.5,,False,True,Galdo Primary School,education,Gombe,1.0,113,False,False,no,Inf,0.631578947368421,no,,gombe_dukku,48734d627225e032d2cbf4e8a5510699,False,29660,Northeast
