access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,890.5895668,False,FALSE,False,0.000354062278783,0.0393196277898,,formal_educ,Elua Town School,preprimary_and_primary,1345973762970.jpg,,False,,5.61370279 6.77471715 60.0 5.0,False,False,preprimary_and_primary,Ohaji/Egbema,575,575,573.0,0.576923076923077,False,ohaji_egbema,imo,southeast,FALSE,0.0,,4.0,246.0,2.0,2.0,,2.0,160.0,public,False,1345973762970.jpg,182538,204.963101753,,False,FALSE,FALSE,Inf,61.5,Inf,123,,False,True,Elua Town School,education,Imo,0.0,Others,False,False,FALSE,Inf,0.650406504065041,FALSE,,imo_ohaji_egbema,9d2e3a84-1567-4b44-b459-41f661901c63,False,9d2e3a84-1567-4b44-b459-41f661901c63,Southeast
False,True,890.5895668,False,TRUE,True,,,,formal_educ,Ochia Development Primary School,preprimary_and_primary,1346167668010.jpg,True,False,,5.35126699 6.77529172 86.80000305175781 5.0,False,False,preprimary_and_primary,Ohaji/Egbema,575,575,575.0,1.12237762237762,False,ohaji_egbema,imo,southeast,FALSE,0.0,0.0,7.0,607.0,10.0,10.0,,8.0,1146.0,public,False,1346167668010.jpg,182538,204.963101753,,False,FALSE,FALSE,Inf,86.7142857142857,Inf,60.7,,False,False,Ochia Development Primary School,education,Imo,0.0,Others,False,False,FALSE,Inf,1.88797364085667,FALSE,,imo_ohaji_egbema,22b32a11-0e68-48d9-b185-766d59636529,False,22b32a11-0e68-48d9-b185-766d59636529,Southeast
False,True,890.5895668,False,TRUE,False,,,,formal_educ,"Umuapu Primary School, Ohaji.",primary_only,1345983510654.jpg,,False,,5.2591817 6.87620791 69.0999984741211 5.0,False,False,primary_only,Ohaji/Egbema,575,575,575.0,0.906288532675709,True,ohaji_egbema,imo,southeast,FALSE,3.0,,6.0,1546.0,9.0,9.0,,7.0,160.0,public,False,1345983510654.jpg,182538,204.963101753,,False,FALSE,FALSE,Inf,257.666666666667,Inf,171.777777777778,,False,False,"Umuapu Primary School, Ohaji.",education,Imo,0.0,Others,False,False,FALSE,Inf,0.103492884864166,FALSE,,imo_ohaji_egbema,435f0f88-b685-4b69-afc7-2e0de951634e,False,435f0f88-b685-4b69-afc7-2e0de951634e,Southeast
False,False,890.5895668,False,TRUE,False,,,,formal_educ,"Obitti Ukwu Primary School,Ohaji.",primary_only,1345975529662.jpg,False,False,TRUE,5.31919721 6.82381081 63.29999923706055 5.0,False,False,primary_only,Ohaji/Egbema,575,575,575.0,1.48823529411765,True,ohaji_egbema,imo,southeast,TRUE,5.0,0.0,12.0,2115.0,3.0,5.0,,5.0,647.0,public,False,1345975529662.jpg,182538,204.963101753,,False,FALSE,FALSE,423,176.25,91.9565217391304,423,528.75,False,True,"Obitti Ukwu Primary School,Ohaji.",education,Imo,0.0,Others,False,False,FALSE,5,0.305910165484634,FALSE,,imo_ohaji_egbema,57b5016c-4f80-424b-8966-47101c0c913d,False,57b5016c-4f80-424b-8966-47101c0c913d,Southeast
False,False,890.5895668,True,FALSE,False,0.00426141413896,0.473295465492,,formal_educ,Etekwuru Town School,preprimary_and_primary,1345904332926.jpg,,False,,5.47894196 6.74339572 44.099998474121094 5.0,False,False,preprimary_and_primary,Ohaji/Egbema,575,575,562.0,0.732394366197183,True,ohaji_egbema,imo,southeast,FALSE,0.0,,6.0,123.0,2.0,3.0,,3.0,1194.0,public,False,1345904332926.jpg,182538,204.963101753,,False,FALSE,FALSE,20.5,20.5,1.025,41,,False,True,Etekwuru Town School,education,Imo,0.0,Others,True,False,FALSE,Inf,9.70731707317073,FALSE,,imo_ohaji_egbema,e2263508-2e25-48d7-8860-b22ba53a25d4,False,e2263508-2e25-48d7-8860-b22ba53a25d4,Southeast
False,False,890.5895668,,FALSE,False,0.0136552461521,1.51664334003,,formal_educ,Umunwaku Pri. Sch.,primary_only,1345985849353.jpg,True,False,,5.46088042 6.89247194 88.69999694824219 5.0,False,False,primary_only,Ohaji/Egbema,575,575,633.0,,True,ohaji_egbema,imo,southeast,TRUE,,,,,8.0,8.0,,6.0,,public,False,1345985849353.jpg,182538,204.963101753,,False,FALSE,FALSE,,,,,,False,False,Umunwaku Pri. Sch.,education,Imo,50.0,Others,False,False,TRUE,Inf,,FALSE,,imo_ohaji_egbema,1b6efd68-bb9e-489c-a5c3-12214738d297,False,1b6efd68-bb9e-489c-a5c3-12214738d297,Southeast
False,True,890.5895668,False,FALSE,False,,,,formal_educ,Bethel Group of Schools,primary_junior_and_senior_sec,1345819535641.jpg,,False,FALSE,5.51034686 6.75390362 48.5 5.0,False,False,primary_junior_and_senior_sec,Ohaji/Egbema,575,575,575.0,0.660377358490566,False,ohaji_egbema,imo,southeast,TRUE,0.0,,14.0,176.0,4.0,17.0,,4.0,36.0,private,True,1345819535641.jpg,182538,204.963101753,,True,FALSE,TRUE,1.95555555555556,12.5714285714286,2.51428571428571,10.3529411764706,88,True,,Bethel Group of Schools,education,Imo,60.0,Others,False,False,TRUE,Inf,0.204545454545455,FALSE,,imo_ohaji_egbema,a4af00f8-aae7-4501-81b5-42f2d271171b,False,a4af00f8-aae7-4501-81b5-42f2d271171b,Southeast
False,True,890.5895668,False,FALSE,False,,,,formal_educ,Etekwuru Community Primary School.,preprimary_and_primary,1345809437980.jpg,False,False,TRUE,5.45836157 6.79104157 68.5 5.0,False,False,preprimary_and_primary,Ohaji/Egbema,575,575,575.0,0.920731707317073,False,ohaji_egbema,imo,southeast,TRUE,0.0,,18.0,630.0,10.0,10.0,,5.0,963.0,public,False,1345809437980.jpg,182538,204.963101753,,False,FALSE,FALSE,52.5,35,4.25675675675676,63,78.75,True,False,Etekwuru Community Primary School.,education,Imo,0.0,Others,False,False,FALSE,Inf,1.52857142857143,FALSE,,imo_ohaji_egbema,da99e203-d8c4-489f-bc3c-02f1780004f2,False,da99e203-d8c4-489f-bc3c-02f1780004f2,Southeast
False,True,890.5895668,False,TRUE,False,,,,formal_educ,EKUGBA HOME PRIMARY SCHOOL EKUGBA .,preprimary_and_primary,1345805717247.jpg,True,False,TRUE,5.50043652 6.75289233 40.099998474121094 5.0,False,False,preprimary_and_primary,Ohaji/Egbema,575,575,575.0,0.589905362776025,True,ohaji_egbema,imo,southeast,FALSE,4.0,0.0,4.0,504.0,2.0,2.0,,2.0,372.0,public,False,1345805717247.jpg,182538,204.963101753,,False,FALSE,FALSE,Inf,126,10.08,252,84,True,False,EKUGBA HOME PRIMARY SCHOOL EKUGBA .,education,Imo,40.0,Others,False,False,FALSE,Inf,0.738095238095238,FALSE,,imo_ohaji_egbema,e585eb38-ee74-4c66-812e-e76cb140501b,False,e585eb38-ee74-4c66-812e-e76cb140501b,Southeast
True,False,890.5895668,False,TRUE,False,0.00285065160897,0.31661875994,,formal_educ,Obosima primary school,preprimary_and_primary,1346153113932.jpg,True,True,TRUE,5.4409062 6.90812774 68.0999984741211 5.0,False,False,preprimary_and_primary,Ohaji/Egbema,575,575,633.0,0.970735785953177,False,ohaji_egbema,imo,southeast,TRUE,,0.0,7.0,2357.0,4.0,9.0,,4.0,880.0,public,False,1346153113932.jpg,182538,204.963101753,,False,TRUE,FALSE,Inf,336.714285714286,Inf,261.888888888889,196.416666666667,True,False,Obosima primary school,education,Imo,0.0,Others,False,False,FALSE,Inf,0.373355960967331,FALSE,,imo_ohaji_egbema,9cfadfe3-f305-495f-8f0e-54f5aa8e8af1,False,9cfadfe3-f305-495f-8f0e-54f5aa8e8af1,Southeast
