antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,55.85168391,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00486190538687,0.539844746222,False,True,False,True,False,False,,True,AMAZU HEALTH POST,TRUE,healthpostdispensary,False,True,False,True,1346077442822.jpg,5.79096554 6.97716788 179.5 5.0,False,True,FALSE,False,True,False,False,TRUE,True,True,True,False,True,False,False,False,Orsu,614,614,615.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,0,0,0.0,0.0,4.0,0.0,False,public,False,True,1346077442822.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,False,True,Others,FALSE,imo_orsu,False,e3ab8285-37f4-4542-9b3e-8b1bac7a59ae,,,e3ab8285-37f4-4542-9b3e-8b1bac7a59ae,Southeast
False,55.85168391,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,EBENATOR HEALTH CENTER,TRUE,primaryhealthcarecentre,False,False,False,False,1345765656558.jpg,5.81911055 6.96221617 215.5 12.0,False,False,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Orsu,614,614,614.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,2,2,0.0,1.0,2.0,0.0,False,public,,True,1345765656558.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,False,True,Others,TRUE,imo_orsu,False,cd3011f1-6b24-4711-bc61-bdadb9646462,,,cd3011f1-6b24-4711-bc61-bdadb9646462,Southeast
False,55.85168391,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,False,False,True,True,Community Health Centre,TRUE,primaryhealthclinic,False,True,False,True,1345905559849.jpg,5.81955061 6.96271591 188.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Orsu,614,614,614.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,8,5,,2.0,14.0,6.0,False,public,,True,1345905559849.jpg,120003,2148.60128825,True,False,False,health,True,TRUE,Imo,True,False,Others,TRUE,imo_orsu,False,089cf13e-2015-4897-84ed-4111d716ec65,False,False,089cf13e-2015-4897-84ed-4111d716ec65,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,AMANNACHI HEALTH POST,,healthpostdispensary,False,,False,,1346148649777.jpg,5.80606372 6.97860656 157.3000030517578 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,True,False,True,True,False,False,Orsu,614,614,614.0,False,True,False,False,False,False,False,False,False,False,FALSE,orsu,imo,southeast,4,3,0.0,0.0,0.0,0.0,False,public,,False,1346148649777.jpg,120003,2148.60128825,False,False,False,health,False,TRUE,Imo,,True,Others,FALSE,imo_orsu,False,0057bb98-10a7-4060-872f-21391a98932a,,,0057bb98-10a7-4060-872f-21391a98932a,Southeast
False,55.85168391,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Etiti okabia health centre,TRUE,primaryhealthcarecentre,False,,False,,1346161170044.jpg,5.82179725 6.98143295 204.3000030517578 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Orsu,614,614,614.0,False,True,True,True,False,False,False,False,False,False,FALSE,orsu,imo,southeast,3,2,1.0,0.0,0.0,0.0,False,public,False,True,1346161170044.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,,True,Others,FALSE,imo_orsu,False,29aaccda-ef69-4ab8-b705-c22331661872,,,29aaccda-ef69-4ab8-b705-c22331661872,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00560128541914,0.621886106959,False,False,False,True,True,False,,True,AMARURU GOVT HEALTH CENTER,TRUE,primaryhealthcarecentre,False,True,False,True,1346197015200.jpg,5.89236002 6.98525978 112.5999984741211 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,False,False,False,Orsu,614,614,312.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,2,1,1.0,0.0,3.0,0.0,False,public,,True,1346197015200.jpg,120003,2148.60128825,True,False,False,health,True,TRUE,Imo,False,False,Others,FALSE,imo_orsu,False,175c872a-1431-4081-818d-ad94ec250613,,,175c872a-1431-4081-818d-ad94ec250613,Southeast
False,55.85168391,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00355813470982,0.395050117587,False,False,False,,,False,,True,AMANAOGU HEALTH CENTER,FALSE,primaryhealthclinic,False,,False,,1346191209419.jpg,5.87595193 6.97595554 89.0999984741211 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Orsu,614,614,312.0,False,True,False,True,False,False,False,False,False,False,FALSE,orsu,imo,southeast,0,0,0.0,0.0,3.0,4.0,False,public,False,True,1346191209419.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,,True,Others,FALSE,imo_orsu,False,cbf32dad-a114-42fc-b04b-66e323ba94b6,,,cbf32dad-a114-42fc-b04b-66e323ba94b6,Southeast
False,55.85168391,False,False,False,False,False,False,False,False,True,False,False,False,,False,FALSE,False,,,False,True,False,False,False,False,False,True,AMANNACHI MODEL HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,,False,,1346152519950.jpg,5.81464132 6.97874237 181.39999389648438 5.0,False,True,FALSE,False,True,True,False,TRUE,False,True,True,False,True,True,False,False,Orsu,614,614,614.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,3,3,0.0,1.0,1.0,0.0,False,public,,True,1346152519950.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,,False,Others,FALSE,imo_orsu,False,0674104f-fbc7-4406-9505-40dab80aa27c,False,False,0674104f-fbc7-4406-9505-40dab80aa27c,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,MODEL PRIMARY HEALTH CARE CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1346239972654.jpg,5.85165319 6.99260385 113.19999694824219 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Orsu,614,614,614.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1346239972654.jpg,120003,2148.60128825,False,False,False,health,True,TRUE,Imo,False,True,Others,FALSE,imo_orsu,False,b9e2b5f6-8389-476d-98da-228512448e04,,,b9e2b5f6-8389-476d-98da-228512448e04,Southeast
False,55.85168391,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,EBENATOR HEALTH CENTER,TRUE,primaryhealthcarecentre,False,False,False,False,1345765656558.jpg,5.81911055 6.96221617 215.5 12.0,False,False,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Orsu,614,614,614.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,2,2,0.0,1.0,2.0,0.0,False,public,,True,1345765656558.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,False,True,Others,TRUE,imo_orsu,False,cd3011f1-6b24-4711-bc61-bdadb9646462,,,cd3011f1-6b24-4711-bc61-bdadb9646462,Southeast
False,55.85168391,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,Assah health post,FALSE,healthpostdispensary,False,,False,,1346244841005.jpg,5.85805737 6.99359157 125.19999694824219 5.0,False,True,FALSE,False,,,False,TRUE,,True,True,False,True,False,False,False,Orsu,614,614,614.0,False,False,False,True,False,False,False,False,False,False,FALSE,orsu,imo,southeast,1,1,1.0,0.0,1.0,1.0,False,public,,False,1346244841005.jpg,120003,2148.60128825,False,False,False,health,True,TRUE,Imo,,True,Others,FALSE,imo_orsu,False,0ff31a0b-f168-44e3-b40d-123ab53a0182,,,0ff31a0b-f168-44e3-b40d-123ab53a0182,Southeast
False,55.85168391,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00486190538687,0.539844746222,False,True,False,True,False,False,,True,AMAZU HEALTH POST,TRUE,healthpostdispensary,False,True,False,True,1346077442822.jpg,5.79096554 6.97716788 179.5 5.0,False,True,FALSE,False,True,False,False,TRUE,True,True,True,False,True,False,False,False,Orsu,614,614,615.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,0,0,0.0,0.0,4.0,0.0,False,public,False,True,1346077442822.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,False,True,Others,FALSE,imo_orsu,False,e3ab8285-37f4-4542-9b3e-8b1bac7a59ae,,,e3ab8285-37f4-4542-9b3e-8b1bac7a59ae,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,Eziawa Primary Health Centre,TRUE,primaryhealthcarecentre,False,False,False,False,1345806110809.jpg,5.83709658 6.96879442 191.8000030517578 5.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,False,False,False,False,Orsu,614,614,614.0,False,True,True,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,1,1,,,1.0,,False,public,,True,1345806110809.jpg,120003,2148.60128825,True,False,False,health,True,TRUE,Imo,False,True,Others,FALSE,imo_orsu,False,d8d7fb68-1abf-4488-952a-8dc56f5b2a09,,,d8d7fb68-1abf-4488-952a-8dc56f5b2a09,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0010816543287,0.120091302763,False,True,False,,,False,,True,Nansa health post,FALSE,healthpostdispensary,False,,False,,1346324479285.jpg,5.89418436 7.01683628 71.9000015258789 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Orsu,614,614,611.0,False,False,False,True,False,False,False,False,False,False,FALSE,orsu,imo,southeast,0,0,0.0,0.0,1.0,1.0,False,public,,True,1346324479285.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,,False,Others,FALSE,imo_orsu,False,746f8ab9-79b4-4bd3-8f34-4b8db59b070b,,,746f8ab9-79b4-4bd3-8f34-4b8db59b070b,Southeast
False,55.85168391,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Nwanyinma Health Center,FALSE,primaryhealthcarecentre,False,False,False,False,1346234672129.jpg,5.83922067 6.98584987 148.0 3.0,False,True,FALSE,False,False,False,False,TRUE,,True,True,False,True,False,False,False,Orsu,614,614,614.0,False,False,False,True,False,False,False,False,False,False,FALSE,orsu,imo,southeast,0,0,0.0,0.0,2.0,1.0,False,public,,False,1346234672129.jpg,120003,2148.60128825,True,False,False,health,True,TRUE,Imo,False,True,Others,FALSE,imo_orsu,False,97b54dc7-5c6d-4771-a31b-ed0ad200a9f8,,,97b54dc7-5c6d-4771-a31b-ed0ad200a9f8,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,False,,MCH AWO.IDEMILI,,primaryhealthcarecentre,False,True,False,True,1346275536171.jpg,5.83144991 6.95520017 202.39999389648438 5.0,False,True,FALSE,False,,,False,FALSE,,True,True,False,True,False,False,False,Orsu,614,614,614.0,False,True,False,False,False,False,False,False,False,False,FALSE,orsu,imo,southeast,6,4,0.0,0.0,0.0,1.0,False,public,False,True,1346275536171.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,False,True,Others,TRUE,imo_orsu,False,3fd281d0-7593-4b16-b0d2-934bceac6ac1,False,False,3fd281d0-7593-4b16-b0d2-934bceac6ac1,Southeast
False,55.85168391,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.000712479614103,0.0791074819195,False,True,False,,,False,,True,UBAHAEZEDEKE HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,False,False,True,1345906063497.jpg,5.83737641 6.94515881 179.8000030517578 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Orsu,614,614,312.0,False,True,True,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,3,3,1.0,0.0,2.0,0.0,False,public,False,True,1345906063497.jpg,120003,2148.60128825,,False,False,health,True,TRUE,Imo,False,True,Others,FALSE,imo_orsu,False,d164ca3a-0eea-4bd7-8353-f06995bc8ec3,,,d164ca3a-0eea-4bd7-8353-f06995bc8ec3,Southeast
False,55.85168391,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,False,False,True,True,Community Health Centre,TRUE,primaryhealthclinic,False,True,False,True,1345905559849.jpg,5.81955061 6.96271591 188.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Orsu,614,614,614.0,False,True,False,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,8,5,,2.0,14.0,6.0,False,public,,True,1345905559849.jpg,120003,2148.60128825,True,False,False,health,True,TRUE,Imo,True,False,Others,TRUE,imo_orsu,False,089cf13e-2015-4897-84ed-4111d716ec65,False,False,089cf13e-2015-4897-84ed-4111d716ec65,Southeast
False,55.85168391,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Amadiaba Health Post,TRUE,healthpostdispensary,False,,False,,1346244591361.jpg,5.88287514 6.99037998 136.39999389648438 5.0,False,True,FALSE,False,True,True,False,FALSE,True,True,True,False,True,False,False,False,Orsu,614,614,614.0,False,True,True,True,True,False,False,False,False,False,FALSE,orsu,imo,southeast,0,0,,,2.0,,False,public,,True,1346244591361.jpg,120003,2148.60128825,False,False,False,health,True,TRUE,Imo,,True,Others,FALSE,imo_orsu,False,3b444f8c-dfe6-4720-824c-cfbc2b0f30df,,,3b444f8c-dfe6-4720-824c-cfbc2b0f30df,Southeast
