breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,ALAOCHA,,,Stand Alone Water Point,,Yes,5.779688358306885 7.2088176012039185 153.0 4.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300797622935.jpg,water,Imo,imo_unuimo,6ce496f686097c6f82e531f511bb56f1,EZIAMA,Handpump,,,,
Mechanical Issue,,umiagwo,,,Stand Alone Water Point,,No,5.745989084243774 7.193325161933899 190.0 3.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300804753843.jpg,water,Imo,imo_unuimo,d447b718396c3760a3b12b22d38cebdf,okwelle ward 1,Handpump,,,,
Mechanical Issue,,Okwe,,,"Water Scheme, Source further than 1km",,No,5.783185958862305 7.215544581413269 138.0 6.0,True,Unuimo,732,732,732.0,Electric,No,1301312965846.jpg,water,Imo,imo_unuimo,5e3f17f14e42991ecbd6a49509965277,Umuogonya okwe,Tap,,,,
Mechanical Issue,,umucheke,,,Stand Alone Water Point,,No,5.792375206947327 7.200744152069092 159.0 6.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300442411915.jpg,water,Imo,imo_unuimo,4acd81d0a923052ca28aad1cd65b9df1,3,Handpump,,,,
Mechanical Issue,,UMUKO OKWELLE,,,Stand Alone Water Point,,No,5.746954679489136 7.17732846736908 179.0 6.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300891456313.jpg,water,Imo,imo_unuimo,697278f0b3939800675d9588be9115e5,OKWELLE WARD 3,Handpump,,,,
Functional,,OKWELLE,,,Stand Alone Water Point,,Yes,5.750758051872253 7.180595397949219 202.0 8.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300973137298.jpg,water,Imo,imo_unuimo,7b35649c2a8f2df146fc3df7a5b7f116,UMUDURUEBO OKWELLE,Handpump,,,,
Functional,,UMUCHEKE OKWE,,,Stand Alone Water Point,,Yes,5.788089036941528 7.204585075378418 162.0 4.0,False,Unuimo,732,732,732.0,Manual,No,1300799864953.jpg,water,Imo,imo_unuimo,78eeff1a20dc756468175a8d08abbf7c,UMUCHEKE WARD 3,Unimproved Large Diameter Well,,,,
Functional,,Okwe,,,Stand Alone Water Point,,Yes,5.777655243873596 7.218596935272217 144.0 3.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300876374539.jpg,water,Imo,imo_unuimo,c2050ccdc4ed23e72c154799192dc779,Eziama okwe ward 1,Handpump,,,,
Functional,,umuagwo ikwuato okwelle,,,Stand Alone Water Point,,Yes,5.745490193367004 7.192273736000061 181.0 4.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300278394471.jpg,water,Imo,imo_unuimo,a491cd280f121e22aa1dc9a0f05edc15,8,Handpump,,,,
Functional,,ICHIRIBE EZIAMA,,,Stand Alone Water Point,,Yes,5.796082019805908 7.218044400215149 145.0 3.0,True,Unuimo,732,732,732.0,Hand Pump,No,1301322189634.jpg,water,Imo,imo_unuimo,4410b9ba86ab14b2593b595e9feaccec,EZIAMA WARD 1,Handpump,,,,
Functional,,Okwe,,,Stand Alone Water Point,,Yes,5.776480436325073 7.2181785106658936 149.0 3.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300882191014.jpg,water,Imo,imo_unuimo,7c71d24032f9eee8c21d249ba0f0c3f2,Eziama ward 1,Handpump,,,,
Functional,,okohia,,,Stand Alone Water Point,,Yes,5.773508548736572 7.255021333694458 132.0 4.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300971116265.jpg,water,Imo,imo_unuimo,644903fddf546584328910a97d12a319,5 umunna,Handpump,,,,
Functional,,ezuhu,,,"Water Scheme, Source within 100m",,Yes,5.76532781124115 7.252457141876221 133.0 4.0,True,Unuimo,732,732,732.0,Electric,No,1301052738918.jpg,water,Imo,imo_unuimo,308695d8b5c26712d78dc8548ed74dc6,umuna ward 5,Tap,,,,
Mechanical Issue,,ALAOCHA,,,Stand Alone Water Point,,No,5.781469345092773 7.21102774143219 154.0 4.0,True,Unuimo,732,732,732.0,Hand Pump,No,1300796480686.jpg,water,Imo,imo_unuimo,d329b2822e6e10feb11d4a1e04262409,EZIAMA,Handpump,,,,
Functional,,UMUNA,,,"Water Scheme, Source within 100m",,Yes,5.772526860237122 7.257161736488342 141.0 4.0,True,Unuimo,732,732,732.0,Electric,No,1300803568608.jpg,water,Imo,imo_unuimo,f70da7065b7c877e5f37a60391c311aa,OKOHIA,Tap,,,,
Dry Well,,umuagwo,,,"Water Scheme, Source within 1km",,No,5.741477608680725 7.1937114000320435 204.0 8.0,True,Unuimo,732,732,732.0,Solar,No,1300279729797.jpg,water,Imo,imo_unuimo,d3d85dcc811253b9f3cc412edfd11194,8,Tap,,,,
Functional,,amato okwelle,0.00465052194399,0.516391782969,Stand Alone Water Point,,Yes,5.751037001609802 7.173262238502502 192.0 8.0,True,Unuimo,732,732,543.0,Hand Pump,No,1300365019553.jpg,water,Imo,imo_unuimo,1edb15f9ba0a1276fdae00d73b398685,10,Handpump,,,,
Mechanical Issue,,Ndikpebo comm,0.00206861324378,0.22968289899,Stand Alone Water Point,,No,5.825881361961365 7.1995532512664795 143.0 4.0,True,Unuimo,732,732,294.0,Hand Pump,No,1300877436355.jpg,water,Imo,imo_unuimo,648d8c19a546e674bb5a662c44f9aa18,Ndikpebo,Handpump,,,,
Dry Well,,UMUDURUEBO,0.000791828778507,0.0879241478088,Stand Alone Water Point,,No,5.75434684753418 7.178294062614441 202.0 4.0,True,Unuimo,732,732,295.0,Hand Pump,No,1300976390957.jpg,water,Imo,imo_unuimo,418d2774b496d712e58c53a5a59c6a6e,UMUDURUEBO OKWELLE WATER SCHEME,Handpump,,,,
Functional,,Ofeahia Umuduru,0.0117518038305,1.30482137826,Stand Alone Water Point,,Yes,5.8298081159591675 7.190696597099304 152.0 4.0,True,Unuimo,732,732,294.0,Hand Pump,No,1300886506140.jpg,water,Imo,imo_unuimo,35a021dfef014f55caeb7bd30fbaf746,Ofeahia Ward 5,Handpump,,,,
Mechanical Issue,,okai umuna,0.00513811368037,0.570531475393,Stand Alone Water Point,,No,5.755403637886047 7.2663456201553345 140.0 3.0,True,Unuimo,732,732,183.0,Hand Pump,No,1300789901278.jpg,water,Imo,imo_unuimo,c8819543c69e8cca9cdb88d504ed9d1b,5,Handpump,,,,
Mechanical Issue,,OJIAMA,0.00399427453001,0.443519903657,Stand Alone Water Point,,No,5.757640600204468 7.176545262336731 207.0 4.0,True,Unuimo,732,732,295.0,Electric,No,1300975050979.jpg,water,Imo,imo_unuimo,1b6257f7eaad0fe8f6e61b8e04ab539e,OJIAMA WARD 10,Tap,,,,
Functional,,Ndikpeabo,0.000725764302383,0.0805833939211,"Water Scheme, Source within 100m",,Yes,5.824819207191467 7.2005295753479 114.0 4.0,True,Unuimo,732,732,294.0,Electric,No,1300876227115.jpg,water,Imo,imo_unuimo,3591b5bf868960ff7f371f33d32b5ded,Abokofia,Tap,,,,
,,OKWELLE,0.000865150364299,0.096065725035,Stand Alone Water Point,,No,5.754362940788269 7.178218960762024 189.0 8.0,True,Unuimo,732,732,295.0,Hand Pump,No,1300973499970.jpg,water,Imo,imo_unuimo,05a9efc66cf2efc4d109b937b9bdef36,UMUDURUEBO OKWELLE,Handpump,,,,
Functional,,ojiama obinulo,0.00697789153038,0.774814315915,Stand Alone Water Point,,Yes,5.7612669467926025 7.175230979919434 207.0 4.0,True,Unuimo,732,732,295.0,Hand Pump,No,1300272985069.jpg,water,Imo,imo_unuimo,53ccd835619826081cc6c3fe0f223c1f,10,Handpump,,,,
Mechanical Issue,,Ofeahia Umuduru,0.00989039533653,1.09814725932,Stand Alone Water Point,,No,5.829427242279053 7.192568778991699 158.0 4.0,True,Unuimo,732,732,294.0,Hand Pump,No,1300887586367.jpg,water,Imo,imo_unuimo,8b9a37e276545c3636374a95c31605ff,Ofeahia Umuduru Ward 5,Handpump,,,,
