antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,512.172425,False,False,False,True,False,True,False,False,True,True,True,False,,False,FALSE,False,,,False,False,False,,,False,,,b    h  c,,primaryhealthclinic,False,True,False,True,1339671802124.jpg,12.401021718978882 9.978901147842407 378.0 4.0,False,True,FALSE,False,True,False,False,FALSE,,True,False,False,False,False,False,False,Auyo,71,71,71.0,False,True,True,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,4,4,0.0,0.0,0.0,0.0,False,public,,False,1339671802124.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,True,Others,FALSE,jigawa_auyo,False,25320219-df11-4250-951c-2591e24af7ab,,,25320219-df11-4250-951c-2591e24af7ab,Northwest
False,512.172425,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Ganuwar kuka health post,,healthpostdispensary,False,True,False,True,1339661913298.jpg,12.4330792 10.03261579 382.0 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Auyo,71,71,71.0,False,True,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1339661913298.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,,Others,FALSE,jigawa_auyo,False,212f8870-0e08-4e55-9163-f182ac5cda55,,,212f8870-0e08-4e55-9163-f182ac5cda55,Northwest
False,512.172425,False,False,False,False,False,False,False,False,True,False,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,DISPENSARY,,healthpostdispensary,False,True,False,True,1339601959416.jpg,12.37870763 10.20417717 376.1000061035156 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,True,False,False,Auyo,71,71,71.0,False,True,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1339601959416.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,,Others,FALSE,jigawa_auyo,False,771dcc05-f1f5-4b48-8fa5-3ebf16e964f1,,,771dcc05-f1f5-4b48-8fa5-3ebf16e964f1,Northwest
False,512.172425,False,False,False,False,False,True,False,True,True,True,True,True,False,True,TRUE,False,,,False,True,False,True,False,False,,True,KALGWAI PRIMARY HEALTH CARE,TRUE,primaryhealthcarecentre,False,True,False,True,1339762809116.jpg,12.326853275299072 9.84399676322937 389.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,True,False,False,Auyo,71,71,71.0,False,True,False,True,True,False,False,False,False,False,FALSE,auyo,jigawa,northwest,1,1,,1.0,0.0,,False,public,False,False,1339762809116.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,True,Others,FALSE,jigawa_auyo,False,ac88a784-8b19-4246-a9e5-3524ae84ca7b,,,ac88a784-8b19-4246-a9e5-3524ae84ca7b,Northwest
False,512.172425,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,BHC,FALSE,primaryhealthclinic,False,True,False,True,1339667837687.jpg,12.38502666 10.0764817 387.70001220703125 5.0,False,True,FALSE,False,True,True,False,FALSE,,True,False,False,True,False,False,False,Auyo,71,71,71.0,False,True,False,True,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,3,3,0.0,0.0,0.0,0.0,False,public,False,False,1339667837687.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,False,Others,TRUE,jigawa_auyo,False,cff7e1bb-09cf-430a-af50-98ca23136f08,,,cff7e1bb-09cf-430a-af50-98ca23136f08,Northwest
False,512.172425,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,True,True,False,False,,Model phc auyo,TRUE,primaryhealthclinic,False,True,False,True,1339756013210.jpg,12.33748321 9.93639962 384.70001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Auyo,71,71,71.0,False,True,True,True,True,False,False,False,False,False,FALSE,auyo,jigawa,northwest,16,14,1.0,2.0,4.0,0.0,False,public,False,True,1339756013210.jpg,132001,257.727658806,True,False,False,health,True,TRUE,Jigawa,True,True,Others,TRUE,jigawa_auyo,False,4f836804-ba23-4faa-afc7-7a3fff286854,False,False,4f836804-ba23-4faa-afc7-7a3fff286854,Northwest
False,512.172425,False,False,False,False,False,False,False,False,True,False,True,True,,False,FALSE,False,,,False,True,False,False,True,False,False,True,DISPENSARY,,healthpostdispensary,False,True,False,True,1339592954730.jpg,12.39253131 10.1645879 388.3999938964844 5.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,False,False,False,False,Auyo,71,71,71.0,False,True,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1339592954730.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,,Others,FALSE,jigawa_auyo,False,427a652c-d4c0-4dc6-85d4-e54f60d9cd84,False,False,427a652c-d4c0-4dc6-85d4-e54f60d9cd84,Northwest
False,512.172425,False,False,False,True,False,True,False,True,True,True,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,adamu musa,,primaryhealthclinic,False,,False,,1339591794466.jpg,12.390652298927307 10.023688673973083 387.0 4.0,False,True,FALSE,False,True,False,False,FALSE,,True,False,False,False,False,False,False,Auyo,71,71,71.0,False,True,True,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,3,3,0.0,0.0,0.0,0.0,False,public,,True,1339591794466.jpg,132001,257.727658806,,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_auyo,False,69b8b51c-2680-4e5e-a1c8-e314eaca602a,,,69b8b51c-2680-4e5e-a1c8-e314eaca602a,Northwest
False,512.172425,True,True,True,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,True,True,PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1339606023434.jpg,12.38165824 10.23781544 372.70001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Auyo,71,71,71.0,False,True,False,True,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,5,3,0.0,0.0,2.0,2.0,False,public,False,True,1339606023434.jpg,132001,257.727658806,True,False,False,health,True,TRUE,Jigawa,True,True,Others,TRUE,jigawa_auyo,False,66e6ad4e-de04-4b34-8f6b-9193727af1cf,False,False,66e6ad4e-de04-4b34-8f6b-9193727af1cf,Northwest
False,512.172425,False,False,False,True,False,True,False,True,True,True,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,adamu musa,,primaryhealthclinic,False,,False,,1339591794466.jpg,12.390652298927307 10.023688673973083 387.0 4.0,False,True,FALSE,False,True,False,False,FALSE,,True,False,False,False,False,False,False,Auyo,71,71,71.0,False,True,True,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,3,3,0.0,0.0,0.0,0.0,False,public,,True,1339591794466.jpg,132001,257.727658806,,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_auyo,False,69b8b51c-2680-4e5e-a1c8-e314eaca602a,,,69b8b51c-2680-4e5e-a1c8-e314eaca602a,Northwest
False,512.172425,True,True,True,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,True,True,PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1339606023434.jpg,12.38165824 10.23781544 372.70001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Auyo,71,71,71.0,False,True,False,True,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,5,3,0.0,0.0,2.0,2.0,False,public,False,True,1339606023434.jpg,132001,257.727658806,True,False,False,health,True,TRUE,Jigawa,True,True,Others,TRUE,jigawa_auyo,False,66e6ad4e-de04-4b34-8f6b-9193727af1cf,False,False,66e6ad4e-de04-4b34-8f6b-9193727af1cf,Northwest
False,512.172425,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Ganuwar kuka health post,,healthpostdispensary,False,True,False,True,1339661913298.jpg,12.4330792 10.03261579 382.0 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Auyo,71,71,71.0,False,True,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1339661913298.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,,Others,FALSE,jigawa_auyo,False,212f8870-0e08-4e55-9163-f182ac5cda55,,,212f8870-0e08-4e55-9163-f182ac5cda55,Northwest
False,512.172425,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Health post,,healthpostdispensary,False,,False,,1339760811845.jpg,12.33484683 9.9735705 383.0 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Auyo,71,71,71.0,False,False,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1339760811845.jpg,132001,257.727658806,,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_auyo,False,89ef4895-79f4-4563-9b7d-0a600debfbd8,,,89ef4895-79f4-4563-9b7d-0a600debfbd8,Northwest
False,512.172425,False,False,False,False,False,False,False,False,True,False,True,True,,False,FALSE,False,,,False,True,False,False,True,False,False,True,DISPENSARY,,healthpostdispensary,False,True,False,True,1339592954730.jpg,12.39253131 10.1645879 388.3999938964844 5.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,False,False,False,False,Auyo,71,71,71.0,False,True,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1339592954730.jpg,132001,257.727658806,True,False,False,health,False,TRUE,Jigawa,False,,Others,FALSE,jigawa_auyo,False,427a652c-d4c0-4dc6-85d4-e54f60d9cd84,False,False,427a652c-d4c0-4dc6-85d4-e54f60d9cd84,Northwest
False,512.172425,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,dispensary,,healthpostdispensary,False,,False,,1339588936611.jpg,12.360160946846008 9.988712668418884 397.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Auyo,71,71,71.0,False,False,False,False,False,False,False,False,False,False,FALSE,auyo,jigawa,northwest,0,0,0.0,0.0,0.0,1.0,False,public,,True,1339588936611.jpg,132001,257.727658806,True,False,False,health,True,TRUE,Jigawa,,,Others,FALSE,jigawa_auyo,False,c0bbe65a-c058-4691-b427-1de3a3904b48,,,c0bbe65a-c058-4691-b427-1de3a3904b48,Northwest
