antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,795.9851028,False,False,False,True,False,True,False,False,True,True,True,True,False,True,TRUE,False,,,False,True,False,True,False,False,False,True,Health Post,,healthpostdispensary,False,True,False,True,1339755531077.jpg,12.54560078 10.14078878 386.70001220703125 5.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,False,False,False,False,Kiri-Kasama,431,431,431.0,False,False,False,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,4,4,0.0,0.0,0.0,0.0,False,public,False,False,1339755531077.jpg,191523,240.611286978,,False,False,health,False,TRUE,Jigawa,True,True,Others,FALSE,jigawa_kiri_kasama,False,821df320-870a-4d73-98d2-61fc05b5633e,False,False,821df320-870a-4d73-98d2-61fc05b5633e,Northwest
False,795.9851028,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.010894418863,1.19809536222,False,True,False,True,False,False,,True,Meleri Health Post,,healthpostdispensary,False,True,False,True,1339676596227.jpg,12.662279605865479 10.195462703704834 368.0 4.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,True,False,False,False,Kiri-Kasama,431,431,484.0,False,True,True,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1339676596227.jpg,191523,240.611286978,True,False,False,health,False,TRUE,Jigawa,False,True,Others,FALSE,jigawa_kiri_kasama,False,eadb1e20-f45b-4261-ae5b-3a28be64d66a,,,eadb1e20-f45b-4261-ae5b-3a28be64d66a,Northwest
False,795.9851028,False,False,False,False,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,PHC,FALSE,primaryhealthclinic,False,,False,,1339585590558.jpg,12.552453875541687 10.25600552558899 381.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Kiri-Kasama,431,431,431.0,False,False,True,True,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,0,0,0.0,0.0,0.0,1.0,False,public,,False,1339585590558.jpg,191523,240.611286978,,False,False,health,True,TRUE,Jigawa,,True,Others,FALSE,jigawa_kiri_kasama,False,a2172e37-1d00-466c-a3e7-ffd67cde02d4,False,False,a2172e37-1d00-466c-a3e7-ffd67cde02d4,Northwest
False,795.9851028,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,HEALH POST,,healthpostdispensary,False,,False,,1339677332017.jpg,12.70385893 10.20396145 379.79998779296875 5.0,False,False,FALSE,False,True,False,False,FALSE,,False,False,False,False,False,False,False,Kiri-Kasama,431,431,431.0,False,False,False,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1339677332017.jpg,191523,240.611286978,False,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_kiri_kasama,False,298c0d47-3c2f-45c1-9efd-c9dd2a205a9b,,,298c0d47-3c2f-45c1-9efd-c9dd2a205a9b,Northwest
False,795.9851028,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0400635414292,4.40607639696,False,True,False,,,False,,True,Jarmari Heath Post,,healthpostdispensary,False,,False,,1339766579402.jpg,12.633451223373413 10.163238644599915 372.0 4.0,False,False,FALSE,False,,,False,FALSE,,True,True,False,True,False,False,False,Kiri-Kasama,431,431,484.0,False,True,True,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1339766579402.jpg,191523,240.611286978,True,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_kiri_kasama,False,aa8da81c-40e6-43ab-b422-a678935d9eed,,,aa8da81c-40e6-43ab-b422-a678935d9eed,Northwest
False,795.9851028,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,HEALTH POST,,healthpostdispensary,False,,False,,1339576187170.jpg,12.72169881 10.28262631 362.5 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Kiri-Kasama,431,431,431.0,False,True,False,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1339576187170.jpg,191523,240.611286978,True,False,False,health,False,TRUE,Jigawa,,True,Others,FALSE,jigawa_kiri_kasama,False,a3fe9009-31c9-43d1-8beb-6182be9da2c9,,,a3fe9009-31c9-43d1-8beb-6182be9da2c9,Northwest
False,795.9851028,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,Model Primary Health Care Kiri Kasamma,TRUE,primaryhealthcarecentre,False,True,False,True,1339692887287.jpg,12.695249319076538 10.249418020248413 365.0 4.0,False,True,FALSE,False,True,False,False,TRUE,True,False,True,False,True,False,False,False,Kiri-Kasama,431,431,431.0,False,True,True,True,True,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,4,3,0.0,3.0,3.0,0.0,False,public,False,True,1339692887287.jpg,191523,240.611286978,True,False,False,health,False,TRUE,Jigawa,False,True,Others,TRUE,jigawa_kiri_kasama,False,8a8e2862-7b4f-41ed-a62f-3ac881584cfa,,,8a8e2862-7b4f-41ed-a62f-3ac881584cfa,Northwest
False,795.9851028,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,Tandaru Health Post,,healthpostdispensary,False,,False,,1339927391155.jpg,12.485902905464172 10.105844736099243 375.0 4.0,False,True,FALSE,False,,,False,TRUE,True,False,False,False,True,False,False,False,Kiri-Kasama,431,431,431.0,False,True,True,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1339927391155.jpg,191523,240.611286978,,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_kiri_kasama,False,a1b88b47-fde8-4bbe-b3c7-74c2290c140f,,,a1b88b47-fde8-4bbe-b3c7-74c2290c140f,Northwest
False,795.9851028,False,False,False,False,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,Mattafari Dispensary,,healthpostdispensary,False,True,False,False,1339601043524.jpg,12.761650085449219 10.324117541313171 366.0 3.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Kiri-Kasama,431,431,431.0,False,True,True,False,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1339601043524.jpg,191523,240.611286978,True,False,False,health,False,TRUE,Jigawa,False,,Others,FALSE,jigawa_kiri_kasama,False,485fa0e9-d1e3-4ea4-b12e-100e38942cd2,,,485fa0e9-d1e3-4ea4-b12e-100e38942cd2,Northwest
False,795.9851028,False,False,False,True,False,False,False,False,True,True,False,False,False,True,FALSE,False,0.0158290908659,1.74118210161,False,True,False,,,False,False,True,Health Post,TRUE,healthpostdispensary,False,,False,,1339748055541.jpg,12.53849807 10.08482746 380.29998779296875 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Kiri-Kasama,431,431,484.0,False,True,False,True,False,False,False,False,False,False,FALSE,kiri_kasamma,jigawa,northwest,4,4,0.0,0.0,0.0,0.0,False,public,False,False,1339748055541.jpg,191523,240.611286978,True,False,False,health,False,TRUE,Jigawa,,True,Others,TRUE,jigawa_kiri_kasama,False,7f2a0608-37a6-4f73-b3bd-dbb3155544cc,False,False,7f2a0608-37a6-4f73-b3bd-dbb3155544cc,Northwest
