access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
True,True,1282.426676,True,yes,True,,,,formal,Jss Yandamo,primary_js,1301216426580.jpg,,,no,12.701144814491272 9.147518277168274 403.0 4.0,False,True,primary_js,Sule Tankakar,690,690,690.0,6.5,False,SULE_TANKAKAR,JIGAWA,northwest,yes,0.0,0.0,4.0,60.0,2.0,4.0,3.0,,4.0,public,False,1301216426580.jpg,130849,102.032344187,,False,no,no,Inf,30,Inf,15,,True,False,Jss Yandamo,education,Jigawa,1.0,113,False,False,yes,1,0.0666666666666667,no,,jigawa_sule_tankakar,d32f0b6de458947fa0e1e33a74e87798,False,17660,Northwest
False,False,1282.426676,True,no,False,,,,formal,Baruma Pri.Sch,primary,1301305164785.jpg,,,yes,12.77384340763092 9.124558568000793 389.0 4.0,True,True,primary,Sule Tankakar,690,690,690.0,1.9,False,SULE_TANKAKAR,JIGAWA,northwest,yes,2.0,0.0,6.0,29.0,1.0,2.0,2.0,,0.0,public,False,1301305164785.jpg,130849,102.032344187,,False,yes,yes,Inf,7.25,Inf,14.5,,False,True,Baruma Pri.Sch,education,Jigawa,0.0,113,False,False,yes,Inf,0,no,,jigawa_sule_tankakar,79ce426ace034f6204c45044a728e092,False,19014,Northwest
False,False,1282.426676,True,yes,False,,,,formal,Induka Nomadic Pry Sch,primary,1301319851589.jpg,,,no,12.821769118309021 9.070345759391785 395.0 3.0,False,False,primary,Sule Tankakar,690,690,690.0,2.25,False,SULE_TANKAKAR,JIGAWA,northwest,no,0.0,0.0,0.0,52.0,1.0,1.0,1.0,,0.0,public,False,1301319851589.jpg,130849,102.032344187,,False,no,no,Inf,Inf,Inf,52,,True,True,Induka Nomadic Pry Sch,education,Jigawa,0.0,113,False,False,yes,1,0,no,,jigawa_sule_tankakar,9b66f55398bbff8ebb7f10e2aec52922,False,17705,Northwest
False,False,1282.426676,True,yes,True,,,,formal,Jikai Pri.,primary,1301402561352.jpg,,,no,12.612229585647583 9.219079613685608 395.0 4.0,False,False,primary,Sule Tankakar,690,690,690.0,1.66666666666667,True,SULE_TANKAKAR,JIGAWA,northwest,yes,0.0,0.0,4.0,40.0,0.0,2.0,2.0,,0.0,public,False,1301402561352.jpg,130849,102.032344187,,False,no,no,Inf,20,Inf,20,,False,True,Jikai Pri.,education,Jigawa,0.0,113,False,False,yes,Inf,0,no,,jigawa_sule_tankakar,e40ea3ba92f5b00ae19429bbc9db7891,False,19040,Northwest
False,False,1282.426676,True,yes,False,,,,formal,Ubandawaki Pry Sch,primary,1300970093836.jpg,,,no,12.663642168045044 9.101888537406921 396.0 4.0,False,False,primary,Sule Tankakar,690,690,690.0,1.33333333333333,False,SULE_TANKAKAR,JIGAWA,northwest,yes,4.0,4.0,16.0,35.0,0.0,4.0,2.0,,8.0,public,False,1300970093836.jpg,130849,102.032344187,,False,no,no,Inf,2.91666666666667,Inf,8.75,,True,True,Ubandawaki Pry Sch,education,Jigawa,0.0,113,False,False,yes,1,0.228571428571429,no,,jigawa_sule_tankakar,b41995a31737be3c1b09fd66000091cf,False,3769,Northwest
False,False,1282.426676,,no,True,,,,formal,Mairago Pri.,primary,1300888978879.jpg,,,no,12.724817991256714 9.29568886756897 389.0 4.0,False,False,primary,Sule Tankakar,690,690,690.0,,False,SULE_TANKAKAR,JIGAWA,northwest,,0.0,0.0,10.0,-8.0,,4.0,3.0,,40.0,public,False,1300888978879.jpg,130849,102.032344187,,False,,,-Inf,-1.6,-Inf,-2,,True,True,Mairago Pri.,education,Jigawa,,113,False,False,,Inf,-5,,,jigawa_sule_tankakar,70a144731aebc7a127ff67fde3d415fe,False,18928,Northwest
False,False,1282.426676,True,no,True,,,,formal,Jss Maimazari,js,1300872815593.jpg,,,no,12.673931121826172 9.318857789039612 408.0 12.0,False,False,js,Sule Tankakar,690,690,690.0,3,False,SULE_TANKAKAR,JIGAWA,northwest,no,0.0,0.0,4.0,80.0,0.0,5.0,4.0,,20.0,public,False,1300872815593.jpg,130849,102.032344187,,False,no,no,5,40,5,16,,True,True,Jss Maimazari,education,Jigawa,0.0,113,False,False,yes,Inf,0.25,no,,jigawa_sule_tankakar,473a073402b18384f74cfca2a1562f27,False,234,Northwest
False,False,1282.426676,True,no,True,,,,formal,Kuka Mai Dire,primary,1300884804207.jpg,,,no,12.72515594959259 9.320542216300964 402.0 4.0,False,True,primary,Sule Tankakar,690,690,690.0,0.75,False,SULE_TANKAKAR,JIGAWA,northwest,yes,0.0,0.0,8.0,35.0,4.0,4.0,4.0,,25.0,public,False,1300884804207.jpg,130849,102.032344187,,False,no,no,Inf,8.75,Inf,8.75,,True,True,Kuka Mai Dire,education,Jigawa,1.0,113,False,False,yes,Inf,0.714285714285714,no,,jigawa_sule_tankakar,2240bae7bfbe831e5a9a8eb4b7583fc6,False,18925,Northwest
False,False,1282.426676,True,yes,False,,,,formal,Kaya,primary,1301220381884.jpg,,,no,12.699358463287354 9.110133647918701 402.0 4.0,False,False,primary,Sule Tankakar,690,690,690.0,1.66666666666667,False,SULE_TANKAKAR,JIGAWA,northwest,yes,2.0,0.0,2.0,16.0,0.0,2.0,1.0,,20.0,public,False,1301220381884.jpg,130849,102.032344187,,False,no,yes,Inf,8,Inf,8,,True,True,Kaya,education,Jigawa,1.0,113,False,False,no,Inf,1.25,no,,jigawa_sule_tankakar,88ea7d3e0d5b5e1f6cd1008e1ebccf55,False,18990,Northwest
False,False,1282.426676,True,yes,False,,,,integrated,Marygaana,primary,1300893078753.jpg,,,no,12.787501215934753 9.332821369171143 386.0 4.0,False,False,primary,Sule Tankakar,690,690,690.0,1.33333333333333,False,SULE_TANKAKAR,JIGAWA,northwest,no,0.0,0.0,0.0,35.0,0.0,2.0,0.0,,0.0,public,False,1300893078753.jpg,130849,102.032344187,,False,no,no,Inf,Inf,Inf,17.5,,False,False,Marygaana,education,Jigawa,0.0,113,False,False,yes,1,0,no,,jigawa_sule_tankakar,15ee6b1414c1ceb61b9c11456ee05ce1,False,17633,Northwest
