access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,2810.183518,False,FALSE,False,0.23061504808,25.46085471,,formal_educ,UBE Avogoh,primary_only,1293909167518.jpg,,False,,10.34554173 7.80135575 694.0 5.0,False,False,primary_only,Kajuru,404,404,423.0,1.28155339805825,False,kajuru,kaduna,northwest,FALSE,3.0,0.0,5.0,235.0,3.0,4.0,,2.0,391.0,public,False,1293909167518.jpg,110868,39.452227689,,False,FALSE,FALSE,117.5,47,Inf,58.75,,False,True,UBE Avogoh,education,Kaduna,0.0,Others,True,False,FALSE,Inf,1.66382978723404,FALSE,,kaduna_kajuru,f9c5e3d9-952c-4339-a44f-212d6a425390,False,f9c5e3d9-952c-4339-a44f-212d6a425390,Northwest
False,False,2810.183518,True,FALSE,True,0.282030590877,31.1315059886,,formal_educ,UBE PS Ikpasura Remau,primary_only,1293730240277.jpg,,False,,10.44536781 7.75267038 639.5 5.0,False,False,primary_only,Kajuru,404,404,423.0,1.13836477987421,False,kajuru,kaduna,northwest,TRUE,0.0,0.0,6.0,340.0,7.0,8.0,,4.0,0.0,public,False,1293730240277.jpg,110868,39.452227689,,False,FALSE,FALSE,Inf,56.6666666666667,Inf,42.5,,False,True,UBE PS Ikpasura Remau,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0,FALSE,,kaduna_kajuru,94c517c7-9b7d-4e49-9ceb-681f56fa94f9,False,94c517c7-9b7d-4e49-9ceb-681f56fa94f9,Northwest
False,False,2810.183518,False,FALSE,False,,,,formal_educ,LEA,primary_only,1347551007868.jpg,False,False,,9.98030178 8.59247284 863.4000244140625 5.0,False,False,primary_only,Kajuru,404,404,404.0,2.14285714285714,False,kajuru,kaduna,northwest,FALSE,,0.0,8.0,220.0,3.0,7.0,,2.0,106.0,public,False,1347551007868.jpg,110868,39.452227689,,False,FALSE,FALSE,5.5,27.5,5.5,31.4285714285714,,False,True,LEA,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0.481818181818182,FALSE,,kaduna_kajuru,388afb51-a0b2-4748-b0b2-94d7d7843f2b,False,388afb51-a0b2-4748-b0b2-94d7d7843f2b,Northwest
False,True,2810.183518,True,FALSE,False,,,,formal_educ,L e a,primary_only,1347549415574.jpg,,False,,9.96487311 8.5912893 862.7000122070313 5.0,False,False,primary_only,Kajuru,404,404,404.0,0.9,False,kajuru,kaduna,,FALSE,3.0,,3.0,190.0,3.0,5.0,,5.0,0.0,public,True,1347549415574.jpg,110868,39.452227689,,False,FALSE,FALSE,3.27586206896552,63.3333333333333,3.8,38,,True,,L e a,education,Kaduna,2.0,Others,True,False,TRUE,Inf,0,TRUE,,kaduna_kajuru,d7b2d8e4-c23a-408a-aaa2-424de7952f69,False,d7b2d8e4-c23a-408a-aaa2-424de7952f69,Northwest
False,False,2810.183518,False,FALSE,False,0.141456466978,15.6149127256,,formal_educ,LGEA IDU,primary_only,1336128750640.jpg,True,False,FALSE,10.47666771 7.90395169 658.5 5.0,False,False,primary_only,Kajuru,404,404,423.0,2,True,kajuru,kaduna,northwest,TRUE,4.0,0.0,6.0,162.0,0.0,5.0,,1.0,105.0,public,False,1336128750640.jpg,110868,39.452227689,,False,FALSE,FALSE,Inf,27,Inf,32.4,81,False,True,LGEA IDU,education,Kaduna,0.0,Others,False,False,FALSE,Inf,0.648148148148148,FALSE,,kaduna_kajuru,3f81cbe3-8007-4a55-ba22-f3e74c964541,False,3f81cbe3-8007-4a55-ba22-f3e74c964541,Northwest
False,False,2810.183518,False,FALSE,False,0.211351383878,23.3401521762,,formal_educ,LGEA Adunga,primary_only,1293841193596.jpg,False,False,,10.18592679 7.88598552 769.2999877929688 5.0,False,False,primary_only,Kajuru,404,404,423.0,1.01851851851852,False,kajuru,kaduna,northwest,TRUE,4.0,0.0,6.0,218.0,2.0,5.0,,1.0,145.0,public,False,1293841193596.jpg,110868,39.452227689,,False,FALSE,FALSE,Inf,36.3333333333333,Inf,43.6,,False,True,LGEA Adunga,education,Kaduna,25.0,Others,True,False,FALSE,Inf,0.665137614678899,FALSE,,kaduna_kajuru,51e1f5d6-8c5e-4d67-bd4c-ce5198b4a0ad,False,51e1f5d6-8c5e-4d67-bd4c-ce5198b4a0ad,Northwest
False,False,2810.183518,True,FALSE,False,0.208829362075,23.0549680151,,formal_educ,LGEA Afogo,primary_only,1293828508194.jpg,True,False,,10.37129265 7.82374772 691.5 5.0,False,False,primary_only,Kajuru,404,404,423.0,1.24161073825503,False,kajuru,kaduna,northwest,FALSE,,0.0,6.0,334.0,0.0,7.0,,5.0,213.0,public,False,1293828508194.jpg,110868,39.452227689,,False,FALSE,FALSE,4.45333333333333,55.6666666666667,4.45333333333333,47.7142857142857,,False,False,LGEA Afogo,education,Kaduna,150.0,Others,True,False,FALSE,Inf,0.637724550898204,FALSE,,kaduna_kajuru,e2243f16-fc47-4551-92a5-0465f04d1a03,False,e2243f16-fc47-4551-92a5-0465f04d1a03,Northwest
False,False,2810.183518,False,TRUE,False,0.237262720714,26.1887810371,,formal_educ,UBE Sarkin Hausa,primary_only,1293734208059.jpg,True,False,TRUE,10.48736478 7.77745719 652.0 5.0,False,False,primary_only,Kajuru,404,404,423.0,0.921052631578947,False,kajuru,kaduna,northwest,TRUE,1.0,,6.0,365.0,7.0,8.0,,0.0,1650.0,public,False,1293734208059.jpg,110868,39.452227689,,False,FALSE,FALSE,182.5,60.8333333333333,36.5,45.625,60.8333333333333,False,True,UBE Sarkin Hausa,education,Kaduna,0.0,Others,True,False,TRUE,Inf,4.52054794520548,FALSE,,kaduna_kajuru,625c0830-8123-4acb-ad0a-8fb71c1531a8,False,625c0830-8123-4acb-ad0a-8fb71c1531a8,Northwest
False,False,2810.183518,False,FALSE,False,0.171106984452,18.8893496871,,formal_educ,UBE Pushu,primary_only,1293822841129.jpg,,False,,10.41909349 7.87321716 654.0999755859375 5.0,False,False,primary_only,Kajuru,404,404,423.0,1.06611570247934,True,kajuru,kaduna,northwest,TRUE,4.0,2.0,6.0,250.0,1.0,4.0,,2.0,77.0,public,False,1293822841129.jpg,110868,39.452227689,,False,TRUE,FALSE,Inf,41.6666666666667,Inf,62.5,,True,False,UBE Pushu,education,Kaduna,30.0,Others,True,False,FALSE,Inf,0.308,FALSE,,kaduna_kajuru,68ce9a76-4c5e-48b6-8d25-5c771a915741,False,68ce9a76-4c5e-48b6-8d25-5c771a915741,Northwest
False,False,2810.183518,False,FALSE,False,0.133926962695,14.7847849523,,formal_educ,LGEA LIBERE II,primary_only,1336135436530.jpg,False,False,,10.43556664 7.91587621 686.4000244140625 5.0,False,False,primary_only,Kajuru,404,404,423.0,1.24590163934426,True,kajuru,kaduna,northwest,FALSE,,0.0,6.0,137.0,0.0,3.0,,1.0,0.0,public,False,1336135436530.jpg,110868,39.452227689,,False,FALSE,FALSE,Inf,22.8333333333333,Inf,45.6666666666667,,False,False,LGEA LIBERE II,education,Kaduna,0.0,Others,False,False,FALSE,Inf,0,FALSE,,kaduna_kajuru,10b84e0b-407b-4994-b1ac-9b8023f0528c,False,10b84e0b-407b-4994-b1ac-9b8023f0528c,Northwest
