antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,299.8297607,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Health Clinic,,primaryhealthclinic,False,True,False,True,1347115246760.jpg,11.099823117256165 7.686556577682495 663.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,True,False,False,False,Zaria,771,771,771.0,False,True,False,False,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347115246760.jpg,408198,1361.43256442,,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,fa076299-8c09-4a9d-a0d6-33da5adac347,,,fa076299-8c09-4a9d-a0d6-33da5adac347,Northwest
False,299.8297607,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Health Clinic,TRUE,primaryhealthclinic,False,True,False,True,1347135414509.jpg,11.096572279930115 7.70441472530365 677.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,True,True,False,True,False,False,False,Zaria,771,771,771.0,False,True,False,True,True,False,False,False,False,False,FALSE,zaria,kaduna,northwest,6,5,2.0,1.0,3.0,1.0,False,public,,False,1347135414509.jpg,408198,1361.43256442,False,False,False,health,True,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,612ffc94-eedc-4979-9092-b2293a3badc1,,,612ffc94-eedc-4979-9092-b2293a3badc1,Northwest
False,299.8297607,False,True,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,True,True,False,,True,PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1347133350453.jpg,11.092227101325989 7.69741415977478 674.0 4.0,False,True,FALSE,False,True,True,False,FALSE,True,True,True,False,True,True,False,False,Zaria,771,771,771.0,False,True,True,True,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,6,5,1.0,1.0,2.0,1.0,False,public,,False,1347133350453.jpg,408198,1361.43256442,True,False,False,health,True,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,05634a47-62ac-4565-940b-4e8fc24b4aa2,,,05634a47-62ac-4565-940b-4e8fc24b4aa2,Northwest
False,299.8297607,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Jushi Health Clinic,,primaryhealthclinic,False,True,False,True,1347101582091.jpg,11.07448476 7.71754763 684.7000122070313 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Zaria,771,771,771.0,False,True,False,False,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,1,1,0.0,0.0,1.0,0.0,False,public,,True,1347101582091.jpg,408198,1361.43256442,,False,False,health,True,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,2cedb9f7-f35e-4d67-b3b5-7bf9876dc393,,,2cedb9f7-f35e-4d67-b3b5-7bf9876dc393,Northwest
False,299.8297607,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,True,True,Primary Health Care Anguwan Alkali,TRUE,primaryhealthclinic,False,True,False,True,1347075986919.jpg,11.07216293 7.70377757 704.2000122070313 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Zaria,771,771,771.0,False,True,True,True,True,False,False,False,False,False,FALSE,zaria,kaduna,northwest,6,6,0.0,0.0,1.0,0.0,False,public,,True,1347075986919.jpg,408198,1361.43256442,False,False,False,health,True,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,097531e0-899c-490b-bf5b-b96a991d2c36,False,False,097531e0-899c-490b-bf5b-b96a991d2c36,Northwest
False,299.8297607,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,PHC WUCICIRI,TRUE,primaryhealthcarecentre,False,True,False,True,1347279194221.jpg,10.97068662 7.7795148 652.2000122070313 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Zaria,771,771,771.0,False,True,True,True,True,False,False,False,False,False,FALSE,zaria,kaduna,northwest,6,5,0.0,1.0,0.0,2.0,False,public,False,True,1347279194221.jpg,408198,1361.43256442,,False,False,health,True,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,d67c7444-8433-4ab8-9b7f-f6577a3f089d,,,d67c7444-8433-4ab8-9b7f-f6577a3f089d,Northwest
False,299.8297607,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,Primary Health Care Danjinjiri,,primaryhealthclinic,False,True,False,True,1347071757155.jpg,11.04851031 7.69275656 688.9000244140625 5.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,True,False,False,False,Zaria,771,771,771.0,False,True,True,False,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,3,3,0.0,0.0,0.0,0.0,False,public,,False,1347071757155.jpg,408198,1361.43256442,,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,cb1ed8c6-2792-4421-9186-db1512a0dbb1,,,cb1ed8c6-2792-4421-9186-db1512a0dbb1,Northwest
False,299.8297607,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0143044447226,1.57748998474,False,True,False,,,False,,,PHC Kakeyi,,primaryhealthclinic,False,False,False,True,1347110866031.jpg,11.11356669 7.75606066 661.7000122070313 5.0,False,True,FALSE,False,,,False,TRUE,,True,False,False,False,False,False,False,Zaria,771,771,660.0,False,True,True,False,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1347110866031.jpg,408198,1361.43256442,False,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,2e9dc88f-b50f-4eba-a87a-552ba35dba12,,,2e9dc88f-b50f-4eba-a87a-552ba35dba12,Northwest
False,299.8297607,False,False,False,False,False,False,False,False,False,True,False,False,,False,FALSE,False,0.00148657728252,0.163952593087,False,True,False,,,False,,,Health Clinic,FALSE,primaryhealthclinic,False,True,False,True,1347220906238.jpg,11.069836020469666 7.62626588344574 719.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Zaria,771,771,248.0,False,False,False,True,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347220906238.jpg,408198,1361.43256442,True,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,57e2f28a-8670-4ed8-921d-c0c2cd2da551,,,57e2f28a-8670-4ed8-921d-c0c2cd2da551,Northwest
False,299.8297607,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,PHC Dakace,FALSE,primaryhealthcarecentre,False,True,False,True,1347107191280.jpg,11.08088872 7.75461452 666.0999755859375 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Zaria,771,771,771.0,False,False,True,True,False,False,False,False,False,False,FALSE,zaria,kaduna,northwest,5,5,0.0,0.0,0.0,0.0,False,public,False,False,1347107191280.jpg,408198,1361.43256442,,False,False,health,False,TRUE,Kaduna,False,True,Others,FALSE,kaduna_zaria,False,211d5645-033a-4d62-9f57-162d79b35639,,,211d5645-033a-4d62-9f57-162d79b35639,Northwest
