antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,716.7853126,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,False,False,False,,,Danbubu health post,,healthpostdispensary,False,False,False,True,1347019234657.jpg,11.60509893 8.25799129 579.0999755859375 5.0,False,False,FALSE,False,,,False,FALSE,False,False,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,False,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347019234657.jpg,188859,263.480566189,True,False,False,health,False,TRUE,Kano,False,,Others,TRUE,kano_bebeji,False,d1b5b1ba-54c6-4015-8840-bcecdc4111c8,,,d1b5b1ba-54c6-4015-8840-bcecdc4111c8,Northwest
False,716.7853126,False,False,False,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,True,True,False,,True,Rahama Basic Health Clinic,TRUE,primaryhealthclinic,False,True,False,True,1347366957767.jpg,11.40876111 8.272017 641.7000122070313 5.0,False,False,FALSE,False,True,False,False,TRUE,True,False,False,False,True,False,False,False,Bebeji,100,100,100.0,False,True,True,True,True,False,False,False,False,False,FALSE,bebeji,kano,northwest,3,3,0.0,0.0,2.0,0.0,False,public,,True,1347366957767.jpg,188859,263.480566189,False,False,False,health,False,FALSE,Kano,False,True,Others,FALSE,kano_bebeji,False,eadd487c-183d-437a-973e-a85b38beca5b,,,eadd487c-183d-437a-973e-a85b38beca5b,Northwest
False,716.7853126,False,False,True,True,False,True,False,True,True,False,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Gwarmai model health central,FALSE,primaryhealthclinic,False,True,False,True,1347278180448.jpg,11.53335426 8.25486902 599.2999877929688 5.0,False,False,FALSE,False,True,False,False,FALSE,,False,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,False,True,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,4,4,0.0,0.0,3.0,0.0,False,public,,True,1347278180448.jpg,188859,263.480566189,,False,False,health,True,TRUE,Kano,False,False,Others,TRUE,kano_bebeji,False,acf55bad-6feb-4a40-934d-55bc144e3254,,,acf55bad-6feb-4a40-934d-55bc144e3254,Northwest
False,716.7853126,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,True,False,,True,Alfijir nursing and maternitu home,FALSE,primaryhealthcarecentre,False,True,False,True,1347016781877.jpg,11.67203361 8.26173817 525.7000122070313 5.0,False,False,FALSE,False,True,True,False,FALSE,True,False,False,False,True,True,False,False,Bebeji,100,100,100.0,False,True,False,True,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,2,2,0.0,0.0,0.0,4.0,False,public,,True,1347016781877.jpg,188859,263.480566189,,False,False,health,True,TRUE,Kano,False,True,Others,FALSE,kano_bebeji,False,cbd63406-a532-4981-80b9-9dddf6093ef4,,,cbd63406-a532-4981-80b9-9dddf6093ef4,Northwest
False,716.7853126,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Gargai Health Post,,healthpostdispensary,False,True,False,True,1347276275726.jpg,11.54485148 8.38083817 559.0999755859375 5.0,False,True,FALSE,False,True,False,False,FALSE,,False,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,True,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1347276275726.jpg,188859,263.480566189,True,False,False,health,False,TRUE,Kano,False,,Others,FALSE,kano_bebeji,False,3447bd97-ad1f-4849-bb2b-db0b78ae3375,,,3447bd97-ad1f-4849-bb2b-db0b78ae3375,Northwest
False,716.7853126,False,False,False,True,False,True,False,False,True,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Kuki dispensary,,healthpostdispensary,False,True,False,True,1347026681217.jpg,11.42631727 8.3636656 575.0999755859375 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,False,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,True,1347026681217.jpg,188859,263.480566189,,False,False,health,False,TRUE,Kano,False,,Others,FALSE,kano_bebeji,False,dd80c45e-0d7c-4d94-ace1-abe7db573d69,,,dd80c45e-0d7c-4d94-ace1-abe7db573d69,Northwest
False,716.7853126,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Dispensary,,healthpostdispensary,False,True,False,False,1347359666837.jpg,11.55298337 8.32847709 489.8999938964844 5.0,False,True,FALSE,False,False,False,False,FALSE,,False,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,False,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,True,1347359666837.jpg,188859,263.480566189,,False,False,health,False,TRUE,Kano,False,,Others,FALSE,kano_bebeji,False,4ed1c376-f600-4eb6-8766-9c3646247bef,,,4ed1c376-f600-4eb6-8766-9c3646247bef,Northwest
False,716.7853126,False,False,False,True,True,False,False,True,True,False,True,True,,False,FALSE,False,,,True,True,False,,,False,,,Rantan H/P,,healthpostdispensary,False,True,False,False,1347188692387.jpg,11.51818591 8.37112622 545.2000122070313 5.0,False,False,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,True,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347188692387.jpg,188859,263.480566189,,False,False,health,False,TRUE,Kano,False,,Others,FALSE,kano_bebeji,False,de271042-dee1-4e06-9735-032f03a82ab2,,,de271042-dee1-4e06-9735-032f03a82ab2,Northwest
False,716.7853126,True,True,True,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,,,False,True,False,False,True,False,True,True,Bebeji generak hospital,TRUE,generalhospital,False,True,False,True,1346938507536.jpg,11.66985419 8.26746327 545.5999755859375 5.0,False,False,FALSE,False,,,False,TRUE,True,True,False,False,True,False,False,False,Bebeji,100,100,100.0,False,True,True,True,True,False,False,False,False,False,FALSE,bebeji,kano,northwest,7,6,3.0,,4.0,11.0,False,public,,True,1346938507536.jpg,188859,263.480566189,True,False,False,health,True,TRUE,Kano,True,True,Others,TRUE,kano_bebeji,False,1fecc530-3e01-487c-9780-4901e32fe24c,False,False,1fecc530-3e01-487c-9780-4901e32fe24c,Northwest
False,716.7853126,True,True,True,True,True,False,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,False,True,General hosp,TRUE,generalhospital,False,True,False,True,1347451574818.jpg,11.48113244 8.35790079 572.2999877929688 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,False,False,False,Bebeji,100,100,100.0,False,True,True,True,True,False,False,False,False,False,FALSE,bebeji,kano,northwest,6,6,2.0,2.0,8.0,12.0,False,public,False,True,1347451574818.jpg,188859,263.480566189,,False,False,health,True,TRUE,Kano,False,True,Others,TRUE,kano_bebeji,False,19e4dd0b-3515-4b91-8f17-e5900491cd64,False,False,19e4dd0b-3515-4b91-8f17-e5900491cd64,Northwest
False,716.7853126,False,False,False,True,True,False,False,True,True,False,True,True,,False,FALSE,False,,,True,True,False,,,False,,,Rantan H/P,,healthpostdispensary,False,True,False,False,1347188692387.jpg,11.51818591 8.37112622 545.2000122070313 5.0,False,False,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,True,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347188692387.jpg,188859,263.480566189,,False,False,health,False,TRUE,Kano,False,,Others,FALSE,kano_bebeji,False,de271042-dee1-4e06-9735-032f03a82ab2,,,de271042-dee1-4e06-9735-032f03a82ab2,Northwest
False,716.7853126,False,False,False,True,False,True,False,False,True,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Kuki dispensary,,healthpostdispensary,False,True,False,True,1347026681217.jpg,11.42631727 8.3636656 575.0999755859375 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bebeji,100,100,100.0,False,True,False,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,True,1347026681217.jpg,188859,263.480566189,,False,False,health,False,TRUE,Kano,False,,Others,FALSE,kano_bebeji,False,dd80c45e-0d7c-4d94-ace1-abe7db573d69,,,dd80c45e-0d7c-4d94-ace1-abe7db573d69,Northwest
False,716.7853126,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,0.0313578098385,3.45454294891,True,True,False,,,False,,,Jibga,,healthpostdispensary,False,,False,,1347185191942.jpg,11.70836113 8.23915587 528.9000244140625 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bebeji,100,100,432.0,False,True,False,False,False,False,False,False,False,False,FALSE,bebeji,kano,northwest,0,0,0.0,0.0,0.0,0.0,False,public,,True,1347185191942.jpg,188859,263.480566189,True,False,False,health,False,TRUE,Kano,,,Others,FALSE,kano_bebeji,False,68e32b99-63b2-481a-b198-a617eeb12616,,,68e32b99-63b2-481a-b198-a617eeb12616,Northwest
False,716.7853126,True,True,True,True,True,False,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,False,True,General hosp,TRUE,generalhospital,False,True,False,True,1347451574818.jpg,11.48113244 8.35790079 572.2999877929688 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,False,False,False,Bebeji,100,100,100.0,False,True,True,True,True,False,False,False,False,False,FALSE,bebeji,kano,northwest,6,6,2.0,2.0,8.0,12.0,False,public,False,True,1347451574818.jpg,188859,263.480566189,,False,False,health,True,TRUE,Kano,False,True,Others,TRUE,kano_bebeji,False,19e4dd0b-3515-4b91-8f17-e5900491cd64,False,False,19e4dd0b-3515-4b91-8f17-e5900491cd64,Northwest
