antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,450.1472483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Dal model primary health care,,wardmodelphccentre,False,True,False,True,1345816597382.jpg,11.47624214 8.82454001 566.4000244140625 5.0,False,False,FALSE,False,True,False,False,FALSE,,True,False,False,False,False,False,False,Garko,236,236,236.0,False,True,True,False,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1345816597382.jpg,162500,360.992987547,False,False,False,health,False,TRUE,Kano,False,,Others,TRUE,kano_garko,False,ae0e7c8c-14b6-4b56-9ab1-b4ef167d388c,,,ae0e7c8c-14b6-4b56-9ab1-b4ef167d388c,Northwest
False,450.1472483,False,False,False,True,True,True,False,False,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,False,True,HEALTH POST,,primaryhealthclinic,False,,False,,1345908691285.jpg,11.530210375785828 8.790355324745178 550.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Garko,236,236,236.0,False,True,False,False,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1345908691285.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,,True,Others,FALSE,kano_garko,False,f7b3aeaf-201d-4acd-a67d-3510f1adbd2f,False,False,f7b3aeaf-201d-4acd-a67d-3510f1adbd2f,Northwest
False,450.1472483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,GARKO PRIMARY HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1345806235615.jpg,11.65612302 8.80300654 481.1000061035156 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Garko,236,236,236.0,False,True,True,True,True,False,False,False,False,False,FALSE,garko,kano,northwest,12,9,0.0,2.0,0.0,0.0,False,public,,True,1345806235615.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,False,True,Others,TRUE,kano_garko,False,162704a0-de23-4e16-ad78-435f540b86de,,,162704a0-de23-4e16-ad78-435f540b86de,Northwest
False,450.1472483,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,False,True,HEALTH POST,FALSE,healthpostdispensary,False,True,False,True,1345993723218.jpg,11.601364016532898 8.780157566070557 514.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Garko,236,236,236.0,False,True,False,True,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,0,0.0,0.0,0.0,0.0,False,public,,False,1345993723218.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,False,False,Others,FALSE,kano_garko,False,8e64a0c6-6ac8-4e73-976f-51f2f1ecfb68,False,False,8e64a0c6-6ac8-4e73-976f-51f2f1ecfb68,Northwest
False,450.1472483,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Kafin chiri Basic Health Centre,,primaryhealthclinic,False,,False,,1346157148267.jpg,11.600999236106873 8.862158060073853 498.0 4.0,False,False,FALSE,False,True,True,False,FALSE,,True,False,False,False,False,False,False,Garko,236,236,236.0,False,True,True,False,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1346157148267.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,,True,Others,FALSE,kano_garko,False,66169a72-e81b-4085-8d1b-92a81e6e528d,,,66169a72-e81b-4085-8d1b-92a81e6e528d,Northwest
False,450.1472483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,KAFINMALAMAI HEALTH POST,,healthpostdispensary,False,,False,,1346165429115.jpg,11.6641566 8.88096155 500.20001220703125 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Garko,236,236,236.0,False,True,False,False,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1346165429115.jpg,162500,360.992987547,False,False,False,health,False,TRUE,Kano,,False,Others,FALSE,kano_garko,False,314bf250-159f-474f-9453-5e4fd84b2eb3,,,314bf250-159f-474f-9453-5e4fd84b2eb3,Northwest
False,450.1472483,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Sarina BHC,,primaryhealthclinic,False,True,False,True,1345902342236.jpg,11.58679965 8.92500179 496.8999938964844 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Garko,236,236,236.0,False,True,False,False,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1345902342236.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,False,True,Others,FALSE,kano_garko,False,919c9347-3889-459d-bca6-7625d7e553a4,,,919c9347-3889-459d-bca6-7625d7e553a4,Northwest
False,450.1472483,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,False,True,HEALTH POST,FALSE,healthpostdispensary,False,True,False,True,1345993723218.jpg,11.601364016532898 8.780157566070557 514.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Garko,236,236,236.0,False,True,False,True,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,0,0.0,0.0,0.0,0.0,False,public,,False,1345993723218.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,False,False,Others,FALSE,kano_garko,False,8e64a0c6-6ac8-4e73-976f-51f2f1ecfb68,False,False,8e64a0c6-6ac8-4e73-976f-51f2f1ecfb68,Northwest
False,450.1472483,False,False,False,True,False,False,False,True,True,True,False,True,,False,FALSE,False,0.021479971309,2.36635486904,False,True,False,,,False,,True,HEALTH  POST,,healthpostdispensary,False,,False,,1346172918171.jpg,11.71016192 8.82941913 472.1000061035156 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Garko,236,236,750.0,False,True,False,False,False,False,False,False,False,False,FALSE,garko,kano,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1346172918171.jpg,162500,360.992987547,,False,False,health,False,TRUE,Kano,,True,Others,FALSE,kano_garko,False,890e7fae-455e-4787-a901-9abb55b96af8,,,890e7fae-455e-4787-a901-9abb55b96af8,Northwest
False,450.1472483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,GARKO PRIMARY HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1345806235615.jpg,11.65612302 8.80300654 481.1000061035156 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Garko,236,236,236.0,False,True,True,True,True,False,False,False,False,False,FALSE,garko,kano,northwest,12,9,0.0,2.0,0.0,0.0,False,public,,True,1345806235615.jpg,162500,360.992987547,True,False,False,health,False,TRUE,Kano,False,True,Others,TRUE,kano_garko,False,162704a0-de23-4e16-ad78-435f540b86de,,,162704a0-de23-4e16-ad78-435f540b86de,Northwest
