access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,17.38827426,True,FALSE,True,0.0207825371108,2.28834543036,,religious_with_formal,Masallaci pri sch,primary_only,1300070161673.jpg,True,True,TRUE,11.996952295303345 8.519430756568909 519.0 4.0,False,False,primary_only,Kano-Municipal,412,412,140.0,,True,kano_municipal,kano,northwest,TRUE,5.0,15.0,46.0,2193.0,5.0,50.0,,46.0,1200.0,public,False,1300070161673.jpg,365525,21021.3500509,,False,FALSE,FALSE,Inf,47.6739130434783,10.4428571428571,43.86,,False,False,Masallaci pri sch,education,Kano,,Others,False,False,FALSE,4.16666666666667,0.547195622435021,TRUE,,kano_kano_municipal,449c4b44-7144-4c1b-b013-fa1db2c8418c,True,449c4b44-7144-4c1b-b013-fa1db2c8418c,Northwest
False,True,17.38827426,True,FALSE,True,0.0237363903706,2.61357266233,,formal_educ,Girls Islamic Secondary School yolawa,junior_and_senior_sec,1300055123981.jpg,True,False,FALSE,11.999859809875488 8.517960906028748 497.0 12.0,False,False,junior_and_senior_sec,Kano-Municipal,412,412,140.0,0,False,kano_municipal,kano,northwest,TRUE,0.0,0.0,12.0,513.0,6.0,22.0,,9.0,,,True,1300055123981.jpg,365525,21021.3500509,,True,FALSE,FALSE,2.98255813953488,42.75,2.91477272727273,23.3181818181818,85.5,True,False,Girls Islamic Secondary School yolawa,education,Kano,25.0,Others,False,False,TRUE,Inf,,FALSE,,kano_kano_municipal,178ba6fd-87c6-4a93-9204-fecb4e105668,True,178ba6fd-87c6-4a93-9204-fecb4e105668,Northwest
,,17.38827426,,,,0.0280878448364,3.0926701336,,religious_with_formal,Dalha Girls Schondry,primary_and_junior_sec,1336392391372.jpg,,,,12.00430691242218 8.520798683166504 484.0 4.0,,,primary_and_junior_sec,Kano-Municipal,412,412,140.0,,,kano_municipal,kano,northwest,,,,,,,0.0,,,,public,,1336392391372.jpg,365525,21021.3500509,,,,,,,,,,,,Dalha Girls Schondry,education,Kano,,Others,,,,,,,,kano_kano_municipal,a18b4fa8-9336-4a4b-b9f9-9b3e03e3057b,,a18b4fa8-9336-4a4b-b9f9-9b3e03e3057b,Northwest
False,False,17.38827426,False,FALSE,False,,,,religious_with_formal,Abdullahi ibn Adam isl pri sch,primary_only,1340022480838.jpg,,False,FALSE,11.95313007 8.51097786 506.79998779296875 5.0,False,False,primary_only,Kano-Municipal,412,412,412.0,0.578947368421053,False,kano_municipal,kano,northwest,TRUE,5.0,2.0,5.0,60.0,1.0,2.0,,0.0,28.0,public,True,1340022480838.jpg,365525,21021.3500509,,True,FALSE,FALSE,Inf,12,Inf,30,30,False,False,Abdullahi ibn Adam isl pri sch,education,Kano,0.0,Others,True,False,FALSE,Inf,0.466666666666667,FALSE,,kano_kano_municipal,60db4681-8010-4855-9c1f-4566e8b2ca85,False,60db4681-8010-4855-9c1f-4566e8b2ca85,Northwest
,,17.38827426,,,,0.0279398197181,3.076372684,,,Sheik Malam Sabo,,1336393843523.jpg,,,,12.004151344299316 8.520573377609253 499.0 6.0,,,,Kano-Municipal,412,412,140.0,,,kano_municipal,kano,northwest,,,,,,,0.0,,,0.0,,,1336393843523.jpg,365525,21021.3500509,,,,,,,,,,,,Sheik Malam Sabo,education,Kano,,Others,,,,,,,,kano_kano_municipal,f2287df6-8ed8-4538-becc-4d72f728b7cb,,f2287df6-8ed8-4538-becc-4d72f728b7cb,Northwest
False,True,17.38827426,,TRUE,True,0.0265091444528,2.91885100934,,religious_with_formal,Miftahurrashid Islamiyya primary school,primary_only,1300142102800.jpg,True,False,FALSE,12.00355589389801 8.51214051246643 519.0 12.0,False,False,primary_only,Kano-Municipal,412,412,140.0,,False,kano_municipal,kano,northwest,TRUE,0.0,0.0,,,0.0,10.0,,4.0,0.0,public,False,1300142102800.jpg,365525,21021.3500509,,True,FALSE,FALSE,,,,,,False,False,Miftahurrashid Islamiyya primary school,education,Kano,0.0,Others,False,False,FALSE,Inf,,FALSE,,kano_kano_municipal,95263610-e8d9-4c71-b45a-c540dadcc74f,True,95263610-e8d9-4c71-b45a-c540dadcc74f,Northwest
,,17.38827426,,,,0.0288085618132,3.17202074002,,,Izatu Islam,primary_only,1336395413180.jpg,,,,12.004993557929993 8.519757986068726 500.0 12.0,,,primary_only,Kano-Municipal,412,412,140.0,,,kano_municipal,kano,northwest,,,,,,,0.0,,,,,,1336395413180.jpg,365525,21021.3500509,,,,,,,,,,,,Izatu Islam,education,Kano,,Others,,,,,,,,kano_kano_municipal,f86fd372-518c-4040-9bf8-cd8c44912a79,,f86fd372-518c-4040-9bf8-cd8c44912a79,Northwest
,,17.38827426,,,,0.0241776649518,2.66215747407,,,Immam Nuhu,,1336397935143.jpg,,,,12.000358700752258 8.519715070724487 501.0 4.0,,,,Kano-Municipal,412,412,140.0,,,kano_municipal,kano,northwest,,,,,,,0.0,,,0.0,,,1336397935143.jpg,365525,21021.3500509,,,,,,,,,,,,Immam Nuhu,education,Kano,,Others,,,,,,,,kano_kano_municipal,a8e5458a-b0f2-4065-8a88-ee62ce720165,,a8e5458a-b0f2-4065-8a88-ee62ce720165,Northwest
False,False,17.38827426,True,FALSE,False,0.0238036428903,2.62097712225,,religious_with_formal,Yolawa special islamiyya primary school,preprimary_and_primary,1300053756013.jpg,,False,TRUE,11.999961733818054 8.517783880233765 482.0 4.0,False,False,preprimary_and_primary,Kano-Municipal,412,412,140.0,1.67682926829268,True,kano_municipal,kano,northwest,TRUE,0.0,,7.0,439.0,5.0,16.0,,8.0,72.0,public,False,1300053756013.jpg,365525,21021.3500509,,True,FALSE,TRUE,Inf,62.7142857142857,Inf,27.4375,54.875,False,False,Yolawa special islamiyya primary school,education,Kano,0.0,Others,False,False,TRUE,16,0.164009111617312,TRUE,,kano_kano_municipal,a565726a-4507-4b91-b650-3e7f03548cb9,False,a565726a-4507-4b91-b650-3e7f03548cb9,Northwest
False,True,17.38827426,False,FALSE,True,0.020911247103,2.3025168149,,religious_with_formal,MASALLACI NAT MODEL ADULT EDUVATION CENTER,primary_only,1300068215639.jpg,True,False,TRUE,11.99708640575409 8.519591689109802 509.0 4.0,False,False,primary_only,Kano-Municipal,412,412,140.0,3.88888888888889,False,kano_municipal,kano,northwest,FALSE,0.0,0.0,25.0,4400.0,0.0,8.0,,75.0,,private,False,1300068215639.jpg,365525,21021.3500509,,True,FALSE,FALSE,8.38095238095238,176,8.38095238095238,550,440,False,False,MASALLACI NAT MODEL ADULT EDUVATION CENTER,education,Kano,0.0,Others,False,False,TRUE,Inf,,TRUE,,kano_kano_municipal,3ef0cd18-928d-4543-bf42-d2f9a88cc087,False,3ef0cd18-928d-4543-bf42-d2f9a88cc087,Northwest
