breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,UNG TOFA,,,"Water Scheme, Source within 100m",1343641515070.jpg,No,11.785470843315125 7.964009642601013 573.0 4.0,True,Karaye,414,414,414.0,Tap (unknown lift),No,1343641515070.jpg,water,Kano,kano_karaye,0a6f3f83-facb-4b72-923c-ba77bbc71f45,DAURA,Tap,outlet,,0a6f3f83-facb-4b72-923c-ba77bbc71f45,Northwest
Poorly Constructed,,SABON LAYI KASUWA,,,Stand Alone Water Point,1343473910257.jpg,No,11.710048 7.94289201 570.0 5.0,True,Karaye,414,414,414.0,Hand Pump,No,1343473910257.jpg,water,Kano,kano_karaye,abd56a1f-a5ff-43db-a8de-f3ae82d78ded,YOLA,Borehole,water_source,borehole_tube_well,abd56a1f-a5ff-43db-a8de-f3ae82d78ded,Northwest
Functional,,Modobawa,,,Stand Alone Water Point,1343553462133.jpg,Yes,11.77071268 8.05962851 543.2000122070313 5.0,False,Karaye,414,414,414.0,Manual,No,1343553462133.jpg,water,Kano,kano_karaye,77ffc92c-e3a0-44d5-b1fe-12f32bd0636e,Turawa,Unimproved Well,water_source,unprotected_dug_well,77ffc92c-e3a0-44d5-b1fe-12f32bd0636e,Northwest
Dry Well,,Kwayen Buzaye,,,Stand Alone Water Point,1343733997221.jpg,No,11.77889075 8.04024985 553.5 5.0,False,Karaye,414,414,414.0,Manual,No,1343733997221.jpg,water,Kano,kano_karaye,c76452ac-a15e-4607-bb99-de475e69cb82,Magajin Gari,Unimproved Well,water_source,protected_dug_well,c76452ac-a15e-4607-bb99-de475e69cb82,Northwest
Functional,,MALAM SANI,,,Stand Alone Water Point,1343468793514.jpg,Yes,11.70303218 7.90318135 572.7999877929688 5.0,True,Karaye,414,414,414.0,Hand Pump,No,1343468793514.jpg,water,Kano,kano_karaye,2df44ae7-4fbc-44b9-ae75-7cc2496d3f12,TUDUN KAYA,Borehole,water_source,borehole_tube_well,2df44ae7-4fbc-44b9-ae75-7cc2496d3f12,Northwest
Functional,,Mabuga,,,Stand Alone Water Point,1343374717014.jpg,Yes,11.78505946 8.01583596 570.4000244140625 5.0,False,Karaye,414,414,414.0,Manual,No,1343374717014.jpg,water,Kano,kano_karaye,516bee09-3a26-4edf-8787-dae43f0e0cf4,Karaye,Unimproved Well,water_source,unprotected_dug_well,516bee09-3a26-4edf-8787-dae43f0e0cf4,Northwest
Functional,,DAN GA YAKI,,,Stand Alone Water Point,1343398988808.jpg,Yes,11.72840416431427 7.911347150802612 577.0 4.0,True,Karaye,414,414,414.0,Hand Pump,No,1343398988808.jpg,water,Kano,kano_karaye,6a918b81-d41b-4dcc-9194-7a5b5d60b392,TUDUN KAYA,Borehole,water_source,borehole_tube_well,6a918b81-d41b-4dcc-9194-7a5b5d60b392,Northwest
Functional,,Ungwar Dagaci,,,"Water Scheme, Source further than 1km",1343635225959.jpg,Yes,11.80881142616272 8.016999363899231 541.0 4.0,True,Karaye,414,414,414.0,Tap (unknown lift),No,1343635225959.jpg,water,Kano,kano_karaye,7441af9a-987c-46b0-b20e-c901ffbb752e,kurugu,Tap,outlet,,7441af9a-987c-46b0-b20e-c901ffbb752e,Northwest
Dry Well,,Turawa,,,Stand Alone Water Point,1343468490700.jpg,No,11.69390265 8.04564514 564.9000244140625 5.0,False,Karaye,414,414,414.0,Manual,No,1343468490700.jpg,water,Kano,kano_karaye,1f2db263-1d51-4bbf-9e3d-0a024519e2b1,Turawa,Unimproved Well,water_source,protected_dug_well,1f2db263-1d51-4bbf-9e3d-0a024519e2b1,Northwest
Functional,,Husama,,,Stand Alone Water Point,1343314607529.jpg,Yes,11.77699577 8.11756919 519.5999755859375 5.0,False,Karaye,414,414,414.0,Manual,No,1343314607529.jpg,water,Kano,kano_karaye,62df4351-06cc-40ce-b4e3-a69f1992a268,Kafin Dabga,Unimproved Well,water_source,protected_dug_well,62df4351-06cc-40ce-b4e3-a69f1992a268,Northwest
