access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,273.4555385,False,TRUE,False,,,,formal_educ,TAHFIZUL QURAN,primary_only,1339504288591.jpg,True,False,,11.77397952 8.2869926 519.0 5.0,False,False,primary_only,Madobi,473,473,473.0,0.785714285714286,False,madobi,kano,northwest,TRUE,2.0,,5.0,750.0,0.0,6.0,,4.0,40.0,public,True,1339504288591.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,150,Inf,125,,True,True,TAHFIZUL QURAN,education,Kano,30.0,Others,True,False,FALSE,Inf,0.0533333333333333,FALSE,,kano_madobi,7f83dcd9-a4d4-45f9-90f2-6f267666c41d,False,7f83dcd9-a4d4-45f9-90f2-6f267666c41d,Northwest
False,False,273.4555385,False,TRUE,False,,,,religious_with_formal,K/damawa Islamiyya Primary School,primary_only,1340100480647.jpg,,False,,11.838600039482117 8.430842757225037 468.0 4.0,False,False,primary_only,Madobi,473,473,473.0,0.970588235294118,True,madobi,kano,northwest,FALSE,2.0,0.0,2.0,134.0,0.0,3.0,,3.0,0.0,public,False,1340100480647.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,67,Inf,44.6666666666667,,False,True,K/damawa Islamiyya Primary School,education,Kano,0.0,Others,False,False,FALSE,3,0,FALSE,,kano_madobi,fdcab38e-9a73-42d9-8be3-44e723cf87fa,False,fdcab38e-9a73-42d9-8be3-44e723cf87fa,Northwest
False,False,273.4555385,True,TRUE,False,0.0107883202954,1.18809219743,,formal_educ,Birji Arewa Pri Sch,primary_only,1339752311956.jpg,,False,FALSE,11.90712313 8.39028698 485.0 5.0,False,False,primary_only,Madobi,473,473,654.0,4.31372549019608,True,madobi,kano,northwest,TRUE,2.0,2.0,6.0,271.0,0.0,5.0,,2.0,149.0,public,False,1339752311956.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,45.1666666666667,Inf,54.2,67.75,True,True,Birji Arewa Pri Sch,education,Kano,23.0,Others,False,False,FALSE,Inf,0.549815498154982,FALSE,,kano_madobi,4682cf87-6fae-46e9-9234-9e440516c2d2,False,4682cf87-6fae-46e9-9234-9e440516c2d2,Northwest
False,True,273.4555385,True,FALSE,False,0.0142363995735,1.56824673217,,formal_educ,Government Day Secondary School Madobi,junior_and_senior_sec,1339584365312.jpg,,False,FALSE,11.754176 8.27373303 492.29998779296875 5.0,False,False,junior_and_senior_sec,Madobi,473,473,432.0,Inf,False,madobi,kano,northwest,TRUE,4.0,,12.0,613.0,2.0,11.0,,5.0,77.0,public,False,1339584365312.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,51.0833333333333,5.10833333333333,55.7272727272727,51.0833333333333,True,True,Government Day Secondary School Madobi,education,Kano,200.0,Others,False,False,FALSE,Inf,0.125611745513866,FALSE,,kano_madobi,bf65df89-3250-49fa-b6cc-decbcf8177a1,False,bf65df89-3250-49fa-b6cc-decbcf8177a1,Northwest
False,False,273.4555385,True,TRUE,False,0.0069911954274,0.770062521857,,religious_with_formal,Danzogari Islamiya Pri Sch,primary_only,1339678546254.jpg,True,False,,11.80800935 8.2981418 502.20001220703125 5.0,False,False,primary_only,Madobi,473,473,393.0,0.527777777777778,True,madobi,kano,northwest,FALSE,2.0,0.0,2.0,165.0,0.0,2.0,,1.0,0.0,public,True,1339678546254.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,82.5,Inf,82.5,,False,True,Danzogari Islamiya Pri Sch,education,Kano,0.0,Others,True,False,FALSE,Inf,0,TRUE,,kano_madobi,63997d2b-ad57-49d2-9c7c-48ecac6d8738,False,63997d2b-ad57-49d2-9c7c-48ecac6d8738,Northwest
False,False,273.4555385,True,TRUE,False,,,,religious_with_formal,CINDO ISLAMIYYA PRI SCHOOL,primary_only,1339589676923.jpg,,False,,11.773046851158142 8.371158242225647 483.0 4.0,False,False,primary_only,Madobi,473,473,473.0,1.37016574585635,True,madobi,kano,northwest,FALSE,4.0,0.0,4.0,429.0,2.0,4.0,,3.0,0.0,public,True,1339589676923.jpg,136623,499.616869161,,True,FALSE,FALSE,Inf,107.25,Inf,107.25,,False,True,CINDO ISLAMIYYA PRI SCHOOL,education,Kano,0.0,Others,False,False,FALSE,Inf,0,FALSE,,kano_madobi,b6247ede-57c7-4128-af6d-d80a9ae3c4c6,False,b6247ede-57c7-4128-af6d-d80a9ae3c4c6,Northwest
False,False,273.4555385,False,FALSE,False,,,,religious_with_formal,Gora Liman Central Pri,primary_only,1339668813514.jpg,,False,FALSE,11.81693767 8.32513713 506.29998779296875 5.0,False,False,primary_only,Madobi,473,473,473.0,2.28571428571429,False,madobi,kano,northwest,TRUE,4.0,1.0,12.0,598.0,7.0,12.0,,6.0,290.0,public,True,1339668813514.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,49.8333333333333,5.6952380952381,49.8333333333333,199.333333333333,False,True,Gora Liman Central Pri,education,Kano,0.0,Others,False,False,TRUE,12,0.48494983277592,FALSE,,kano_madobi,5119afa1-9207-49c3-8d07-11e9282596a7,False,5119afa1-9207-49c3-8d07-11e9282596a7,Northwest
False,False,273.4555385,True,FALSE,True,,,,formal_educ,Kwankwaso Nusery School,primary_only,1340010157548.jpg,,False,FALSE,11.851957440376282 8.395394682884216 497.0 3.0,False,False,primary_only,Madobi,473,473,473.0,1.39473684210526,False,madobi,kano,northwest,FALSE,0.0,0.0,2.0,91.0,0.0,1.0,,1.0,2.0,public,False,1340010157548.jpg,136623,499.616869161,,False,FALSE,FALSE,3.79166666666667,45.5,3.79166666666667,91,45.5,False,False,Kwankwaso Nusery School,education,Kano,0.0,Others,False,False,FALSE,Inf,0.021978021978022,FALSE,,kano_madobi,a33774d2-bf5c-4aa2-93e3-eae0ca582712,True,a33774d2-bf5c-4aa2-93e3-eae0ca582712,Northwest
False,False,273.4555385,True,FALSE,True,,,,religious_with_formal,Kwankwaso Tsakuwa Islamiyya School,primary_only,1339581662419.jpg,,False,,11.83803497 8.40273528 485.3999938964844 5.0,False,False,primary_only,Madobi,473,473,473.0,1.14583333333333,True,madobi,kano,northwest,FALSE,0.0,1.0,2.0,206.0,0.0,4.0,,3.0,0.0,public,False,1339581662419.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,103,Inf,51.5,,False,True,Kwankwaso Tsakuwa Islamiyya School,education,Kano,0.0,Others,False,False,FALSE,Inf,0,FALSE,,kano_madobi,9ddb7810-e5df-4b43-bc06-b0e3c2bf1af9,False,9ddb7810-e5df-4b43-bc06-b0e3c2bf1af9,Northwest
False,False,273.4555385,False,TRUE,False,,,,religious_with_formal,Jirgwai Islamiyya School,primary_only,1339678354657.jpg,True,False,,11.73858942 8.35700907 511.79998779296875 5.0,False,False,primary_only,Madobi,473,473,473.0,0.813559322033898,True,madobi,kano,northwest,FALSE,0.0,,4.0,214.0,0.0,2.0,,2.0,0.0,public,True,1339678354657.jpg,136623,499.616869161,,False,FALSE,FALSE,Inf,53.5,Inf,107,,False,True,Jirgwai Islamiyya School,education,Kano,0.0,Others,False,False,FALSE,Inf,0,FALSE,,kano_madobi,6ac161c8-07ea-4c02-a7ad-9910a4aaba29,False,6ac161c8-07ea-4c02-a7ad-9910a4aaba29,Northwest
