access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,34.09781677,True,TRUE,False,0.0237505379113,2.61495423166,,religious_with_formal,NURUL HAYAT,primary_only,1336558780086.jpg,,False,,12.036917209625244 8.543844223022461 484.0 4.0,False,False,primary_only,Nassarawa,519,519,731.0,0.583333333333333,False,nassarawa,kano,northwest,TRUE,0.0,,10.0,950.0,1.0,13.0,,12.0,1250.0,private,True,1336558780086.jpg,596669,17498.744979,,True,TRUE,TRUE,9.5,95,9.5,73.0769230769231,,False,False,NURUL HAYAT,education,Kano,40.0,Others,False,False,TRUE,Inf,1.31578947368421,TRUE,,kano_nassarawa,6da5f35c-6c46-4f83-811e-fa51fe471075,False,6da5f35c-6c46-4f83-811e-fa51fe471075,Northwest
False,True,34.09781677,True,TRUE,False,0.0226109279415,2.48948289788,,religious_with_formal,DA'IFATUL MUBARAK ISLAMIYYA,primary_only,1336557352036.jpg,,False,TRUE,12.037169337272644 8.545893430709839 479.0 4.0,False,False,primary_only,Nassarawa,519,519,731.0,1.23809523809524,False,nassarawa,kano,northwest,TRUE,5.0,,14.0,940.0,0.0,18.0,,8.0,40.0,public,True,1336557352036.jpg,596669,17498.744979,,True,FALSE,FALSE,Inf,67.1428571428571,Inf,52.2222222222222,235,False,False,DA'IFATUL MUBARAK ISLAMIYYA,education,Kano,20.0,Others,False,False,TRUE,3,0.0425531914893617,TRUE,,kano_nassarawa,0f287b00-f54d-49be-ad39-f7571bf14928,False,0f287b00-f54d-49be-ad39-f7571bf14928,Northwest
False,True,34.09781677,True,FALSE,False,0.0165556641634,1.82281523332,,religious_with_formal,ado bayero tahafizul quranic primary school,preprimary_and_primary,1336494735723.jpg,,False,FALSE,12.032631039619446 8.549922108650208 477.0 4.0,False,False,preprimary_and_primary,Nassarawa,519,519,731.0,1.16129032258065,False,nassarawa,kano,northwest,TRUE,0.0,,7.0,201.0,2.0,16.0,,6.0,760.0,public,True,1336494735723.jpg,596669,17498.744979,,True,TRUE,FALSE,4.27659574468085,28.7142857142857,4.27659574468085,12.5625,201,True,False,ado bayero tahafizul quranic primary school,education,Kano,2.0,Others,True,False,TRUE,Inf,3.78109452736318,TRUE,,kano_nassarawa,110e1583-e492-44f0-a914-d41a1c8fb7f3,False,110e1583-e492-44f0-a914-d41a1c8fb7f3,Northwest
False,True,34.09781677,False,TRUE,False,,,,religious_only,TAHAFIZIL QUR'AN,primary_only,1335975925658.jpg,,False,,11.999967098236084 8.570312261581421 498.0 4.0,False,False,primary_only,Nassarawa,519,519,519.0,1.75,False,nassarawa,kano,northwest,FALSE,,0.0,7.0,550.0,0.0,15.0,,10.0,0.0,,False,1335975925658.jpg,596669,17498.744979,,False,FALSE,FALSE,55,78.5714285714286,55,36.6666666666667,,False,False,TAHAFIZIL QUR'AN,education,Kano,20.0,Others,False,False,TRUE,3,0,FALSE,,kano_nassarawa,8e4e44c3-ad39-4f8b-89dc-b7aa6a6f3509,False,8e4e44c3-ad39-4f8b-89dc-b7aa6a6f3509,Northwest
False,True,34.09781677,True,TRUE,True,,,,religious_only,HALIMATUSSADIYA,primary_only,1335895715443.jpg,True,True,FALSE,11.987929344177246 8.566165566444397 513.0 4.0,False,False,primary_only,Nassarawa,519,519,519.0,0.780487804878049,False,nassarawa,kano,northwest,FALSE,0.0,0.0,4.0,365.0,5.0,10.0,,3.0,0.0,,False,1335895715443.jpg,596669,17498.744979,,True,FALSE,FALSE,121.666666666667,91.25,9.125,36.5,182.5,False,False,HALIMATUSSADIYA,education,Kano,0.0,Others,False,False,TRUE,3.33333333333333,0,TRUE,,kano_nassarawa,89312e8d-87eb-47d6-ba71-81740ece0d50,True,89312e8d-87eb-47d6-ba71-81740ece0d50,Northwest
False,False,34.09781677,True,TRUE,False,,,,religious_with_formal,HIDAYATUL ABADIYYA LILTAHFIZUL QUR'AN,primary_only,1336215332694.jpg,,False,FALSE,11.976867914199829 8.576529622077942 508.0 4.0,False,False,primary_only,Nassarawa,519,519,519.0,0.5,False,nassarawa,kano,northwest,TRUE,0.0,,9.0,1500.0,0.0,28.0,,10.0,0.0,public,True,1336215332694.jpg,596669,17498.744979,,True,FALSE,FALSE,Inf,166.666666666667,Inf,53.5714285714286,1500,False,False,HIDAYATUL ABADIYYA LILTAHFIZUL QUR'AN,education,Kano,500.0,Others,False,False,TRUE,2.15384615384615,0,TRUE,,kano_nassarawa,0b2caa0b-4ffc-4927-9445-fe0759ba0212,False,0b2caa0b-4ffc-4927-9445-fe0759ba0212,Northwest
False,True,34.09781677,True,FALSE,True,0.00349776730135,0.38512228594,,formal_educ,Fatima int school,primary_junior_and_senior_sec,1335963901439.jpg,True,True,TRUE,12.02243922 8.5581268 490.70001220703125 5.0,False,False,primary_junior_and_senior_sec,Nassarawa,519,519,731.0,1.33333333333333,False,nassarawa,kano,northwest,TRUE,0.0,,30.0,105.0,10.0,27.0,,4.0,22.0,private,True,1335963901439.jpg,596669,17498.744979,,True,FALSE,FALSE,0.795454545454545,3.5,0.67741935483871,3.88888888888889,10.5,False,False,Fatima int school,education,Kano,0.0,Others,False,False,TRUE,Inf,0.20952380952381,FALSE,,kano_nassarawa,e2d7f40f-a12f-40d4-8b7b-a6f7124e70d3,True,e2d7f40f-a12f-40d4-8b7b-a6f7124e70d3,Northwest
False,False,34.09781677,True,FALSE,False,,,,formal_educ,Hotoro south primary school,preprimary_and_primary,1336388348281.jpg,True,False,TRUE,11.969727873802185 8.579866290092468 508.0 4.0,False,False,preprimary_and_primary,Nassarawa,519,519,519.0,1.23149693934335,False,nassarawa,kano,northwest,TRUE,,,22.0,4010.0,7.0,61.0,,40.0,0.0,public,False,1336388348281.jpg,596669,17498.744979,,True,FALSE,FALSE,Inf,182.272727272727,40.1,65.7377049180328,,False,False,Hotoro south primary school,education,Kano,100.0,Others,False,False,TRUE,1.35555555555556,0,TRUE,,kano_nassarawa,ea28ef37-e37f-45b1-8b06-3779b75a0e31,False,ea28ef37-e37f-45b1-8b06-3779b75a0e31,Northwest
False,False,34.09781677,True,TRUE,False,,,,religious_only,TAHFIZUL QUR'AN,primary_only,1336129647373.jpg,,False,FALSE,11.981481313705444 8.567994832992554 512.0 4.0,False,False,primary_only,Nassarawa,519,519,519.0,1.27272727272727,False,nassarawa,kano,northwest,FALSE,0.0,0.0,4.0,500.0,0.0,10.0,,0.0,0.0,private,False,1336129647373.jpg,596669,17498.744979,,True,FALSE,FALSE,Inf,125,Inf,50,250,False,False,TAHFIZUL QUR'AN,education,Kano,50.0,Others,False,False,TRUE,1.42857142857143,0,TRUE,,kano_nassarawa,645336ad-1a75-478d-ae78-d8e816cc54a1,False,645336ad-1a75-478d-ae78-d8e816cc54a1,Northwest
False,False,34.09781677,True,TRUE,False,,,,religious_only,MADARATUL ABUBAKAR SADDIQ ISLAMIYYA,primary_only,1336128906717.jpg,,False,,11.981985569000244 8.570221066474915 512.0 4.0,False,False,primary_only,Nassarawa,519,519,519.0,0.6,False,nassarawa,kano,northwest,FALSE,,0.0,6.0,800.0,0.0,12.0,,7.0,0.0,private,False,1336128906717.jpg,596669,17498.744979,,False,FALSE,FALSE,Inf,133.333333333333,Inf,66.6666666666667,,False,False,MADARATUL ABUBAKAR SADDIQ ISLAMIYYA,education,Kano,200.0,Others,False,False,TRUE,2.4,0,TRUE,,kano_nassarawa,084c7f1e-b869-40d5-b5b0-6bc038cc5646,False,084c7f1e-b869-40d5-b5b0-6bc038cc5646,Northwest
