breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Shawa,,,Stand Alone Water Point,,Yes,11.439042091369629 9.138849377632141 499.0 4.0,True,Takai,698,698,698.0,Solar,No,1300968628149.jpg,water,Kano,kano_takai,ecaf44f7ab8793adcb52476c4d7212b0,Karfi,Tap,,,,
Mechanical Issue,,duguruwa,,,Stand Alone Water Point,,No,11.533729434013367 9.268303513526917 457.0 4.0,True,Takai,698,698,698.0,Diesel,Yes,1301049161702.jpg,water,Kano,kano_takai,eb27a2951e509ac969286a77c63af7a5,kacako,Tap,,,,
Functional,,Danbakin ruwa,,,Stand Alone Water Point,,Yes,11.54113233089447 9.31941032409668 463.0 4.0,True,Takai,698,698,698.0,Diesel,Yes,1301073006561.jpg,water,Kano,kano_takai,a023c1e0176990e161ec4d304897fb30,kacaco,Tap,,,,
Functional,,Unguwar Yan Izala,,,Stand Alone Water Point,,Yes,11.57608687877655 9.109125137329102 462.0 4.0,False,Takai,698,698,698.0,Manual,No,1301140612790.jpg,water,Kano,kano_takai,fbdc1883655d32344ec1edcd38a62c01,Takai,Unimproved Large Diameter Well,,,,
Mechanical Issue,,Awazara,,,"Water Scheme, Source within 100m",,No,11.520624160766602 9.323095679283142 443.0 4.0,True,Takai,698,698,698.0,Diesel,No,1301137387123.jpg,water,Kano,kano_takai,90b993f8ffb10c49473d33acf3d93d1c,kacako,Tap,,,,
,,libiya community,,,Stand Alone Water Point,,No,11.536744236946106 9.25597071647644 474.0 4.0,False,Takai,698,698,698.0,Manual,No,1301051990166.jpg,water,Kano,kano_takai,a2709bc7b8e26fcc39395dd6a6c8d143,kofar yanma libiya,Unimproved Large Diameter Well,,,,
Functional,,Rinji,,,Stand Alone Water Point,,Yes,11.560696363449097 9.089748859405518 485.0 3.0,False,Takai,698,698,698.0,Manual,No,1301059305645.jpg,water,Kano,kano_takai,bb1225d8f3893791824a5e0c27730ca3,Takai,Unimproved Large Diameter Well,,,,
Functional,,fajewa,,,Stand Alone Water Point,,Yes,11.441627740859985 9.088515043258667 526.0 4.0,False,Takai,698,698,698.0,Manual,No,1300965671201.jpg,water,Kano,kano_takai,fefdfd22c8673467cfc09a6958497b0e,fajewa,Unimproved Large Diameter Well,,,,
Mechanical Issue,,TAKAI,,,Stand Alone Water Point,,No,11.562418341636658 9.106952548027039 485.0 4.0,True,Takai,698,698,698.0,Hand Pump,No,1300901280414.jpg,water,Kano,kano_takai,5aff55c75ae12edc20885384cb81222a,TAKAI,Handpump,,,,
Functional,,unguwar fawa,,,Stand Alone Water Point,,Yes,11.495770812034607 9.104216694831848 513.0 6.0,False,Takai,698,698,698.0,Manual,No,1300899482106.jpg,water,Kano,kano_takai,4b4b0bf427e29263759875a7e10ae85c,kyansa,Unimproved Large Diameter Well,,,,
Functional,,Waila,,,Stand Alone Water Point,,Yes,11.578967571258545 9.109559655189514 474.0 4.0,False,Takai,698,698,698.0,Manual,No,1301137151711.jpg,water,Kano,kano_takai,74e00c438dc584297cace1bc64b1b351,Takai,Unimproved,,,,
Poor Water Quality,,Daushanga,,,Stand Alone Water Point,,No,11.558266282081604 9.103240370750427 485.0 4.0,False,Takai,698,698,698.0,Manual,No,1300895692455.jpg,water,Kano,kano_takai,6738ec7f908b1ce958971f6d7c5c32ba,Takai,Unimproved Large Diameter Well,,,,
Mechanical Issue,,Bakin Kasuwa,,,Stand Alone Water Point,,No,11.576687693595886 9.111828804016113 465.0 3.0,True,Takai,698,698,698.0,Electric,No,1301139286043.jpg,water,Kano,kano_takai,0d97350f911f89ebba90e6be63804fbc,Takai,Tap,,,,
Functional,,Kafi sidda,,,Stand Alone Water Point,,Yes,11.522549986839294 9.059799313545227 485.0 4.0,True,Takai,698,698,698.0,Solar,No,1300881441823.jpg,water,Kano,kano_takai,1030cd206bcac721629e16c10cfc83bd,Kuka,Tap,,,,
Mechanical Issue,,sakwaya,,,Stand Alone Water Point,,No,11.532994508743286 9.1785728931427 476.0 4.0,True,Takai,698,698,698.0,Diesel,No,1301135986096.jpg,water,Kano,kano_takai,cb051258657d094877094f12fd75afab,durbunde,Tap,,,,
Functional,,Auwazara,,,Stand Alone Water Point,,Yes,11.521589756011963 9.327355027198792 438.0 3.0,False,Takai,698,698,698.0,Manual,No,1301138872733.jpg,water,Kano,kano_takai,393eacc9a8552b5d9589046f20824be7,kacako,Unimproved Large Diameter Well,,,,
Mechanical Issue,,Daushanga,,,Stand Alone Water Point,,No,11.543342471122742 9.107869863510132 500.0 4.0,True,Takai,698,698,698.0,Hand Pump,No,1301058104901.jpg,water,Kano,kano_takai,6a8d68262c00b76f418c1fe5c9265820,Takai,Handpump,,,,
Functional,,zuga,,,Stand Alone Water Point,,Yes,11.509509086608887 9.143967032432556 496.0 4.0,False,Takai,698,698,698.0,Manual,No,1300976994178.jpg,water,Kano,kano_takai,e77e61f343be762a6736fd70ff35dfd5,Zuga,Unimproved Large Diameter Well,,,,
Under Construction,,gidan gabas,,,Stand Alone Water Point,,No,11.533606052398682 9.266554713249207 467.0 4.0,True,Takai,698,698,698.0,Solar,No,1301048602852.jpg,water,Kano,kano_takai,a14ce5b277dcbb737d9f0eb7a043327e,kacako,Tap,,,,
Dry Well,,kayarda,,,Stand Alone Water Point,,No,11.376691460609436 9.124188423156738 481.0 4.0,True,Takai,698,698,698.0,Hand Pump,No,1300979363315.jpg,water,Kano,kano_takai,dea5b63e81145b1588799948b27652c9,bagwaro,Handpump,,,,
Don't Know,,durbunde,,,Stand Alone Water Point,,No,11.539469361305237 9.224846363067627 480.0 4.0,False,Takai,698,698,698.0,Manual,No,1301053971038.jpg,water,Kano,kano_takai,ee4a42b4f04a969713fdd00318345d6f,durbunde,Unimproved Large Diameter Well,,,,
Functional,,durbunde,,,Stand Alone Water Point,,Yes,11.540949940681458 9.228376150131226 485.0 6.0,True,Takai,698,698,698.0,Diesel,No,1301057343226.jpg,water,Kano,kano_takai,f45eb28808867b7c0c207eb490bcda81,durbunde,Tap,,,,
Mechanical Issue,,Bagwaro community,,,"Water Scheme, Source within 100m",,No,11.3745778799057 9.178959131240845 489.0 8.0,True,Takai,698,698,698.0,Diesel,No,1301046732516.jpg,water,Kano,kano_takai,abafac75e3b4ee394a463372c1941a3b,Bagwaro,Tap,,,,
Functional,,YARDADO,,,Stand Alone Water Point,,Yes,11.489644646644592 9.148274660110474 483.0 4.0,True,Takai,698,698,698.0,Hand Pump,No,1300977624931.jpg,water,Kano,kano_takai,e42347ff3e3f6f379d938a092ef3987f,FAJEWA,Handpump,,,,
Functional,,Awazara ta tsakiya,,,Stand Alone Water Point,,Yes,11.520130634307861 9.323481917381287 444.0 3.0,False,Takai,698,698,698.0,Manual,No,1301136649870.jpg,water,Kano,kano_takai,ca1bb6990838c9c1f9c947b1f132b4af,kacako,Unimproved,,,,
Functional,,DIRIBO,,,Stand Alone Water Point,,Yes,11.46673858165741 9.1783207654953 476.0 4.0,True,Takai,698,698,698.0,Diesel,Yes,1300965988641.jpg,water,Kano,kano_takai,607380e6202c93a77a1c3d08d0b1bd15,KARIFI,Tap,,,,
Functional,,Kogo,,,Stand Alone Water Point,,Yes,11.592850685119629 9.153478145599365 476.0 4.0,True,Takai,698,698,698.0,Diesel,No,1301133635922.jpg,water,Kano,kano_takai,625dd194f4a938d7a9bd9a785b4a0437,Zuga,Tap,,,,
Mechanical Issue,,Kafi sidda,,,Stand Alone Water Point,,No,11.52293086051941 9.06197726726532 489.0 4.0,True,Takai,698,698,698.0,Diesel,No,1300880741275.jpg,water,Kano,kano_takai,291de1cf6bb134224ebe6b3a0760f0c3,Kuka,Tap,,,,
Functional,,gandu,,,Stand Alone Water Point,,Yes,11.534222960472107 9.261635541915894 462.0 4.0,False,Takai,698,698,698.0,Manual,No,1301050020887.jpg,water,Kano,kano_takai,fa324c2f3b0733a47644fe27c1d4f3ea,kacako,Unimproved,,,,
Functional,,TAKAI,,,Stand Alone Water Point,,Yes,11.574552655220032 9.106292724609375 491.0 4.0,False,Takai,698,698,698.0,Manual,No,1300877401867.jpg,water,Kano,kano_takai,d87be7454e12d4ff56270b9c0b441328,TAKAI,Unimproved Large Diameter Well,,,,
Mechanical Issue,,Unguwar baure,,,Stand Alone Water Point,,No,11.539045572280884 9.321759939193726 471.0 4.0,True,Takai,698,698,698.0,Hand Pump,No,1301072187024.jpg,water,Kano,kano_takai,b60b000a032efbaf6608ea0eefc74f5e,kacako,Handpump,,,,
