breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Gidan Yawa,,,"Water Scheme, Source within 100m",1343390363648.jpg,Yes,12.03299771 8.25380198 521.7999877929688 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343390363648.jpg,water,Kano,kano_tofa,b3df6838-dc0b-4f57-95cc-926940e4782d,Ginsawa,Tap,outlet,,b3df6838-dc0b-4f57-95cc-926940e4782d,Northwest
Don't Know,,Ungwa rimi,,,"Water Scheme, Source within 100m",1343377385315.jpg,No,11.98392393 8.34148056 517.5 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343377385315.jpg,water,Kano,kano_tofa,80055022-64a5-4941-852b-b5b26f8a744c,Ungwa rimi,Tap,outlet,,80055022-64a5-4941-852b-b5b26f8a744c,Northwest
Functional,,Janguza,,,"Water Scheme, Source within 1km",1343386307329.jpg,Yes,11.95848858 8.37665505 469.5 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343386307329.jpg,water,Kano,kano_tofa,373f9574-cd10-4d60-bd20-74dec5745c73,Janguza,Tap,outlet,,373f9574-cd10-4d60-bd20-74dec5745c73,Northwest
Functional,,Dandawa,,,"Water Scheme, Source within 100m",1343302097128.jpg,Yes,12.08037555 8.27767047 509.8999938964844 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343302097128.jpg,water,Kano,kano_tofa,205ac619-2c4c-4458-ac47-1c1bc4079c97,Gajida,Tap,outlet,,205ac619-2c4c-4458-ac47-1c1bc4079c97,Northwest
Mechanical Issue,,Ungwa Rimi,,,Stand Alone Water Point,1343377637463.jpg,No,11.98182087 8.34092094 519.5 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343377637463.jpg,water,Kano,kano_tofa,ecf84a03-03e9-4c54-85dc-146131f0f163,Ungwa Rimi,Borehole,water_source,borehole_tube_well,ecf84a03-03e9-4c54-85dc-146131f0f163,Northwest
Under Construction,,Ungwa rimi,,,Stand Alone Water Point,1343381877264.jpg,No,11.97947993 8.35017208 507.70001220703125 5.0,False,Tofa,708,708,708.0,,Don't Know,1343381877264.jpg,water,Kano,kano_tofa,5748b305-afee-4099-b976-4a7051e29458,Ungwa rimi,Unimproved Well,water_source,unprotected_dug_well,5748b305-afee-4099-b976-4a7051e29458,Northwest
Don't Know,,Langel I,,,Stand Alone Water Point,1343638944086.jpg,No,12.00266457 8.3989091 490.6000061035156 5.0,False,Tofa,708,708,708.0,Manual,No,1343638944086.jpg,water,Kano,kano_tofa,0135a81c-7710-43cb-81b8-1a78896c208a,Langel,Unimproved Well,water_source,unprotected_dug_well,0135a81c-7710-43cb-81b8-1a78896c208a,Northwest
Functional,,Fadisanka,,,Stand Alone Water Point,1343650754689.jpg,Yes,12.05714119 8.27225087 520.2999877929688 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343650754689.jpg,water,Kano,kano_tofa,e24645bd-606a-4158-b288-74fa79fe2b5f,Tofa,Borehole,water_source,borehole_tube_well,e24645bd-606a-4158-b288-74fa79fe2b5f,Northwest
Mechanical Issue,,Ungwa rimi,,,Stand Alone Water Point,1343381979256.jpg,No,11.97943851 8.35019527 506.79998779296875 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343381979256.jpg,water,Kano,kano_tofa,a8547fc6-ae4f-4fbe-a6ce-ab3afbdb2699,Ungwa rimi,Borehole,water_source,borehole_tube_well,a8547fc6-ae4f-4fbe-a6ce-ab3afbdb2699,Northwest
Functional,,Dansudu,,,Stand Alone Water Point,1343310519177.jpg,Yes,11.99690825 8.32362689 515.7999877929688 5.0,False,Tofa,708,708,708.0,Manual,No,1343310519177.jpg,water,Kano,kano_tofa,3f105653-1036-402a-8184-7e9c079fda6c,Lambu,Unimproved Well,water_source,protected_dug_well,3f105653-1036-402a-8184-7e9c079fda6c,Northwest
Mechanical Issue,,Lambu,,,Stand Alone Water Point,1343305781928.jpg,No,12.01025007 8.3547819 506.79998779296875 5.0,True,Tofa,708,708,708.0,Diesel,No,1343305781928.jpg,water,Kano,kano_tofa,7e30f995-37bd-476e-ad20-509612f7bd3e,Lambu,Borehole,water_source,borehole_tube_well,7e30f995-37bd-476e-ad20-509612f7bd3e,Northwest
Functional,,Yarkasuwa,,,"Water Scheme, Source within 100m",1343650994895.jpg,Yes,12.06054632 8.27429981 527.0 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343650994895.jpg,water,Kano,kano_tofa,b9118ad1-67f2-4424-ab7b-069b095233c0,Tofa,Tap,outlet,,b9118ad1-67f2-4424-ab7b-069b095233c0,Northwest
Functional,,Fantasha,,,Stand Alone Water Point,1343380918507.jpg,Yes,11.9983939 8.34752089 519.2000122070313 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343380918507.jpg,water,Kano,kano_tofa,ef28546f-0630-4afe-9f06-0236c73c29c3,Unguwar Rimi,Borehole,water_source,borehole_tube_well,ef28546f-0630-4afe-9f06-0236c73c29c3,Northwest
Mechanical Issue,,Ginsawa Cikin Gari,,,"Water Scheme, Source within 100m",1343391421744.jpg,No,12.0276205 8.25762227 519.9000244140625 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343391421744.jpg,water,Kano,kano_tofa,93fa8466-9c08-4335-8363-9b6d1b245737,Ginsawa,Tap,outlet,,93fa8466-9c08-4335-8363-9b6d1b245737,Northwest
Functional,,Larabawa,,,Stand Alone Water Point,1343640458179.jpg,Yes,12.02893747 8.33232963 523.5 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343640458179.jpg,water,Kano,kano_tofa,068ed0d0-f8f6-4713-84ea-090d96715a77,Jobe,Borehole,water_source,borehole_tube_well,068ed0d0-f8f6-4713-84ea-090d96715a77,Northwest
Functional,,Yansabo,,,"Water Scheme, Source within 100m",1343640082573.jpg,Yes,12.05411876 8.31820651 500.79998779296875 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343640082573.jpg,water,Kano,kano_tofa,c23ee00f-f088-4907-8e8d-00c875da5157,Yanoko,Tap,outlet,,c23ee00f-f088-4907-8e8d-00c875da5157,Northwest
Functional,,Makaurata,,,"Water Scheme, Source within 100m",1343388356895.jpg,Yes,12.02627623 8.27476236 519.0 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343388356895.jpg,water,Kano,kano_tofa,85d5d8e4-2ac1-4f5d-8b6c-4ee707c87217,Ginsawa,Tap,outlet,,85d5d8e4-2ac1-4f5d-8b6c-4ee707c87217,Northwest
Functional,,Janguza,,,"Water Scheme, Source within 1km",1343386626556.jpg,Yes,11.95708833 8.37523866 501.3999938964844 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343386626556.jpg,water,Kano,kano_tofa,ada7790f-e9c5-49e2-901c-c0d70d6c2acd,Janguza,Tap,outlet,,ada7790f-e9c5-49e2-901c-c0d70d6c2acd,Northwest
Functional,,Yanoko Cikin Gari,,,"Water Scheme, Source within 100m",1343476987435.jpg,Yes,12.05531045 8.29589367 514.0 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343476987435.jpg,water,Kano,kano_tofa,b61895fe-2b49-4e4b-8558-e8554994cac6,Yanoko,Tap,outlet,,b61895fe-2b49-4e4b-8558-e8554994cac6,Northwest
Functional,,Tsamiyya,,,Stand Alone Water Point,1343651036607.jpg,Yes,12.05585051 8.27204506 521.7000122070313 5.0,True,Tofa,708,708,708.0,Solar,No,1343651036607.jpg,water,Kano,kano_tofa,0a9ccf75-880a-44e1-b802-64f8439e955f,Tofa,Borehole,water_source,borehole_tube_well,0a9ccf75-880a-44e1-b802-64f8439e955f,Northwest
Functional,,Yarkasuwa,,,"Water Scheme, Source within 100m",1343651086179.jpg,Yes,12.06031506 8.27537357 516.0 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343651086179.jpg,water,Kano,kano_tofa,559b13cf-1eb0-4b83-916f-55456d57d3e4,Tofa,Tap,outlet,,559b13cf-1eb0-4b83-916f-55456d57d3e4,Northwest
Functional,,Fantasha,,,Stand Alone Water Point,1343380531641.jpg,Yes,11.99920904 8.34738347 522.4000244140625 5.0,False,Tofa,708,708,708.0,Manual,No,1343380531641.jpg,water,Kano,kano_tofa,c7afd55c-af21-40a7-a4ef-55e70f9382e7,Ungwa rimi,Unimproved Well,water_source,unprotected_dug_well,c7afd55c-af21-40a7-a4ef-55e70f9382e7,Northwest
Functional,,Gudda,,,Stand Alone Water Point,1343487206377.jpg,Yes,12.01847287 8.3263443 521.2999877929688 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343487206377.jpg,water,Kano,kano_tofa,5239233f-f41b-4223-8753-7f6747f5f003,Kwami,Borehole,water_source,borehole_tube_well,5239233f-f41b-4223-8753-7f6747f5f003,Northwest
Mechanical Issue,,Langel,,,"Water Scheme, Source further than 1km",1343637095863.jpg,No,11.99120756 8.39625963 483.70001220703125 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343637095863.jpg,water,Kano,kano_tofa,77f2addd-6ca7-4bb4-9006-662f4e27fc1a,Langel,Tap,outlet,,77f2addd-6ca7-4bb4-9006-662f4e27fc1a,Northwest
Mechanical Issue,,Faruruwa,,,Stand Alone Water Point,1343481573377.jpg,No,11.99895971 8.31259387 525.5999755859375 5.0,True,Tofa,708,708,708.0,Hand Pump,No,1343481573377.jpg,water,Kano,kano_tofa,353eea3c-cc11-4d1d-8731-e31f05ffb5e2,Doka,Borehole,water_source,borehole_tube_well,353eea3c-cc11-4d1d-8731-e31f05ffb5e2,Northwest
Functional,,Yanoko,,,"Water Scheme, Source within 100m",1343483291307.jpg,Yes,12.06466196 8.29562402 516.9000244140625 5.0,True,Tofa,708,708,708.0,Tap (unknown lift),No,1343483291307.jpg,water,Kano,kano_tofa,db365de9-6517-4476-82b2-8d96853fde46,Yanoko,Tap,outlet,,db365de9-6517-4476-82b2-8d96853fde46,Northwest
