antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,470.7862384,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Y/malamai,,healthpostdispensary,False,,False,,1345814524331.jpg,12.68536165 7.61992827 585.0999755859375 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Charanchi,137,137,137.0,False,False,False,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1345814524331.jpg,137613,292.304635895,,False,False,health,False,TRUE,Katsina,,,Others,FALSE,katsina_charanchi,False,dec25a09-ebeb-45cf-955b-0735cf2efbe2,,,dec25a09-ebeb-45cf-955b-0735cf2efbe2,Northwest
False,470.7862384,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,True,Banye MPHC,,primaryhealthcarecentre,False,True,False,True,1345806954361.jpg,12.66407744 7.57994929 546.2000122070313 5.0,False,False,FALSE,False,True,True,False,TRUE,,True,False,False,False,False,False,False,Charanchi,137,137,137.0,False,True,True,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,2,2,0.0,0.0,0.0,0.0,False,public,,True,1345806954361.jpg,137613,292.304635895,,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_charanchi,False,267c34fa-bb45-4ece-8091-ca46c76aad56,,,267c34fa-bb45-4ece-8091-ca46c76aad56,Northwest
False,470.7862384,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,CHARANCHI MCH,,primaryhealthclinic,False,True,False,True,1345808448627.jpg,12.67317474 7.73006518 576.0 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Charanchi,137,137,137.0,False,True,False,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,1,1,0.0,3.0,1.0,0.0,False,public,,False,1345808448627.jpg,137613,292.304635895,,False,False,health,False,TRUE,Katsina,False,False,Others,FALSE,katsina_charanchi,False,9577ecb3-0a67-4f7d-9e1b-fa4c29de3b4d,,,9577ecb3-0a67-4f7d-9e1b-fa4c29de3b4d,Northwest
False,470.7862384,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,0.00101726487935,0.111894942338,False,False,False,,,False,,,AREA DISPENSARY,,healthpostdispensary,False,,False,,1345907912955.jpg,12.55808644 7.62339413 567.5 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Charanchi,137,137,166.0,False,False,False,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,0,0,,,0.0,,False,public,,False,1345907912955.jpg,137613,292.304635895,,False,False,health,False,TRUE,Katsina,,,Others,FALSE,katsina_charanchi,False,0ec0a2c4-f123-4f18-bf6b-1c5cfa135501,,,0ec0a2c4-f123-4f18-bf6b-1c5cfa135501,Northwest
False,470.7862384,False,False,False,False,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,,Dispensary,,healthpostdispensary,False,True,False,True,1345762642898.jpg,12.64158157 7.73497054 570.7000122070313 5.0,False,False,FALSE,False,True,True,False,FALSE,True,False,False,False,False,False,False,False,Charanchi,137,137,137.0,False,True,False,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1345762642898.jpg,137613,292.304635895,True,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_charanchi,False,511ceddc-72be-4cbd-984e-b5cd7935ff71,,,511ceddc-72be-4cbd-984e-b5cd7935ff71,Northwest
False,470.7862384,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.00394722822788,0.434052132194,False,True,False,,,False,,True,BAJINAWA HC,,primaryhealthclinic,False,True,False,False,1345895141203.jpg,12.70999099 7.71598851 573.0999755859375 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Charanchi,137,137,653.0,False,True,False,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,4,4,0.0,0.0,0.0,0.0,False,public,,False,1345895141203.jpg,137613,292.304635895,True,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_charanchi,False,09c91af0-4816-4a5b-8be2-435f2f5aa375,,,09c91af0-4816-4a5b-8be2-435f2f5aa375,Northwest
False,470.7862384,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,True,True,CHARANCHI COMPHREHENSIVE H C,TRUE,comprehensivehealthcentre,False,True,False,True,1345819455899.jpg,12.66360835 7.7397871 590.7000122070313 6.0,False,False,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Charanchi,137,137,137.0,False,True,False,True,True,False,False,False,False,False,FALSE,charanchi,katsina,northwest,12,11,1.0,2.0,1.0,1.0,False,public,,True,1345819455899.jpg,137613,292.304635895,,False,False,health,True,TRUE,Katsina,False,True,Others,TRUE,katsina_charanchi,False,5b9732c3-ce04-41f7-91b2-f0fc9f1a48b9,False,False,5b9732c3-ce04-41f7-91b2-f0fc9f1a48b9,Northwest
False,470.7862384,False,False,False,False,False,True,False,False,True,False,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Pri.Health Care,,primaryhealthcarecentre,False,True,False,True,1345978547747.jpg,12.47480224 7.64763278 589.9000244140625 5.0,False,False,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Charanchi,137,137,137.0,False,True,False,False,False,False,False,False,False,False,FALSE,charanchi,katsina,northwest,1,1,0.0,0.0,1.0,0.0,False,public,,False,1345978547747.jpg,137613,292.304635895,,False,False,health,True,TRUE,Katsina,False,True,Others,FALSE,katsina_charanchi,False,dc19e2b5-3114-46b2-8d33-63e69b528359,False,False,dc19e2b5-3114-46b2-8d33-63e69b528359,Northwest
False,470.7862384,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,True,False,False,,True,Kuraye H. C,TRUE,primaryhealthclinic,False,True,False,True,1345893585935.jpg,12.71589584 7.63150023 560.4000244140625 5.0,False,False,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Charanchi,137,137,137.0,False,True,True,True,True,False,False,False,False,False,FALSE,charanchi,katsina,northwest,1,1,0.0,0.0,1.0,0.0,False,public,,True,1345893585935.jpg,137613,292.304635895,True,False,False,health,False,TRUE,Katsina,True,True,Others,FALSE,katsina_charanchi,False,ce5bbea4-7467-4b25-a192-a0dd1073783f,,,ce5bbea4-7467-4b25-a192-a0dd1073783f,Northwest
False,470.7862384,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Dispensary,TRUE,healthpostdispensary,False,True,False,True,1345767127536.jpg,12.65284233 7.77617373 553.4000244140625 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,False,False,False,False,Charanchi,137,137,137.0,False,True,False,True,True,False,False,False,False,False,FALSE,charanchi,katsina,northwest,2,1,0.0,0.0,1.0,0.0,False,public,,False,1345767127536.jpg,137613,292.304635895,True,False,False,health,False,TRUE,Katsina,True,True,Others,FALSE,katsina_charanchi,False,b08dcff5-2de0-453b-ab70-5c54676defef,,,b08dcff5-2de0-453b-ab70-5c54676defef,Northwest
