antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,448.4904082,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Primary Health Clinic.,,primaryhealthclinic,False,True,False,True,1336130221912.jpg,11.53563916683197 7.219868302345276 708.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Funtua,228,228,228.0,False,True,True,False,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1336130221912.jpg,225571,502.956129888,,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_funtua,False,6b4afb97-9168-47ef-a6d0-255425d45783,False,False,6b4afb97-9168-47ef-a6d0-255425d45783,Northwest
False,448.4904082,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,False,False,,True,Dan fili health clinic,FALSE,healthpostdispensary,False,True,False,True,1336392860825.jpg,11.512282490730286 7.270272374153137 703.0 4.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Funtua,228,228,228.0,False,True,True,True,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,2,1,0.0,0.0,0.0,0.0,False,public,False,False,1336392860825.jpg,225571,502.956129888,,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_funtua,False,8e6e150a-a802-4f39-84e4-c24d35e130d7,,,8e6e150a-a802-4f39-84e4-c24d35e130d7,Northwest
False,448.4904082,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,True,False,,True,PHC MAIGAMJI,FALSE,primaryhealthclinic,False,True,False,True,1335957381931.jpg,11.47627412 7.29726495 734.7000122070313 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Funtua,228,228,228.0,False,True,False,True,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,8,8,0.0,0.0,0.0,0.0,False,public,,False,1335957381931.jpg,225571,502.956129888,,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_funtua,False,35e3b47b-a875-40d9-a955-2b2cb92e64f7,,,35e3b47b-a875-40d9-a955-2b2cb92e64f7,Northwest
False,448.4904082,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,PHC Makwalla,FALSE,primaryhealthcarecentre,False,,False,,1336121539632.jpg,11.42565506 7.35502392 726.7000122070313 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Funtua,228,228,228.0,False,True,False,True,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,2,2,0.0,0.0,0.0,0.0,False,public,,True,1336121539632.jpg,225571,502.956129888,True,False,False,health,False,TRUE,Katsina,,True,Others,FALSE,katsina_funtua,False,0fa64c29-c854-46e9-9acc-a9ffd1915d82,,,0fa64c29-c854-46e9-9acc-a9ffd1915d82,Northwest
False,448.4904082,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Primary Health Clinic Unguwar Tofa,TRUE,primaryhealthcarecentre,False,True,False,True,1335966233212.jpg,11.387602686882019 7.303059697151184 691.0 4.0,False,True,FALSE,False,,,False,TRUE,,True,True,False,True,False,False,False,Funtua,228,228,228.0,False,True,True,True,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1335966233212.jpg,225571,502.956129888,True,False,False,health,False,TRUE,Katsina,False,True,Others,FALSE,katsina_funtua,False,e8a03ddc-5fb6-4c34-be02-5fc2a3e5727e,False,False,e8a03ddc-5fb6-4c34-be02-5fc2a3e5727e,Northwest
False,448.4904082,True,True,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,True,True,False,,,False,False,True,Primary Health Centre Unguwar Tukur,,primaryhealthcarecentre,False,True,False,True,1335973145834.jpg,11.528096795082092 7.309561371803284 712.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,True,False,False,False,False,False,False,Funtua,228,228,228.0,False,True,True,False,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,14,10,0.0,0.0,5.0,6.0,False,public,False,True,1335973145834.jpg,225571,502.956129888,True,False,False,health,True,TRUE,Katsina,False,True,Others,TRUE,katsina_funtua,False,a4bad244-714c-4c93-bfb5-3a41386b5942,False,False,a4bad244-714c-4c93-bfb5-3a41386b5942,Northwest
False,448.4904082,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,False,True,Community comprehensive health center,TRUE,comprehensivehealthcentre,False,True,False,True,1335951668863.jpg,11.32214605808258 7.332569360733032 685.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Funtua,228,228,228.0,False,True,True,True,True,False,False,False,False,False,FALSE,funtua,katsina,northwest,4,4,0.0,1.0,0.0,0.0,False,public,,False,1335951668863.jpg,225571,502.956129888,True,False,False,health,False,TRUE,Katsina,False,True,Others,TRUE,katsina_funtua,False,16c301ab-db4d-442f-891f-49782cd21a96,False,False,16c301ab-db4d-442f-891f-49782cd21a96,Northwest
False,448.4904082,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.00899217222213,0.991015507431,False,True,False,,,False,False,True,PRIMARY HEALTH CLINIC INJI,,primaryhealthclinic,False,True,False,True,1336142416213.jpg,11.492026448249817 7.22402036190033 705.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Funtua,228,228,146.0,False,True,True,False,False,False,False,False,False,False,FALSE,funtua,katsina,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1336142416213.jpg,225571,502.956129888,True,False,False,health,False,TRUE,Katsina,False,,Others,FALSE,katsina_funtua,False,43c7303f-192e-4fd8-ab96-7bfb624edba7,False,False,43c7303f-192e-4fd8-ab96-7bfb624edba7,Northwest
False,448.4904082,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,True,False,False,,PHC dukke,TRUE,primaryhealthclinic,False,True,False,True,1336041494010.jpg,11.573249101638794 7.249925136566162 668.0 4.0,False,True,FALSE,False,True,True,False,TRUE,False,True,True,False,True,False,False,False,Funtua,228,228,228.0,False,True,True,True,True,False,False,False,False,False,FALSE,funtua,katsina,northwest,4,4,0.0,1.0,0.0,0.0,False,public,False,True,1336041494010.jpg,225571,502.956129888,True,False,False,health,False,TRUE,Katsina,True,True,Others,FALSE,katsina_funtua,False,bc776610-468e-4cda-896f-88ebdc6ac507,False,False,bc776610-468e-4cda-896f-88ebdc6ac507,Northwest
False,448.4904082,True,True,True,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,True,True,CHC,TRUE,comprehensivehealthcentre,False,True,False,True,1335947014482.jpg,11.5083942 7.30652675 720.7999877929688 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Funtua,228,228,228.0,False,True,True,True,True,False,False,False,False,False,FALSE,funtua,katsina,northwest,35,34,1.0,2.0,9.0,2.0,False,public,,True,1335947014482.jpg,225571,502.956129888,True,False,False,health,True,TRUE,Katsina,True,True,Others,TRUE,katsina_funtua,False,0db57ddc-4812-418a-b857-29447809b984,False,False,0db57ddc-4812-418a-b857-29447809b984,Northwest
