breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poorly Constructed,unimproved,Yanlami.G,,,,1347277103201.jpg,No,12.74034917 8.14621418 534.4000244140625 5.0,False,Ingawa,349,349,349.0,Tap (unknown lift),No,1347277103201.jpg,water,Katsina,katsina_ingawa,3ac2b377-b0bc-4978-a870-550839b7cd47,Agayawa,Unimproved,outlet,,3ac2b377-b0bc-4978-a870-550839b7cd47,Northwest
Dry Well,unimproved,Santar Nakyalle,,,Stand Alone Water Point,1347015021809.jpg,No,12.70705331 7.97144734 532.7000122070313 5.0,False,Ingawa,349,349,349.0,Manual,No,1347015021809.jpg,water,Katsina,katsina_ingawa,50c5db1a-dee7-4402-afb9-d3d6242b299d,Kurfeji/Yankaura,Unimproved,water_source,unprotected_dug_well,50c5db1a-dee7-4402-afb9-d3d6242b299d,Northwest
Functional,handpump,Yakurutu,,,Stand Alone Water Point,1347028876887.jpg,Yes,12.63988371 8.0210496 535.0 5.0,True,Ingawa,349,349,349.0,Hand Pump,No,1347028876887.jpg,water,Katsina,katsina_ingawa,a7f14f67-2a39-498d-8756-d0428a1e0eb4,Ingawa,Handpump,water_source,borehole_tube_well,a7f14f67-2a39-498d-8756-d0428a1e0eb4,Northwest
Functional,handpump,Kuki,,,Stand Alone Water Point,1347180162350.jpg,Yes,12.62089624 8.10447877 548.5999755859375 5.0,True,Ingawa,349,349,349.0,Hand Pump,No,1347180162350.jpg,water,Katsina,katsina_ingawa,13075159-68ea-45b8-9e73-d247bc38377c,Daunaka Bakin Kwari,Handpump,water_source,borehole_tube_well,13075159-68ea-45b8-9e73-d247bc38377c,Northwest
Mechanical Issue,handpump,Dundu,,,,1347100893573.jpg,No,12.72992173 8.0315579 563.7999877929688 5.0,True,Ingawa,349,349,349.0,Hand Pump,No,1347100893573.jpg,water,Katsina,katsina_ingawa,4ef556e8-8e4f-4fea-860f-13a807a1045b,Kurfeji/Yankaura,Handpump,outlet,,4ef556e8-8e4f-4fea-860f-13a807a1045b,Northwest
Functional,handpump,Yeri,,,"Water Scheme, Source within 100m",1347023728657.jpg,Yes,12.71363395 8.10037454 538.0 5.0,True,Ingawa,349,349,349.0,Hand Pump,No,1347023728657.jpg,water,Katsina,katsina_ingawa,c7863cb5-7d07-4171-b21c-64d372367cfb,Dugul,Handpump,outlet,,c7863cb5-7d07-4171-b21c-64d372367cfb,Northwest
Functional,handpump,Karaf,,,,1347101760349.jpg,Yes,12.71442116 8.02009435 541.0999755859375 5.0,True,Ingawa,349,349,349.0,Hand Pump,No,1347101760349.jpg,water,Katsina,katsina_ingawa,80bb43a1-bc37-4274-ad43-8a24b715ca1d,Kurfeji/Yankaura,Handpump,outlet,,80bb43a1-bc37-4274-ad43-8a24b715ca1d,Northwest
Functional,unimproved,Zucci B,,,Stand Alone Water Point,1347181696897.jpg,Yes,12.62542794 8.11662051 551.4000244140625 6.0,False,Ingawa,349,349,349.0,,No,1347181696897.jpg,water,Katsina,katsina_ingawa,9e87f59e-636d-45ac-832e-f5c695c23d02,Daunaka Bakin Kwari,Unimproved,water_source,unprotected_dug_well,9e87f59e-636d-45ac-832e-f5c695c23d02,Northwest
Functional,unimproved,Yanlami.G,,,Stand Alone Water Point,1347277262497.jpg,Yes,12.74012079 8.14573554 536.2000122070313 5.0,False,Ingawa,349,349,349.0,Manual,No,1347277262497.jpg,water,Katsina,katsina_ingawa,9d9454a5-a33d-4731-abe4-2bbc4e142f98,Agayawa,Unimproved,water_source,unprotected_dug_well,9d9454a5-a33d-4731-abe4-2bbc4e142f98,Northwest
Poorly Constructed,handpump,Shamiya,,,"Water Scheme, Source within 100m",1347098751762.jpg,No,12.70159068 8.03570913 523.9000244140625 5.0,True,Ingawa,349,349,349.0,Hand Pump,No,1347098751762.jpg,water,Katsina,katsina_ingawa,16c09fdb-051c-453f-b603-af8ca9ebf6a1,Dugul,Handpump,outlet,,16c09fdb-051c-453f-b603-af8ca9ebf6a1,Northwest
