breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Lowcost Mani Road,,,"Water Scheme, Source within 100m",1345885958167.jpg,Yes,12.98037866 7.62682068 538.2000122070313 5.0,True,Katsina,419,419,419.0,Tap (unknown lift),No,1345885958167.jpg,water,Katsina,katsina_katsina,8a292e6d-a14b-4600-add3-3807a9bcae03,Gabas 2,Tap,outlet,,8a292e6d-a14b-4600-add3-3807a9bcae03,Northwest
Poor Water Quality,,Sararin kuka,,,Stand Alone Water Point,1345886155293.jpg,No,12.9903366 7.59445825 537.7999877929688 5.0,False,Katsina,419,419,419.0,,No,1345886155293.jpg,water,Katsina,katsina_katsina,ead7efca-77cb-465b-9f65-3d7a1a143300,Wakilin kudu 1,Unimproved Well,water_source,protected_dug_well,ead7efca-77cb-465b-9f65-3d7a1a143300,Northwest
Mechanical Issue,,Sarkin noma pri.sch. kofar guga.,,,Stand Alone Water Point,1345808549899.jpg,No,12.99536764 7.58490246 542.2000122070313 5.0,True,Katsina,419,419,419.0,Diesel,No,1345808549899.jpg,water,Katsina,katsina_katsina,190d0fa6-7599-4b03-b032-d633541a340f,Yamma 1,Borehole,water_source,borehole_tube_well,190d0fa6-7599-4b03-b032-d633541a340f,Northwest
Functional,,Makudawa,,,Stand Alone Water Point,1345886538163.jpg,Yes,12.99258564 7.58738769 560.7000122070313 5.0,True,Katsina,419,419,419.0,Diesel,No,1345886538163.jpg,water,Katsina,katsina_katsina,abb4adee-1c3b-43c4-8ac6-a1e118fdfcbf,Yamma 1,Borehole,water_source,borehole_tube_well,abb4adee-1c3b-43c4-8ac6-a1e118fdfcbf,Northwest
Functional,,Sabon Gida,,,Stand Alone Water Point,1345886368216.jpg,Yes,13.00438471 7.57997535 549.9000244140625 5.0,False,Katsina,419,419,419.0,,No,1345886368216.jpg,water,Katsina,katsina_katsina,e5c475aa-6166-44b9-926f-a93d0b0ec783,Yamma 1,Unimproved Well,water_source,protected_dug_well,e5c475aa-6166-44b9-926f-a93d0b0ec783,Northwest
Functional,,Gidan Dawa,,,"Water Scheme, Source within 100m",1345822764267.jpg,Yes,12.96811664 7.63099095 544.2999877929688 5.0,True,Katsina,419,419,419.0,Tap (unknown lift),No,1345822764267.jpg,water,Katsina,katsina_katsina,678c94ce-68e1-4d69-b3bc-360e6da5627b,Kudu 2,Tap,outlet,,678c94ce-68e1-4d69-b3bc-360e6da5627b,Northwest
Functional,,Sabon gida,,,Stand Alone Water Point,1345823797897.jpg,Yes,13.00431724 7.5793769 548.2999877929688 5.0,True,Katsina,419,419,419.0,Diesel,Yes,1345823797897.jpg,water,Katsina,katsina_katsina,184ba1b4-55c7-4844-a22c-2cb055bef34f,Yamma 1,Borehole,water_source,borehole_tube_well,184ba1b4-55c7-4844-a22c-2cb055bef34f,Northwest
Poorly Constructed,,Kofar ‘yandaka,,,Stand Alone Water Point,1345898759631.jpg,No,12.98483259 7.58870673 561.5 5.0,True,Katsina,419,419,419.0,Hand Pump,No,1345898759631.jpg,water,Katsina,katsina_katsina,c6108126-bfa5-403b-a38c-346bac61aca3,Yamma 2,Borehole,water_source,borehole_tube_well,c6108126-bfa5-403b-a38c-346bac61aca3,Northwest
Functional,,Sabon Gida,,,Stand Alone Water Point,1345886368216.jpg,Yes,13.00438471 7.57997535 549.9000244140625 5.0,False,Katsina,419,419,419.0,,No,1345886368216.jpg,water,Katsina,katsina_katsina,48aec607-3007-4617-8903-5c11f58f3430,Yamma 1,Unimproved Well,water_source,protected_dug_well,48aec607-3007-4617-8903-5c11f58f3430,Northwest
Functional,,Nasawa Quaters,,,Stand Alone Water Point,1345893610012.jpg,Yes,12.97422033 7.58373576 533.5 5.0,False,Katsina,419,419,419.0,Manual,No,1345893610012.jpg,water,Katsina,katsina_katsina,dff71a5e-f21e-472d-af82-c8cd5faf8757,Yamma 2,Unimproved Well,water_source,protected_dug_well,dff71a5e-f21e-472d-af82-c8cd5faf8757,Northwest
