breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,handpump,Walawa,,,,1347179629012.jpg,No,12.99330128 8.51632125 462.29998779296875 5.0,True,Zango,769,769,769.0,Hand Pump,No,1347179629012.jpg,water,Katsina,katsina_zango,2cc38c37-eb69-42fd-97d8-24e7d8fa21cf,SARA,Handpump,dk,,2cc38c37-eb69-42fd-97d8-24e7d8fa21cf,Northwest
Functional,unimproved,Aduwa,,,Stand Alone Water Point,1347022092717.jpg,Yes,12.89967074 8.64277137 447.5 5.0,False,Zango,769,769,769.0,Manual,No,1347022092717.jpg,water,Katsina,katsina_zango,25e8fce3-1926-4e97-8238-282f9e00e25f,Kawarin kudi,Unimproved,water_source,protected_dug_well,25e8fce3-1926-4e97-8238-282f9e00e25f,Northwest
Functional,unimproved,Tarke,,,Stand Alone Water Point,1347184843716.jpg,Yes,13.01197904 8.492222 489.0 5.0,False,Zango,769,769,769.0,Manual,No,1347184843716.jpg,water,Katsina,katsina_zango,1484063e-da18-4357-995c-292ee8b03f78,SARA,Unimproved,water_source,protected_dug_well,1484063e-da18-4357-995c-292ee8b03f78,Northwest
Functional,one_thousand_overhead,Dishe,,,"Water Scheme, Source within 100m",1347092056880.jpg,Yes,12.98716016 8.61340878 462.8999938964844 5.0,True,Zango,769,769,769.0,Tap (unknown lift),Yes,1347092056880.jpg,water,Katsina,katsina_zango,4c26fa84-c89f-4591-a01d-11ebe2c20981,Yardaje,"Overhead Tank (1,000)",outlet,,4c26fa84-c89f-4591-a01d-11ebe2c20981,Northwest
Functional,handpump,KUTUTTIRE,,,"Water Scheme, Source within 1km",1347176749037.jpg,Yes,12.96878036 8.54672538 457.3999938964844 5.0,True,Zango,769,769,769.0,Hand Pump,No,1347176749037.jpg,water,Katsina,katsina_zango,f9c4343c-38ff-49e1-900d-bc593c649f7a,KANDA,Handpump,outlet,,f9c4343c-38ff-49e1-900d-bc593c649f7a,Northwest
Functional,unimproved,Rahamawa1,,,Stand Alone Water Point,1347176620441.jpg,Yes,12.97976585 8.50904906 482.1000061035156 5.0,False,Zango,769,769,769.0,Manual,No,1347176620441.jpg,water,Katsina,katsina_zango,a33ab961-0e17-4c37-b2ca-cf730c58c53c,SARA,Unimproved,water_source,unprotected_dug_well,a33ab961-0e17-4c37-b2ca-cf730c58c53c,Northwest
Poor Water Quality,unimproved,BULUNGUDU,,,Stand Alone Water Point,1347089317138.jpg,No,13.02472271 8.563174 493.79998779296875 5.0,False,Zango,769,769,769.0,Manual,No,1347089317138.jpg,water,Katsina,katsina_zango,303c6c3d-c6d6-4a4f-91f8-feb38145e147,YARDAJI,Unimproved,water_source,protected_dug_well,303c6c3d-c6d6-4a4f-91f8-feb38145e147,Northwest
Functional,unimproved,Kawarin malamai,,,Stand Alone Water Point,1347184260607.jpg,Yes,12.90833345 8.61617776 420.1000061035156 5.0,False,Zango,769,769,769.0,Manual,No,1347184260607.jpg,water,Katsina,katsina_zango,c2ec2150-c9c3-4d1f-a5fc-7f75c7529bd0,Kawarin malamai,Unimproved,water_source,protected_dug_well,c2ec2150-c9c3-4d1f-a5fc-7f75c7529bd0,Northwest
Functional,unimproved,Sabun Gari Walawa,,,Stand Alone Water Point,1347178906489.jpg,Yes,12.98911548 8.51914169 489.8999938964844 5.0,False,Zango,769,769,769.0,Manual,No,1347178906489.jpg,water,Katsina,katsina_zango,76f45fb3-872e-44af-be2a-7821a946fdc1,Sara,Unimproved,water_source,unprotected_dug_well,76f45fb3-872e-44af-be2a-7821a946fdc1,Northwest
Mechanical Issue,handpump,MAIFARU,,,"Water Scheme, Source within 1km",1347264092429.jpg,No,13.04960055 8.52390257 515.9000244140625 5.0,True,Zango,769,769,769.0,Hand Pump,No,1347264092429.jpg,water,Katsina,katsina_zango,f816514a-1eab-4f3c-b98a-26996274dc99,ZANGO WARD,Handpump,outlet,,f816514a-1eab-4f3c-b98a-26996274dc99,Northwest
Functional,unimproved,Gurdo,,,Stand Alone Water Point,1347181722079.jpg,Yes,13.0044013 8.50299683 477.3999938964844 5.0,False,Zango,769,769,769.0,Manual,No,1347181722079.jpg,water,Katsina,katsina_zango,29798080-5e75-4553-8d75-54e1d72b06bd,Sara,Unimproved,water_source,unprotected_dug_well,29798080-5e75-4553-8d75-54e1d72b06bd,Northwest
Functional,handpump,Komo,,,Stand Alone Water Point,1347099066349.jpg,Yes,12.92479112 8.63150819 422.79998779296875 5.0,True,Zango,769,769,769.0,Hand Pump,No,1347099066349.jpg,water,Katsina,katsina_zango,cd3846d7-dc1d-4e46-920f-010fd8707305,Gwamba,Handpump,water_source,borehole_tube_well,cd3846d7-dc1d-4e46-920f-010fd8707305,Northwest
Functional,unimproved,TARKE,,,Stand Alone Water Point,1347184638927.jpg,Yes,13.01158744 8.4919593 482.6000061035156 5.0,False,Zango,769,769,769.0,Manual,No,1347184638927.jpg,water,Katsina,katsina_zango,fdc63a5d-8fef-458d-94e5-6b653b67f289,SARA,Unimproved,water_source,protected_dug_well,fdc63a5d-8fef-458d-94e5-6b653b67f289,Northwest
Functional,handpump,RAHAMAWA 2,,,,1347177242400.jpg,Yes,12.98118735 8.5142033 501.1000061035156 5.0,True,Zango,769,769,769.0,Hand Pump,No,1347177242400.jpg,water,Katsina,katsina_zango,4d3bbf68-2be4-49d1-b0ab-c7e655a23667,SARA,Handpump,dk,,4d3bbf68-2be4-49d1-b0ab-c7e655a23667,Northwest
Dry Well,unimproved,Dishe,,,Stand Alone Water Point,1347091908150.jpg,No,12.98777981 8.61335461 472.0 5.0,False,Zango,769,769,769.0,Manual,No,1347091908150.jpg,water,Katsina,katsina_zango,2d0eca73-2ec5-47cc-8f05-c72dcafe216f,Yardaje,Unimproved,water_source,unprotected_dug_well,2d0eca73-2ec5-47cc-8f05-c72dcafe216f,Northwest
Functional,one_thousand_overhead,Garba,,,Stand Alone Water Point,1347091653659.jpg,Yes,12.93064003 8.57683426 450.79998779296875 5.0,True,Zango,769,769,769.0,Diesel,No,1347091653659.jpg,water,Katsina,katsina_zango,19f97b5d-65e1-4e0c-9856-4ccf01ac5680,Gwamba,"Overhead Tank (1,000)",water_source,borehole_tube_well,19f97b5d-65e1-4e0c-9856-4ccf01ac5680,Northwest
Functional,unimproved,Tarke,,,Stand Alone Water Point,1347184227069.jpg,Yes,13.01100855 8.4925311 490.6000061035156 5.0,False,Zango,769,769,769.0,Manual,No,1347184227069.jpg,water,Katsina,katsina_zango,c7ce0f9b-9d9f-425d-b05a-ab3b0e831dec,Sara,Unimproved,water_source,protected_dug_well,c7ce0f9b-9d9f-425d-b05a-ab3b0e831dec,Northwest
Mechanical Issue,handpump,BARAGE,,,Stand Alone Water Point,1347009961288.jpg,No,12.96727919 8.45656105 494.8999938964844 5.0,True,Zango,769,769,769.0,Hand Pump,No,1347009961288.jpg,water,Katsina,katsina_zango,2b2cdeb0-b025-4b82-a17a-18b39f26289d,DARGAGE,Handpump,water_source,borehole_tube_well,2b2cdeb0-b025-4b82-a17a-18b39f26289d,Northwest
Mechanical Issue,one_thousand_overhead,Komo,,,Stand Alone Water Point,1347097908684.jpg,No,12.92406964 8.62994567 452.6000061035156 5.0,True,Zango,769,769,769.0,Solar,No,1347097908684.jpg,water,Katsina,katsina_zango,60c5ef0b-953c-44a3-9d55-30a4b9865f19,Gwamba,"Overhead Tank (1,000)",water_source,borehole_tube_well,60c5ef0b-953c-44a3-9d55-30a4b9865f19,Northwest
