antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,1390.464385,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,TONDI TSYA DISPENSARY,TRUE,healthpostdispensary,False,True,False,True,1343394702004.jpg,10.885332226753235 4.7527992725372314 190.0 3.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Yauri,761,761,761.0,False,False,False,True,True,False,False,False,False,False,FALSE,yauri,kebbi,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1343394702004.jpg,88777,63.8470146792,,False,False,health,False,TRUE,Kebbi,False,False,Others,FALSE,kebbi_yauri,False,dfa0e0c7-aa78-4193-8fcc-1b5a34d29f42,,,dfa0e0c7-aa78-4193-8fcc-1b5a34d29f42,Northwest
False,1390.464385,False,False,False,True,True,False,False,True,True,True,True,True,,False,FALSE,False,0.0226696018908,2.5018196382,False,True,False,True,False,False,True,True,MAI SHAGALI DISPENSARY,TRUE,healthpostdispensary,False,True,False,True,1343481483773.jpg,10.66881493 4.70273095 174.5 5.0,False,False,FALSE,False,,,False,FALSE,True,True,False,False,False,False,False,False,Yauri,761,761,527.0,False,True,True,True,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,1,0,0.0,0.0,0.0,0.0,False,public,,False,1343481483773.jpg,88777,63.8470146792,,False,False,health,False,TRUE,Kebbi,False,,Others,FALSE,kebbi_yauri,False,0d59c6b7-7a3a-4669-a693-03250955019f,False,False,0d59c6b7-7a3a-4669-a693-03250955019f,Northwest
False,1390.464385,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,True,True,TILLO DISPEENSARY,,healthpostdispensary,False,True,False,True,1343390022766.jpg,10.905620455741882 4.742215275764465 169.0 4.0,False,False,FALSE,False,,,False,FALSE,True,False,False,False,False,False,False,False,Yauri,761,761,761.0,False,True,False,False,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,3,2,0.0,0.0,1.0,0.0,False,public,,False,1343390022766.jpg,88777,63.8470146792,,False,False,health,False,TRUE,Kebbi,False,True,Others,FALSE,kebbi_yauri,False,1456a759-bbd7-4db4-9797-198853a6a99c,False,False,1456a759-bbd7-4db4-9797-198853a6a99c,Northwest
False,1390.464385,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Primary Health Centre,TRUE,wardmodelphccentre,False,True,False,True,1343469315898.jpg,10.80077865 4.73523777 179.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Yauri,761,761,761.0,False,True,True,True,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,1,0,0.0,0.0,0.0,0.0,False,public,False,False,1343469315898.jpg,88777,63.8470146792,True,False,False,health,False,TRUE,Kebbi,False,True,Others,FALSE,kebbi_yauri,False,fff87670-a930-450a-a0a8-43117668a360,,,fff87670-a930-450a-a0a8-43117668a360,Northwest
False,1390.464385,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,MCH Yauri,FALSE,primaryhealthclinic,False,True,False,True,1343640704319.jpg,10.84925181 4.74319313 178.60000610351563 5.0,False,False,FALSE,False,True,False,False,FALSE,,True,False,False,False,False,False,False,Yauri,761,761,761.0,False,False,False,True,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,6,6,0.0,0.0,2.0,0.0,False,public,,True,1343640704319.jpg,88777,63.8470146792,,False,False,health,True,TRUE,Kebbi,False,True,Others,FALSE,kebbi_yauri,False,c021882b-b9f0-4a13-8d3f-55a95b1d057d,,,c021882b-b9f0-4a13-8d3f-55a95b1d057d,Northwest
False,1390.464385,False,False,False,False,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,,PHC,FALSE,wardmodelphccentre,False,True,False,True,1343470982445.jpg,10.79338185 4.73855271 185.89999389648438 5.0,False,True,FALSE,False,True,False,False,TRUE,True,True,False,False,True,False,False,False,Yauri,761,761,761.0,False,False,True,True,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1343470982445.jpg,88777,63.8470146792,True,False,False,health,False,TRUE,Kebbi,False,False,Others,TRUE,kebbi_yauri,False,cd29991c-5c07-4977-9bb8-0bbad024c18d,,,cd29991c-5c07-4977-9bb8-0bbad024c18d,Northwest
False,1390.464385,False,False,False,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,,,False,True,False,True,True,False,,True,PRY. HEALTH CENTRE ZAMARE,TRUE,primaryhealthcarecentre,False,False,False,True,1343485827223.jpg,10.7128843 4.71073491 182.60000610351563 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Yauri,761,761,761.0,False,True,True,True,True,False,False,False,False,False,FALSE,yauri,kebbi,northwest,4,3,1.0,1.0,2.0,0.0,False,public,False,True,1343485827223.jpg,88777,63.8470146792,,False,False,health,True,TRUE,Kebbi,False,True,Others,TRUE,kebbi_yauri,False,0353de54-c2aa-495b-acdc-ebc68b04c27c,,,0353de54-c2aa-495b-acdc-ebc68b04c27c,Northwest
False,1390.464385,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,,BUNZAWA DISPENSARY,,primaryhealthcarecentre,False,,False,,1343390664785.jpg,10.899708867073059 4.741179943084717 173.0 4.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,False,False,False,False,Yauri,761,761,761.0,False,False,False,False,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,0,0,0.0,0.0,0.0,0.0,False,public,,True,1343390664785.jpg,88777,63.8470146792,False,False,False,health,False,TRUE,Kebbi,,,Others,FALSE,kebbi_yauri,False,e2fc50e7-d9ea-4552-afb7-9022ca4e2959,,,e2fc50e7-d9ea-4552-afb7-9022ca4e2959,Northwest
False,1390.464385,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,TOWN DISPENSERY,,healthpostdispensary,False,True,False,True,1343393801094.jpg,10.83985723 4.73990293 169.1999969482422 5.0,False,True,FALSE,False,False,False,False,FALSE,,False,False,False,False,False,False,False,Yauri,761,761,761.0,False,True,True,False,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,3,3,0.0,0.0,0.0,0.0,False,public,False,True,1343393801094.jpg,88777,63.8470146792,,False,False,health,False,TRUE,Kebbi,False,False,Others,FALSE,kebbi_yauri,False,ecba46f4-272a-4a55-85c7-4e5c6676e2bd,False,False,ecba46f4-272a-4a55-85c7-4e5c6676e2bd,Northwest
False,1390.464385,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0514948645512,5.68316503147,False,True,False,,,False,,,KOMAGUMBI PRIMARY HEALTH CARE,,primaryhealthcarecentre,False,,False,,1343475935560.jpg,10.63831135 4.70692566 168.89999389648438 3.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Yauri,761,761,527.0,False,True,False,False,False,False,False,False,False,False,FALSE,yauri,kebbi,northwest,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1343475935560.jpg,88777,63.8470146792,,False,False,health,False,TRUE,Kebbi,,,Others,FALSE,kebbi_yauri,False,971d8256-7d71-48d8-8a36-c8740e63de55,,,971d8256-7d71-48d8-8a36-c8740e63de55,Northwest
