breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Okealuju Iyamoye.,,,Stand Alone Water Point,1342006287510.jpg,Yes,7.83976747 5.79207077 545.2000122070313 5.0,False,Ijumu,320,320,320.0,,No,1342006287510.jpg,water,Kogi,kogi_ijumu,8da6acc5-0981-4501-bdf0-e591e8384b26,Ijamoye Igbopin,Unimproved Well,water_source,protected_dug_well,8da6acc5-0981-4501-bdf0-e591e8384b26,North-Central
Functional,,IDI ORO,,,"Water Scheme, Source within 1km",1342346762797.jpg,Yes,7.66555461 6.10605227 411.3999938964844 5.0,True,Ijumu,320,320,320.0,Tap (unknown lift),No,1342346762797.jpg,water,Kogi,kogi_ijumu,6895c289-bb73-43a5-974b-3f5d0a96611d,OGALE/ADUGE,Tap,outlet,,6895c289-bb73-43a5-974b-3f5d0a96611d,North-Central
Mechanical Issue,,Ekinrin Adde,,,Stand Alone Water Point,1342251393172.jpg,No,7.83259329 5.87107827 535.4000244140625 5.0,False,Ijumu,320,320,320.0,,No,1342251393172.jpg,water,Kogi,kogi_ijumu,39881c81-8ef1-484c-bea8-a669d24852ba,Ekinrin Adde,Unimproved Well,water_source,unprotected_dug_well,39881c81-8ef1-484c-bea8-a669d24852ba,North-Central
Mechanical Issue,,Okoro Gbede,,,Stand Alone Water Point,1342036809806.jpg,No,7.90230608 6.04290118 524.0 5.0,True,Ijumu,320,320,320.0,Electric,No,1342036809806.jpg,water,Kogi,kogi_ijumu,5de5d883-eebf-44b0-bf3f-e508194ff9e0,Okoro/Odokoro/Araromi,Borehole,water_source,borehole_tube_well,5de5d883-eebf-44b0-bf3f-e508194ff9e0,North-Central
Functional,,Ayetoro Iluhagba,,,Stand Alone Water Point,1342207904397.jpg,Yes,7.99163583 5.99008407 458.29998779296875 5.0,False,Ijumu,320,320,320.0,,No,1342207904397.jpg,water,Kogi,kogi_ijumu,1e157bf2-65ea-4107-8902-574d1ce99d5e,Ayetoro Iluhagba,Unimproved Well,water_source,protected_dug_well,1e157bf2-65ea-4107-8902-574d1ce99d5e,North-Central
Mechanical Issue,,Ayah Gbede,,,Stand Alone Water Point,1342135501908.jpg,No,8.01655797 5.99506423 459.20001220703125 5.0,True,Ijumu,320,320,320.0,Hand Pump,No,1342135501908.jpg,water,Kogi,kogi_ijumu,613beb38-e206-4299-b8c4-db545f4fb82b,Iyah Ayah,Borehole,water_source,borehole_tube_well,613beb38-e206-4299-b8c4-db545f4fb82b,North-Central
Mechanical Issue,,Araromi,,,Stand Alone Water Point,1342378636184.jpg,No,7.93236828 6.01865443 502.3999938964844 5.0,True,Ijumu,320,320,320.0,Solar,Don't Know,1342378636184.jpg,water,Kogi,kogi_ijumu,06fa64fd-0dec-4f35-bcc4-53756983df8a,Okoro Odokoro Araromi,Borehole,water_source,borehole_tube_well,06fa64fd-0dec-4f35-bcc4-53756983df8a,North-Central
Functional,,ODOKORO,,,Stand Alone Water Point,1342342051515.jpg,Yes,7.94858868 5.99821162 470.79998779296875 5.0,False,Ijumu,320,320,320.0,Manual,No,1342342051515.jpg,water,Kogi,kogi_ijumu,c7bb2621-a605-4505-8695-004e65760f8e,OKORO ODOKORO ARAROMI,Unimproved Well,water_source,protected_dug_well,c7bb2621-a605-4505-8695-004e65760f8e,North-Central
Poor Water Quality,,AYERE,,,Stand Alone Water Point,1342262180330.jpg,No,7.70636391 5.97551921 404.79998779296875 5.0,False,Ijumu,320,320,320.0,,No,1342262180330.jpg,water,Kogi,kogi_ijumu,baad639f-0d21-4d33-82a0-134f461d4192,AYERE,Unimproved Well,water_source,unprotected_dug_well,baad639f-0d21-4d33-82a0-134f461d4192,North-Central
Functional,,Odokoro,,,Stand Alone Water Point,1342375288301.jpg,Yes,7.94546066 5.99774078 473.20001220703125 5.0,False,Ijumu,320,320,320.0,,No,1342375288301.jpg,water,Kogi,kogi_ijumu,e96c2da2-ba4d-4f99-b9b3-34e55debdd35,Okoro Odokoro Araromi,Unimproved Well,water_source,unprotected_dug_well,e96c2da2-ba4d-4f99-b9b3-34e55debdd35,North-Central
