access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1666.86705,True,no,False,,,,formal,"Ube Junior Secondary,Agbenema",js,1305037435354.jpg,,,yes,7.806859016418457 7.454057335853577 242.0 4.0,True,False,js,Omala,596,596,596.0,1.3,True,OMALA,KOGI,north_central,yes,0.0,0.0,6.0,46.0,2.0,6.0,5.0,,8.0,public,False,1305037435354.jpg,108402,65.0333810366,,False,no,no,0.766666666666667,15.3333333333333,0.766666666666667,7.66666666666667,,True,,"Ube Junior Secondary,Agbenema",education,Kogi,0.0,113,False,False,yes,1,0.173913043478261,no,,kogi_omala,975236d555d79a6ee56b5aaeae140c4f,False,9852,North-Central
False,True,1666.86705,True,no,False,,,,formal,Bagana Comm. Sec Sch Bagana,ss,1305050409189.jpg,,,yes,8.023951649665833 7.594615817070007 185.0 32.0,True,False,ss,Omala,596,596,596.0,1.83333333333333,False,OMALA,KOGI,north_central,no,2.0,3.0,19.0,17.0,3.0,5.0,3.0,,0.0,,False,1305050409189.jpg,108402,65.0333810366,,False,no,no,0.34,1.41666666666667,0.34,3.4,,True,,Bagana Comm. Sec Sch Bagana,education,Kogi,0.0,113,False,False,no,1.25,0,no,,kogi_omala,d9f4653582a2d0f3126fe2a9d1c01416,False,13398,North-Central
False,True,1666.86705,True,no,True,,,,formal,Odomukpo/Ajomakoji Lgea Pri. Sch.,primary,1305038928433.jpg,,,no,7.9099684953689575 7.51289963722229 129.0 6.0,True,False,primary,Omala,596,596,596.0,0.666666666666667,True,OMALA,KOGI,north_central,yes,0.0,8.0,14.0,25.0,2.0,7.0,6.0,,14.0,public,False,1305038928433.jpg,108402,65.0333810366,,False,no,no,Inf,2.27272727272727,Inf,3.57142857142857,,False,True,Odomukpo/Ajomakoji Lgea Pri. Sch.,education,Kogi,0.0,113,False,False,yes,Inf,0.56,no,,kogi_omala,f7d69eeca74a3e6fcff47c8511ce2679,False,13213,North-Central
False,False,1666.86705,True,no,False,,,,formal,Lgea Primary School,primary,1305197348655.jpg,,,no,7.767698764801025 7.625976204872131 265.0 4.0,False,False,primary,Omala,596,596,596.0,1.39837398373984,False,OMALA,KOGI,north_central,yes,4.0,0.0,4.0,295.0,0.0,6.0,6.0,,12.0,public,False,1305197348655.jpg,108402,65.0333810366,,False,no,no,Inf,73.75,Inf,49.1666666666667,,False,True,Lgea Primary School,education,Kogi,0.0,113,False,False,no,1,0.0406779661016949,no,,kogi_omala,ca3e07e1223ec45a7700f5c55f502907,False,13014,North-Central
False,False,1666.86705,True,no,False,,,,integrated,Ube Jss Islamiys Abejukolo,js,1305044607649.jpg,,,no,7.864419221878052 7.507615685462952 142.0 4.0,True,False,js,Omala,596,596,596.0,0.990384615384615,False,OMALA,KOGI,north_central,yes,2.0,3.0,5.0,414.0,8.0,12.0,10.0,,21.0,public,False,1305044607649.jpg,108402,65.0333810366,,False,no,no,2.95714285714286,82.8,2.95714285714286,34.5,,False,False,Ube Jss Islamiys Abejukolo,education,Kogi,0.0,113,True,False,yes,Inf,0.0507246376811594,no,,kogi_omala,fc465a58d52ecc78ce35768440da0519,False,9932,North-Central
False,False,1666.86705,True,yes,False,,,,formal,Cefn Nursery And Primary School Olokwu,preprimary_primary,1305148763474.jpg,,,no,7.651360630989075 7.615252733230591 427.0 4.0,False,False,preprimary_primary,Omala,596,596,596.0,1.03870967741935,True,OMALA,KOGI,north_central,yes,7.0,3.0,10.0,316.0,0.0,6.0,4.0,,12.0,public,False,1305148763474.jpg,108402,65.0333810366,,False,no,no,3.95,31.6,3.95,52.6666666666667,,False,False,Cefn Nursery And Primary School Olokwu,education,Kogi,0.0,113,True,False,no,Inf,0.0379746835443038,no,,kogi_omala,610600321fc5187da633964a4dd37aed,False,10326,North-Central
False,False,1666.86705,True,no,True,,,,formal,Ube Jss Ajiyolo,js,1305062514137.jpg,,,yes,7.763637900352478 7.439643144607544 289.0 4.0,False,False,js,Omala,596,596,596.0,1.21621621621622,False,OMALA,KOGI,north_central,yes,0.0,0.0,6.0,164.0,2.0,5.0,5.0,,14.0,public,False,1305062514137.jpg,108402,65.0333810366,,False,no,no,2.27777777777778,54.6666666666667,2.27777777777778,32.8,,False,False,Ube Jss Ajiyolo,education,Kogi,0.0,113,True,False,no,Inf,0.0853658536585366,no,,kogi_omala,d267401c242f2671e82294649eb75570,False,9949,North-Central
False,False,1666.86705,True,no,False,,,,formal,Lgea Primary School Kaduna Ife,primary,1305123509672.jpg,,,no,7.741262912750244 7.554055452346802 234.0 4.0,False,False,primary,Omala,596,596,596.0,0.761538461538461,False,OMALA,KOGI,north_central,yes,3.0,0.0,9.0,229.0,2.0,5.0,5.0,,4.0,public,False,1305123509672.jpg,108402,65.0333810366,,False,no,no,9.16,38.1666666666667,9.16,45.8,,False,True,Lgea Primary School Kaduna Ife,education,Kogi,0.0,113,True,False,no,Inf,0.0174672489082969,yes,,kogi_omala,22368ead990ad00c8007b4074641c181,False,10269,North-Central
False,True,1666.86705,True,yes,False,,,,formal,Lgea Primary School,primary,1305109082920.jpg,,,no,7.722557187080383 7.560208439826965 224.0 4.0,False,False,primary,Omala,596,596,596.0,2.18181818181818,False,OMALA,KOGI,north_central,yes,0.0,1.0,11.0,350.0,0.0,11.0,10.0,,0.0,public,False,1305109082920.jpg,108402,65.0333810366,,False,no,no,Inf,58.3333333333333,Inf,31.8181818181818,,True,True,Lgea Primary School,education,Kogi,0.0,113,False,False,no,1,0,no,,kogi_omala,4eda82b2158f994f2d898dd7be8fbfb8,False,9862,North-Central
False,False,1666.86705,True,no,True,,,,formal,Lgea Idrisu,primary,1305024050326.jpg,,,yes,7.963156700134277 7.543632388114929 163.0 4.0,False,False,primary,Omala,596,596,596.0,1.18,False,OMALA,KOGI,north_central,yes,0.0,5.0,9.0,218.0,2.0,5.0,4.0,,0.0,public,False,1305024050326.jpg,108402,65.0333810366,,False,no,no,2.18,31.1428571428571,2.18,43.6,,True,True,Lgea Idrisu,education,Kogi,1.0,113,False,False,yes,Inf,0,no,,kogi_omala,9741753bd4a5ecd89677fe188f43948a,False,12876,North-Central
