breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,apoya,,,"Water Scheme, Source within 100m",,No,8.53613555431366 4.43946897983551 353.0 3.0,True,Asa,63,63,63.0,Electric,No,1305538708506.jpg,water,Kwara,kwara_asa,6311838ba81074b14058132eee03004b,awe orimoro adigbongbo,Tap,,,,
Don't Know,,gbogun,,,Stand Alone Water Point,,No,8.461639881134033 4.319563508033752 374.0 8.0,True,Asa,63,63,63.0,Hand Pump,No,1305384434199.jpg,water,Kwara,kwara_asa,0360567fb7cda9417ab70af6349cc11e,Owode Gbogun,Handpump,,,,
Mechanical Issue,,Laduba,,,Stand Alone Water Point,,No,8.38604986667633 4.569110870361328 373.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305113134059.jpg,water,Kwara,kwara_asa,ec579d1f1babd0d5352a670857e2ef4d,Abayawo Laduba,Handpump,,,,
Functional,,Laduba,,,Stand Alone Water Point,,Yes,8.374301791191101 4.567421078681946 361.0 4.0,False,Asa,63,63,63.0,Manual,No,1305132464478.jpg,water,Kwara,kwara_asa,721e108d0be0e04ea3d1189158dc4244,Laduba,Unimproved Large Diameter Well,,,,
Mechanical Issue,,kondo,,,"Water Scheme, Source within 100m",,No,8.49266767501831 4.38454806804657 397.0 4.0,True,Asa,63,63,63.0,Electric,No,1305302151440.jpg,water,Kwara,kwara_asa,0a5b19182ef7744a85eaf8225a33a012,gambari aiye kale,Tap,,,,
Functional,,onitirin,,,Stand Alone Water Point,,Yes,8.39431643486023 4.382750988006592 367.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305298537353.jpg,water,Kwara,kwara_asa,e3ff331d14c269210ad270ad98fd70b7,otte/ballah,Handpump,,,,
Mechanical Issue,,igbo ede,,,Stand Alone Water Point,,No,8.280011415481567 4.492764472961426 347.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305215186532.jpg,water,Kwara,kwara_asa,cbdefc7570dc726355ff2ef2568f641d,afkon,Handpump,,,,
Mechanical Issue,,bielesin,,,Stand Alone Water Point,,No,8.463361859321594 4.374870657920837 354.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305386094540.jpg,water,Kwara,kwara_asa,44b2b285fa89c4e545097c4124836208,owode gbogun,Handpump,,,,
Functional,,ALAPA,,,Stand Alone Water Point,,Yes,8.629567623138428 4.378877878189087 404.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305556919661.jpg,water,Kwara,kwara_asa,0496d54e49bf30bc553c373a650829e3,ALAPA-ONIRE,Handpump,,,,
Mechanical Issue,,ODO ODE,,,"Water Scheme, Source within 100m",,No,8.284860849380493 4.5320963859558105 402.0 4.0,True,Asa,63,63,63.0,Solar,No,1305034632047.jpg,water,Kwara,kwara_asa,6beafa54dbf1d67e5616bef77b034ae3,ODO ODE ABOTO,Tap,,,,
Dry Well,,Igbo Aran,,,Stand Alone Water Point,,No,8.14138412475586 4.5337700843811035 432.0 3.0,True,Asa,63,63,63.0,Hand Pump,No,1305130384640.jpg,water,Kwara,kwara_asa,8b9464902564b447a3a84a0fb52b7618,Ila oja,Handpump,,,,
Functional,,Afon,,,Stand Alone Water Point,,Yes,8.324246406555176 4.531774520874023 353.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305135216539.jpg,water,Kwara,kwara_asa,c84464b76d5729f145279fc1f2732d7c,Afon,Handpump,,,,
,,Gbago,,,"Water Scheme, Source within 1km",,Don't Know,8.28417420387268 4.492710828781128 350.0 4.0,True,Asa,63,63,63.0,Diesel,No,1305215409469.jpg,water,Kwara,kwara_asa,8d7e282d52168700c27d2252948b414f,Afon,Tap,,,,
Mechanical Issue,,Ogbondoroko,,,"Water Scheme, Source within 100m",,No,8.386961817741394 4.604242444038391 404.0 4.0,True,Asa,63,63,63.0,Solar,No,1305108269910.jpg,water,Kwara,kwara_asa,95caf62c25275f5f11bf7886ac6c2584,Ogbondoroko Reke,Tap,,,,
Mechanical Issue,,Idi-Ibo,,,"Water Scheme, Source within 100m",,No,8.359667658805847 4.39328670501709 370.0 4.0,True,Asa,63,63,63.0,Solar,No,1305363063637.jpg,water,Kwara,kwara_asa,2279456f42659f42f5037b9a8aeb1e8d,Owode Gbogun,Tap,,,,
Mechanical Issue,,ipetu,,,Stand Alone Water Point,,No,8.216115832328796 4.4985634088516235 422.0 4.0,True,Asa,63,63,63.0,Hand Pump,No,1305047556570.jpg,water,Kwara,kwara_asa,1896f1676dd1f35e13724fe4db5f0189,obodo odo ode,Handpump,,,,
Functional,,Temidire Opakusa,,,Stand Alone Water Point,,Yes,8.187716603279114 4.500097632408142 421.0 4.0,True,Asa,63,63,63.0,Other,No,1305132584493.jpg,water,Kwara,kwara_asa,efed0abb9c6e4d6910acff538e80f58b,Aboto Odo Ode,Borehole,,,,
,,EYENKORIN,,,Stand Alone Water Point,,No,8.395110368728638 4.461345076560974 381.0 3.0,True,Asa,63,63,63.0,Other,No,1305192874775.jpg,water,Kwara,kwara_asa,a086ce18a6b8f48e9694642d4da83a27,OTEBALA,Borehole,,,,
Functional,,Temidire,,,"Water Scheme, Source within 1km",,Yes,8.490854501724243 4.340999722480774 384.0 3.0,True,Asa,63,63,63.0,Diesel,No,1305312815668.jpg,water,Kwara,kwara_asa,45ac33294bcf675f757635e1f6cd906d,Efueberikondo,Tap,,,,
