antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,9762.197441,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,True,False,False,,True,model Pry Health Centre,TRUE,wardmodelphccentre,False,True,False,True,1337943911621.jpg,9.632842540740967 3.298349976539612 428.0 3.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Baruten,92,92,92.0,False,True,True,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,6,5,0.0,3.0,3.0,1.0,False,public,,False,1337943911621.jpg,209459,21.4561323171,True,False,False,health,True,TRUE,Kwara,False,True,Others,TRUE,kwara_baruten,False,cc112f24-e5f3-463e-8c16-621fd13e0205,,,cc112f24-e5f3-463e-8c16-621fd13e0205,North-Central
False,9762.197441,False,False,False,True,True,False,False,True,True,False,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Gobo  Dispensary,,healthpostdispensary,False,True,False,True,1338276976929.jpg,8.857094049453735 3.1521373987197876 358.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Baruten,92,92,92.0,False,True,False,False,False,False,False,False,False,False,FALSE,baruten,kwara,north_central,1,1,0.0,0.0,0.0,0.0,False,public,,False,1338276976929.jpg,209459,21.4561323171,True,False,False,health,False,TRUE,Kwara,False,False,Others,FALSE,kwara_baruten,False,100031c9-b87d-4a04-91c8-af83cc7cc3f4,,,100031c9-b87d-4a04-91c8-af83cc7cc3f4,North-Central
False,9762.197441,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,Basic health center gwanara,TRUE,primaryhealthclinic,False,True,False,True,1338368609837.jpg,8.888744115829468 3.136618137359619 401.0 4.0,False,True,FALSE,False,True,False,False,TRUE,True,True,True,False,True,False,False,False,Baruten,92,92,92.0,False,True,False,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,6,5,0.0,1.0,4.0,2.0,False,public,False,True,1338368609837.jpg,209459,21.4561323171,False,False,False,health,True,TRUE,Kwara,False,False,Others,FALSE,kwara_baruten,False,0f6c1dcb-494a-4b5f-9317-4651347e952f,,,0f6c1dcb-494a-4b5f-9317-4651347e952f,North-Central
False,9762.197441,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,local govt clinic,FALSE,primaryhealthclinic,False,True,False,True,1337957160380.jpg,9.470853209495544 3.185085654258728 471.0 4.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,True,False,False,False,Baruten,92,92,92.0,False,True,False,True,False,False,False,False,False,False,FALSE,baruten,kwara,north_central,1,1,0.0,0.0,0.0,1.0,False,public,False,False,1337957160380.jpg,209459,21.4561323171,False,False,False,health,True,TRUE,Kwara,False,True,Others,FALSE,kwara_baruten,False,cb66e931-b6d7-4f32-8330-f4d9f9d006b3,,,cb66e931-b6d7-4f32-8330-f4d9f9d006b3,North-Central
False,9762.197441,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,xxx,FALSE,healthpostdispensary,False,True,False,False,1338215957878.jpg,9.10591721534729 3.1122368574142456 466.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Baruten,92,92,92.0,False,True,False,True,False,False,False,False,False,False,FALSE,baruten,kwara,north_central,2,2,0.0,0.0,0.0,0.0,False,public,,False,1338215957878.jpg,209459,21.4561323171,,False,False,health,False,TRUE,Kwara,False,False,Others,FALSE,kwara_baruten,False,b67e179e-6214-4a84-8dbb-9cf8fe171623,,,b67e179e-6214-4a84-8dbb-9cf8fe171623,North-Central
False,9762.197441,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,Basic Health Center Sinawu,TRUE,primaryhealthclinic,False,True,False,True,1338396558228.jpg,9.033781886100769 3.344408869743347 437.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Baruten,92,92,92.0,False,True,True,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,3,3,0.0,0.0,5.0,2.0,False,public,False,False,1338396558228.jpg,209459,21.4561323171,False,False,False,health,True,TRUE,Kwara,False,True,Others,FALSE,kwara_baruten,False,bd8ee767-87e0-462a-b827-0a26fe0e0845,,,bd8ee767-87e0-462a-b827-0a26fe0e0845,North-Central
False,9762.197441,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,False,True,False,True,False,False,,True,Cottage Hospital Ilesha baruba,TRUE,cottagehospital,False,True,False,True,1338469589763.jpg,8.918098211288452 3.4169626235961914 425.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Baruten,92,92,92.0,False,True,False,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,8,8,1.0,1.0,4.0,4.0,False,public,False,True,1338469589763.jpg,209459,21.4561323171,True,False,False,health,True,TRUE,Kwara,False,False,Others,TRUE,kwara_baruten,False,2f693004-37c0-4b50-b8a4-9c2a811581b5,,,2f693004-37c0-4b50-b8a4-9c2a811581b5,North-Central
False,9762.197441,True,True,True,False,False,False,False,False,False,False,True,False,True,True,TRUE,False,,,True,True,False,True,False,False,,True,General hpspital okuta,TRUE,generalhospital,False,True,False,True,1338464196729.jpg,9.224197268486023 3.1971395015716553 412.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Baruten,92,92,92.0,False,True,True,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,10,9,1.0,2.0,2.0,7.0,False,public,False,True,1338464196729.jpg,209459,21.4561323171,False,False,False,health,True,TRUE,Kwara,False,True,Others,FALSE,kwara_baruten,False,2241b3fa-d3bf-4251-b41d-4e5c4c50d913,,,2241b3fa-d3bf-4251-b41d-4e5c4c50d913,North-Central
False,9762.197441,True,True,True,True,True,False,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,True,False,False,False,True,Kosubosu Basic Health Clinic,TRUE,primaryhealthclinic,False,True,False,True,1338380327708.jpg,9.548889398574829 3.2273250818252563 500.0 4.0,False,False,FALSE,False,True,True,False,TRUE,True,False,True,False,True,True,False,False,Baruten,92,92,92.0,False,True,False,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,15,9,0.0,1.0,2.0,4.0,False,public,,False,1338380327708.jpg,209459,21.4561323171,True,False,False,health,True,TRUE,Kwara,False,True,Others,TRUE,kwara_baruten,False,e450e79c-c5cd-4d87-95c0-d59beea45af3,False,False,e450e79c-c5cd-4d87-95c0-d59beea45af3,North-Central
,9762.197441,False,True,True,,,,,,,,,,,False,FALSE,,,,False,True,,,,,,,Marvellous Clinic Bukuro,TRUE,primaryhealthclinic,,True,,True,1338306707113.jpg,8.865011930465698 2.7736079692840576 317.0 4.0,,,,,,,,TRUE,,,,,,,,,Baruten,92,92,92.0,,True,,True,True,,,,,,,baruten,kwara,north_central,1,1,1.0,0.0,0.0,2.0,,,,,1338306707113.jpg,209459,21.4561323171,,,,health,True,,Kwara,False,True,Others,FALSE,kwara_baruten,,8cf5fe9e-5c9b-4203-b20b-4e99b4c0d580,,,8cf5fe9e-5c9b-4203-b20b-4e99b4c0d580,North-Central
,9762.197441,False,False,True,,,,,,,,,,,False,FALSE,,,,False,True,,True,False,,,,Tiruboye Memorial Clinic Gwasoro,TRUE,primaryhealthclinic,,True,,True,1338118501789.jpg,9.485326409339905 3.5108667612075806 389.0 4.0,,,,,,,,TRUE,True,,,,,,,,Baruten,92,92,92.0,,True,,True,True,,,,,,,baruten,kwara,north_central,0,0,0.0,0.0,2.0,2.0,,,,,1338118501789.jpg,209459,21.4561323171,,,,health,True,,Kwara,False,True,Others,FALSE,kwara_baruten,,f65cf63f-68dd-4e33-8b89-507aa581fbfb,,,f65cf63f-68dd-4e33-8b89-507aa581fbfb,North-Central
False,9762.197441,False,False,False,True,False,False,False,True,True,True,True,False,,False,FALSE,False,,,False,False,False,,,False,,,xxx,FALSE,healthpostdispensary,False,,False,,1338400637111.jpg,9.044199585914612 3.3360296487808228 416.0 4.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Baruten,92,92,92.0,False,True,False,True,False,False,False,False,False,False,FALSE,baruten,kwara,north_central,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1338400637111.jpg,209459,21.4561323171,,False,False,health,False,TRUE,Kwara,,,Others,FALSE,kwara_baruten,False,19fbcee2-875c-433b-af27-54415ac0dc04,,,19fbcee2-875c-433b-af27-54415ac0dc04,North-Central
,9762.197441,False,False,False,,,,,,,,,,True,True,TRUE,,,,False,True,,True,True,,,,xxx,TRUE,primaryhealthcarecentre,,True,,True,1338145311820.jpg,9.224685430526733 3.201715350151062 447.0 4.0,,,,,,,,TRUE,True,,,,,,,,Baruten,92,92,92.0,,True,,True,True,,,,,,,baruten,kwara,north_central,2,2,1.0,1.0,0.0,0.0,,,,,1338145311820.jpg,209459,21.4561323171,,,,health,True,,Kwara,False,True,Others,TRUE,kwara_baruten,,54684c5f-7251-4a51-a6ec-6968138ebc7d,,,54684c5f-7251-4a51-a6ec-6968138ebc7d,North-Central
False,9762.197441,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Health Post,TRUE,healthpostdispensary,False,,False,,1338113085570.jpg,9.361043572425842 3.5184895992279053 368.0 4.0,False,False,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Baruten,92,92,92.0,False,True,True,True,True,False,False,False,False,False,FALSE,baruten,kwara,north_central,1,1,0.0,0.0,0.0,0.0,False,public,,False,1338113085570.jpg,209459,21.4561323171,,False,False,health,False,TRUE,Kwara,,True,Others,FALSE,kwara_baruten,False,d3657eb4-3c51-44af-ae19-088ecc890c24,,,d3657eb4-3c51-44af-ae19-088ecc890c24,North-Central
,9762.197441,False,True,True,,,,,,,,,,,False,FALSE,,,,False,True,,True,False,,,,Alafia Clinic & Materinity Gbabe,TRUE,maternity,,True,,True,1338287415725.jpg,8.733224272727966 2.9141557216644287 354.0 4.0,,,,,,,,TRUE,True,,,,,,,,Baruten,92,92,92.0,,True,,True,True,,,,,,,baruten,kwara,north_central,0,0,0.0,0.0,0.0,3.0,,,,,1338287415725.jpg,209459,21.4561323171,,,,health,True,,Kwara,False,True,Others,FALSE,kwara_baruten,,aa047a47-2f6b-47cc-ba33-54d0dd6b81de,,,aa047a47-2f6b-47cc-ba33-54d0dd6b81de,North-Central
