breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Gbugbu,,,Stand Alone Water Point,1338117007843.jpg,Yes,8.77884903 5.28703835 286.3999938964844 5.0,False,Edu,172,172,172.0,,No,1338117007843.jpg,water,Kwara,kwara_edu,8cc1fce8-9de4-4821-b3b3-a737980bc820,3,Unimproved Well,water_source,unprotected_dug_well,8cc1fce8-9de4-4821-b3b3-a737980bc820,North-Central
Functional,,Zambufu,,,Stand Alone Water Point,1338019946501.jpg,Yes,8.783789277076721 5.1755958795547485 206.0 4.0,True,Edu,172,172,172.0,,No,1338019946501.jpg,water,Kwara,kwara_edu,c3a5435f-0ba7-4392-a471-125f486b98c2,3,Borehole,water_source,borehole_tube_well,c3a5435f-0ba7-4392-a471-125f486b98c2,North-Central
Functional,,Kusoniguba,,,Stand Alone Water Point,1338108855377.jpg,Yes,8.740246295928955 5.436049103736877 162.0 4.0,True,Edu,172,172,172.0,,No,1338108855377.jpg,water,Kwara,kwara_edu,7c3d8c52-5382-4d49-9d35-a5b9479dfdf8,2,Borehole,water_source,borehole_tube_well,7c3d8c52-5382-4d49-9d35-a5b9479dfdf8,North-Central
Functional,,KUSONIGUBA,,,Stand Alone Water Point,1338109171799.jpg,Yes,8.73986065 5.4361891 164.5 5.0,False,Edu,172,172,172.0,,No,1338109171799.jpg,water,Kwara,kwara_edu,a3cf3876-6126-483c-81a9-e3034730c86c,2,Unimproved Well,water_source,protected_dug_well,a3cf3876-6126-483c-81a9-e3034730c86c,North-Central
Functional,,TAKO GABI,,,Stand Alone Water Point,1337937677037.jpg,Yes,8.86018327 5.42366959 106.9000015258789 5.0,False,Edu,172,172,172.0,Manual,No,1337937677037.jpg,water,Kwara,kwara_edu,fa793de9-612e-4c3b-901b-4ef5990cebdd,LAFIAGI 1,Unimproved Well,water_source,unprotected_dug_well,fa793de9-612e-4c3b-901b-4ef5990cebdd,North-Central
Dry Well,,Lataworo,,,Stand Alone Water Point,1338110350049.jpg,No,8.753512501716614 5.404956936836243 163.0 4.0,False,Edu,172,172,172.0,,No,1338110350049.jpg,water,Kwara,kwara_edu,ab701296-0d96-4832-999b-f508fc84153c,2,Unimproved Well,water_source,unprotected_dug_well,ab701296-0d96-4832-999b-f508fc84153c,North-Central
Dry Well,,Lafiagi,,,Stand Alone Water Point,1337960900664.jpg,No,8.852797150611877 5.417933464050293 127.0 3.0,True,Edu,172,172,172.0,Wind,No,1337960900664.jpg,water,Kwara,kwara_edu,147821a8-6878-4d96-aeb1-3df03540cfc6,2,Borehole,water_source,borehole_tube_well,147821a8-6878-4d96-aeb1-3df03540cfc6,North-Central
Poor Water Quality,,PATIDATI,,,Stand Alone Water Point,1338286468306.jpg,No,8.8715058 4.93950219 379.1000061035156 5.0,True,Edu,172,172,172.0,Hand Pump,No,1338286468306.jpg,water,Kwara,kwara_edu,614087b8-9741-46b3-89d2-da4a0104bf56,YUSUF.R.OMOTOWO,Borehole,water_source,borehole_tube_well,614087b8-9741-46b3-89d2-da4a0104bf56,North-Central
Functional,,Gede,,,Stand Alone Water Point,1338023854101.jpg,Yes,8.772625923156738 5.2020263671875 283.0 4.0,False,Edu,172,172,172.0,,No,1338023854101.jpg,water,Kwara,kwara_edu,24a90bc9-d7d9-4a4a-8a7f-2e700bff0052,3,Unimproved Well,water_source,unprotected_dug_well,24a90bc9-d7d9-4a4a-8a7f-2e700bff0052,North-Central
Functional,,malulu,,,Stand Alone Water Point,1292445576275.jpg,Yes,8.916258215904236 5.028889775276184 256.0 4.0,True,Edu,172,172,172.0,Hand Pump,No,1292445576275.jpg,water,Kwara,kwara_edu,43ca41a0-5a60-4941-ba84-5fe8412505e1,tsaragi ward 3,Borehole,water_source,borehole_tube_well,43ca41a0-5a60-4941-ba84-5fe8412505e1,North-Central
Mechanical Issue,,Bacita,,,"Water Scheme, Source within 100m",1338114410192.jpg,No,9.07393991947174 4.957183599472046 116.0 4.0,True,Edu,172,172,172.0,Tap (unknown lift),No,1338114410192.jpg,water,Kwara,kwara_edu,16ad5481-9c6c-4d81-8c66-9b290aade53e,Tsaragi ward,Tap,outlet,,16ad5481-9c6c-4d81-8c66-9b290aade53e,North-Central
