breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,tap,Safejo,0.000428819228131,0.0475841941457,Stand Alone Water Point,1338979117601.jpg,Yes,6.46923966 3.33293342 25.0 5.0,True,Ajeromi-Ifelodun,27,27,694.0,Diesel,Yes,1338979117601.jpg,water,Lagos,lagos_ajeromi_ifelodun,b2e2a9ad-4c51-44be-a07f-9d9e0170d0a5,Ifelodun Ward G,Tap,water_source,borehole_tube_well,b2e2a9ad-4c51-44be-a07f-9d9e0170d0a5,Southwest
Functional,one_thousand_overhead,Amukoko,3.00132038261e-05,0.0033304420177,"Water Scheme, Source within 100m",1338680451595.jpg,Yes,6.46691789 3.34802144 33.099998474121094 5.0,True,Ajeromi-Ifelodun,27,27,57.0,Tap (unknown lift),Yes,1338680451595.jpg,water,Lagos,lagos_ajeromi_ifelodun,66490b28-1cda-420f-8d65-45818bbe13cc,Ifelodun WARD E,"Overhead Tank (1,000)",outlet,,66490b28-1cda-420f-8d65-45818bbe13cc,Southwest
Functional,one_thousand_overhead,Alaba Oro,0.000739089961581,0.0820139534295,Stand Alone Water Point,1338808529837.jpg,Yes,6.46450178 3.32564056 32.20000076293945 5.0,True,Ajeromi-Ifelodun,27,27,694.0,Diesel,Yes,1338808529837.jpg,water,Lagos,lagos_ajeromi_ifelodun,7adcf44a-92c9-4f42-9bd9-0c8703bb2381,Ifelodun Ward C,"Overhead Tank (1,000)",water_source,borehole_tube_well,7adcf44a-92c9-4f42-9bd9-0c8703bb2381,Southwest
Functional,one_thousand_overhead,Idoluwo ile,0.212558048774,23.5852855389,"Water Scheme, Source within 100m",1338817171211.jpg,Yes,6.45210588 3.10395715 35.79999923706055 5.0,True,Ajeromi-Ifelodun,27,27,581.0,Tap (unknown lift),No,1338817171211.jpg,water,Lagos,lagos_ajeromi_ifelodun,924d1290-bcdf-4c9b-8465-fd69ae9d9717,J,"Overhead Tank (1,000)",outlet,,924d1290-bcdf-4c9b-8465-fd69ae9d9717,Southwest
Poorly Constructed,one_thousand_overhead,Ayetoro,0.000136078711877,0.0151001625926,"Water Scheme, Source within 1km",1338467105374.jpg,No,6.46239346 3.35232862 36.20000076293945 5.0,True,Ajeromi-Ifelodun,27,27,57.0,Tap (unknown lift),No,1338467105374.jpg,water,Lagos,lagos_ajeromi_ifelodun,f364eea7-ada7-410e-8698-9c2c3f61570b,Ajeromi Ward A,"Overhead Tank (1,000)",outlet,,f364eea7-ada7-410e-8698-9c2c3f61570b,Southwest
Functional,one_thousand_overhead,ALABA SURU,0.000578359263457,0.0641783911568,"Water Scheme, Source within 100m",1338858330682.jpg,Yes,6.46295009 3.32370886 37.599998474121094 5.0,True,Ajeromi-Ifelodun,27,27,694.0,Tap (unknown lift),Yes,1338858330682.jpg,water,Lagos,lagos_ajeromi_ifelodun,b11453a0-35a5-44fa-91d0-b33c1c9ba2b1,Ifelodun Ward C,"Overhead Tank (1,000)",outlet,,b11453a0-35a5-44fa-91d0-b33c1c9ba2b1,Southwest
Functional,one_thousand_overhead,Okeoja,0.00396879867968,0.440398729993,"Water Scheme, Source within 100m",1339070350921.jpg,Yes,6.4714523 3.34998091 26.5 5.0,True,Ajeromi-Ifelodun,27,27,57.0,Tap (unknown lift),No,1339070350921.jpg,water,Lagos,lagos_ajeromi_ifelodun,22166915-a7c0-4f44-ae25-bb6a6af74402,Ifelodun Ward E,"Overhead Tank (1,000)",outlet,,22166915-a7c0-4f44-ae25-bb6a6af74402,Southwest
Functional,one_thousand_overhead,Oke Oja,0.00132843134264,0.147410061123,Stand Alone Water Point,1339150364332.jpg,Yes,6.46998804 3.34777572 34.20000076293945 5.0,True,Ajeromi-Ifelodun,27,27,57.0,Diesel,No,1339150364332.jpg,water,Lagos,lagos_ajeromi_ifelodun,ef40884b-8b1c-4a8f-9ac5-9b6d27a5cb03,Ifelodun Ward E,"Overhead Tank (1,000)",water_source,borehole_tube_well,ef40884b-8b1c-4a8f-9ac5-9b6d27a5cb03,Southwest
Functional,ten_thousand_overhead,Oridilu,0.00213514974355,0.236929226585,"Water Scheme, Source within 1km",1338557603302.jpg,Yes,6.46434911 3.35153816 34.099998474121094 5.0,True,Ajeromi-Ifelodun,27,27,57.0,Tap (unknown lift),No,1338557603302.jpg,water,Lagos,lagos_ajeromi_ifelodun,814df4c5-6501-4c02-a62a-19c43aa24a0b,Ifelodun ward D,"Overhead Tank (10,000)",outlet,,814df4c5-6501-4c02-a62a-19c43aa24a0b,Southwest
Mechanical Issue,one_thousand_overhead,Alaba Oro,0.000782402815748,0.0868202782902,Stand Alone Water Point,1338809087687.jpg,No,6.46372426 3.32445699 52.79999923706055 5.0,True,Ajeromi-Ifelodun,27,27,694.0,,No,1338809087687.jpg,water,Lagos,lagos_ajeromi_ifelodun,93097f72-67dc-472e-a1c8-aa660f9bfd78,Ifelodun Ward C,"Overhead Tank (1,000)",water_source,borehole_tube_well,93097f72-67dc-472e-a1c8-aa660f9bfd78,Southwest
