breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Oladire,,,"Water Scheme, Source within 100m",1342053410210.jpg,Yes,6.65808056 3.33240608 67.0999984741211 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),No,1342053410210.jpg,water,Lagos,lagos_ifako_ijaye,7983780e-8fa1-43eb-95c0-055ed4781df5,D,Tap,outlet,,7983780e-8fa1-43eb-95c0-055ed4781df5,Southwest
Functional,,IJU ISHAGA,,,"Water Scheme, Source within 100m",1342185331611.jpg,Yes,6.66635462 3.32243771 82.30000305175781 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),No,1342185331611.jpg,water,Lagos,lagos_ifako_ijaye,de936c19-8fea-4667-aa92-7d35bd29029c,E,Tap,outlet,,de936c19-8fea-4667-aa92-7d35bd29029c,Southwest
Functional,,OBAWOLE,,,"Water Scheme, Source within 100m",1341999564531.jpg,Yes,6.65776914 3.33256922 56.099998474121094 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),Yes,1341999564531.jpg,water,Lagos,lagos_ifako_ijaye,2be82b07-c3b2-4a0e-be4e-712cc05b8d6e,D,Tap,outlet,,2be82b07-c3b2-4a0e-be4e-712cc05b8d6e,Southwest
Functional,,Ifako,,,Stand Alone Water Point,1342011329654.jpg,Yes,6.63694829 3.34151169 71.9000015258789 5.0,True,Ifako-Ijaye,300,300,300.0,,Yes,1342011329654.jpg,water,Lagos,lagos_ifako_ijaye,905b3e13-9c94-474d-a6ee-c06e62e58a05,A,Borehole,water_source,borehole_tube_well,905b3e13-9c94-474d-a6ee-c06e62e58a05,Southwest
Mechanical Issue,,Okeira,,,"Water Scheme, Source within 100m",1341999514147.jpg,No,6.63968703 3.34331156 59.599998474121094 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),Yes,1341999514147.jpg,water,Lagos,lagos_ifako_ijaye,71ecd57a-827d-4ae6-9632-98d8e5be74f6,Ogba Okeira,Tap,outlet,,71ecd57a-827d-4ae6-9632-98d8e5be74f6,Southwest
Functional,,OBAWOLE,,,"Water Scheme, Source within 100m",1341999382826.jpg,Yes,6.65561389 3.33307359 65.5 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),Yes,1341999382826.jpg,water,Lagos,lagos_ifako_ijaye,7b6917af-bea6-4e5c-9ee8-f32ad8c6f533,D,Tap,outlet,,7b6917af-bea6-4e5c-9ee8-f32ad8c6f533,Southwest
Don't Know,,Bola Ahmed Tinibu Way,,,"Water Scheme, Source within 100m",1342173121187.jpg,No,6.66144763 3.3256954 61.5 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),No,1342173121187.jpg,water,Lagos,lagos_ifako_ijaye,d705be0d-bbc7-4388-ace8-e723319d0736,D,Tap,outlet,,d705be0d-bbc7-4388-ace8-e723319d0736,Southwest
Mechanical Issue,,Ifako,,,Stand Alone Water Point,1341998921240.jpg,No,6.64700071 3.34179092 37.900001525878906 5.0,False,Ifako-Ijaye,300,300,300.0,,No,1341998921240.jpg,water,Lagos,lagos_ifako_ijaye,de1ce601-33f9-4a6a-a89c-fe9fb445e28b,Ijaye Okeira,Unimproved Well,water_source,unprotected_dug_well,de1ce601-33f9-4a6a-a89c-fe9fb445e28b,Southwest
Mechanical Issue,,Ifoko,,,"Water Scheme, Source within 100m",1342092716616.jpg,No,6.63585146 3.33072191 81.69999694824219 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),No,1342092716616.jpg,water,Lagos,lagos_ifako_ijaye,6d2793b1-7383-4334-afa2-8554494e0b9a,Ifako,Tap,outlet,,6d2793b1-7383-4334-afa2-8554494e0b9a,Southwest
Functional,,Agbado Ojokoro,,,"Water Scheme, Source within 100m",1342009016201.jpg,Yes,6.67252994 3.28989372 93.9000015258789 5.0,True,Ifako-Ijaye,300,300,300.0,Tap (unknown lift),No,1342009016201.jpg,water,Lagos,lagos_ifako_ijaye,67841f9f-3406-49ee-8493-3dc4e599706d,I,Tap,outlet,,67841f9f-3406-49ee-8493-3dc4e599706d,Southwest
