antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,46.22704785,True,True,True,False,False,True,False,False,False,True,False,False,True,True,yes,True,,,,False,True,False,False,True,False,False,The Duke Medical,yes,primaryhealthcarecentre,True,True,True,True,1307543401715.jpg,6.597960591316223 3.3550626039505005 60.0 4.0,True,True,yes,False,True,True,True,yes,True,True,True,True,True,True,True,True,Ikeja,326,326,326.0,True,True,True,True,True,True,False,True,True,True,,IKEJA,lagos,southwest,0,0,3.0,2.0,4.0,0.0,True,private,True,True,1307543401715.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,True,True,113,yes,lagos_ikeja,True,e1d9d3fee1c8711ad400e185321372a8,True,True,23435,Southwest
True,46.22704785,True,True,True,True,True,True,True,True,True,True,True,False,True,True,yes,True,,,True,True,True,True,True,True,True,False,Deseret Internation Hospt. LTD.,yes,specialisthospital,False,True,True,True,1307709634919.jpg,6.5745556354522705 3.3552342653274536 62.0 8.0,False,True,no,,True,True,True,yes,True,True,True,True,True,True,False,True,Ikeja,326,326,326.0,True,True,True,True,True,True,True,True,True,True,yes,IKEJA,lagos,southwest,1,1,10.0,1.0,10.0,3.0,True,private,True,True,1307709634919.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,False,True,113,no,lagos_ikeja,True,118e871c7dda36211ed6698375f03252,True,True,25447,Southwest
False,46.22704785,False,True,True,False,False,False,,False,False,False,False,False,,,no,,,,True,True,,,,True,False,False,Mainland. Maternity onigbongbon,yes,maternity,False,False,False,False,1307960441072.jpg,6.569502353668213 3.363538384437561 49.0 6.0,False,True,no,False,True,True,True,yes,,,False,False,False,False,False,False,Ikeja,326,326,326.0,False,,,False,False,True,False,True,True,False,yes,IKEJA,lagos,southwest,0,0,0.0,0.0,0.0,2.0,True,private,False,True,1307960441072.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,False,,113,no,lagos_ikeja,False,482dbd8bf3fce05188d983b20866deb7,,False,29723,Southwest
False,46.22704785,False,False,False,False,False,True,True,False,False,False,True,True,,,no,True,,,,False,,,,True,True,False,Wasinmi Health Clinic,no,primaryhealthclinic,False,True,False,True,1307469313880.jpg,6.578654050827026 3.3685755729675293 22.0 4.0,False,False,no,,True,True,False,no,,,False,False,False,False,False,False,Ikeja,326,326,326.0,False,True,True,False,False,True,False,True,False,False,,IKEJA,lagos,southwest,1,1,0.0,0.0,0.0,1.0,True,public,False,False,1307469313880.jpg,313196,6775.16766842,False,False,True,health,False,yes,Lagos,False,False,113,no,lagos_ikeja,False,0f53f7965ceeac2a2f71bb3bec5087f3,,False,22982,Southwest
False,46.22704785,True,True,True,False,False,False,False,False,False,False,False,False,,,no,True,,,,False,True,True,False,True,False,False,St Ives Specialist Hospital,yes,specialisthospital,True,True,True,True,1308074779806.jpg,6.590439677238464 3.3627068996429443 49.0 4.0,True,True,no,,True,True,True,yes,True,True,False,True,True,True,False,True,Ikeja,326,326,326.0,False,True,True,True,True,True,True,True,False,True,yes,IKEJA,lagos,southwest,0,0,5.0,1.0,0.0,14.0,True,private,True,True,1308074779806.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,False,True,113,no,lagos_ikeja,True,40a6a0116db6c19ab007d37c20558fc8,True,False,29245,Southwest
False,46.22704785,True,True,True,True,True,True,True,True,True,True,True,True,True,True,yes,True,,,,False,True,True,True,True,True,False,Durosoleye Specialist Hospital,yes,specialisthospital,True,True,True,True,1307988801151.jpg,6.599553823471069 3.353126049041748 65.0 4.0,True,True,no,,True,True,True,yes,True,True,True,True,True,True,True,True,Ikeja,326,326,326.0,True,True,True,True,True,True,True,True,True,True,yes,IKEJA,lagos,southwest,0,0,8.0,0.0,6.0,12.0,True,private,True,True,1307988801151.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,False,True,113,yes,lagos_ikeja,True,348525d76ac57f665b2fc25958a144dc,True,True,28309,Southwest
False,46.22704785,True,True,True,True,True,True,True,True,True,True,True,True,False,False,yes,True,,,False,True,False,False,False,True,True,False,FINNIH MEDICAL CENTER,yes,specialisthospital,False,True,True,True,1307703511732.jpg,6.571969985961914 3.3519726991653442 59.0 6.0,True,True,yes,False,True,True,True,yes,False,True,True,True,True,True,False,True,Ikeja,326,326,326.0,True,True,True,True,True,True,True,True,True,True,yes,IKEJA,lagos,southwest,0,0,12.0,2.0,9.0,0.0,True,private,True,True,1307703511732.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,True,True,113,no,lagos_ikeja,True,401f455d5b32a01824009db51958b49b,,True,25446,Southwest
False,46.22704785,True,True,True,True,False,True,True,True,True,True,True,True,,,no,True,,,True,True,False,False,True,True,True,False,Onigbongbo PHC,yes,primaryhealthcarecentre,False,True,False,True,1307543417626.jpg,6.570730805397034 3.3646541833877563 46.0 4.0,True,True,yes,False,True,True,True,yes,True,True,False,True,True,True,False,True,Ikeja,326,326,326.0,True,True,True,True,,True,True,True,True,True,,IKEJA,lagos,southwest,3,1,2.0,0.0,1.0,0.0,True,public,False,True,1307543417626.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,False,True,113,yes,lagos_ikeja,True,60e49a235090d3b3a3c32e8f2e891585,,True,29678,Southwest
False,46.22704785,False,False,True,False,False,False,False,False,False,False,False,False,,,no,,,,False,True,,,,True,True,False,Sylvan convalescent,yes,primaryhealthclinic,False,False,False,False,1307523130785.jpg,6.603083610534668 3.3621275424957275 36.0 4.0,False,True,no,,True,True,True,no,,True,False,False,False,False,False,False,Ikeja,326,326,326.0,False,True,True,False,False,True,True,True,True,True,yes,IKEJA,lagos,southwest,2,2,2.0,0.0,0.0,2.0,True,private,True,True,1307523130785.jpg,313196,6775.16766842,True,True,True,health,True,yes,Lagos,False,False,113,no,lagos_ikeja,False,43d8820cb65fcffa055304e107537681,,False,23824,Southwest
False,46.22704785,False,False,True,False,False,False,,False,False,False,False,False,,,no,,,,False,True,,,,True,True,,Benjo Dental Clinic,yes,dentalclinic,False,False,False,False,1307964149727.jpg,6.57032310962677 3.3520424365997314 44.0 4.0,False,True,no,False,True,True,True,no,,,False,False,False,False,False,False,Ikeja,326,326,326.0,False,,,False,False,False,False,False,False,False,yes,IKEJA,lagos,southwest,0,0,2.0,0.0,0.0,0.0,False,private,False,True,1307964149727.jpg,313196,6775.16766842,True,True,,health,True,yes,Lagos,False,False,113,no,lagos_ikeja,False,7735b8a0baa1be0418be4ff7068dc8ea,,False,29741,Southwest
