breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Faji,,,"Water Scheme, Source within 1km",1341928168641.jpg,No,6.45486048 3.39090858 21.700000762939453 5.0,True,Lagos Island,460,460,460.0,Tap (unknown lift),Yes,1341928168641.jpg,water,Lagos,lagos_lagos_island,3b103384-266a-49f1-bc2d-fd8d0192864e,D1,Tap,outlet,,3b103384-266a-49f1-bc2d-fd8d0192864e,Southwest
Mechanical Issue,,Luther,,,"Water Scheme, Source within 100m",1342003714031.jpg,No,6.45417249 3.39122041 56.70000076293945 5.0,True,Lagos Island,460,460,460.0,Tap (unknown lift),Yes,1342003714031.jpg,water,Lagos,lagos_lagos_island,5a5c944a-f4f1-4962-8c47-3a9f9965c7af,D1,Tap,outlet,,5a5c944a-f4f1-4962-8c47-3a9f9965c7af,Southwest
Mechanical Issue,,ITAPASI,,,Stand Alone Water Point,1342427175214.jpg,No,6.45634204 3.38981095 33.900001525878906 5.0,True,Lagos Island,460,460,460.0,Electric,No,1342427175214.jpg,water,Lagos,lagos_lagos_island,7706ffc9-edf0-4728-89c1-45ca07ec6a29,B3,Borehole,water_source,borehole_tube_well,7706ffc9-edf0-4728-89c1-45ca07ec6a29,Southwest
Poorly Constructed,,Lafiaji,,,"Water Scheme, Source within 100m",1342528632568.jpg,No,6.45069218 3.40312768 25.200000762939453 5.0,True,Lagos Island,460,460,460.0,Tap (unknown lift),No,1342528632568.jpg,water,Lagos,lagos_lagos_island,70d17cb5-d299-47f9-8913-b73ef0840604,F2,Tap,outlet,,70d17cb5-d299-47f9-8913-b73ef0840604,Southwest
Functional,,OBADINO,,,Stand Alone Water Point,1342436069160.jpg,Yes,6.45534284 3.38943626 39.5 5.0,True,Lagos Island,460,460,460.0,Electric,No,1342436069160.jpg,water,Lagos,lagos_lagos_island,a99958ab-3840-4a5a-8aad-280184f11541,B1,Borehole,water_source,borehole_tube_well,a99958ab-3840-4a5a-8aad-280184f11541,Southwest
Functional,,A.O.D.A,,,"Water Scheme, Source further than 1km",1342182997287.jpg,Yes,6.45496914 3.39463514 56.5 5.0,True,Lagos Island,460,460,460.0,Tap (unknown lift),No,1342182997287.jpg,water,Lagos,lagos_lagos_island,f9db51f6-5688-49c4-8cd9-f2429262022d,E2,Tap,outlet,,f9db51f6-5688-49c4-8cd9-f2429262022d,Southwest
Poor Water Quality,,ELEGATA,,,"Water Scheme, Source within 100m",1341924270521.jpg,No,6.45953533 3.38150541 36.70000076293945 5.0,True,Lagos Island,460,460,460.0,Tap (unknown lift),No,1341924270521.jpg,water,Lagos,lagos_lagos_island,a6f18d45-718e-441d-9a53-67bb3d3eabab,A1,Tap,outlet,,a6f18d45-718e-441d-9a53-67bb3d3eabab,Southwest
Functional,,Isale-eko,,,Stand Alone Water Point,1342090945099.jpg,Yes,6.462439298629761 3.3913153409957886 53.0 8.0,True,Lagos Island,460,460,460.0,,Yes,1342090945099.jpg,water,Lagos,lagos_lagos_island,b2b0e5ea-3f0d-45e9-b630-f2c01fb4c352,B1,Borehole,water_source,borehole_tube_well,b2b0e5ea-3f0d-45e9-b630-f2c01fb4c352,Southwest
Functional,,ISALEGOGO,,,Stand Alone Water Point,1342437892387.jpg,Yes,6.4564317 3.39093394 34.20000076293945 5.0,True,Lagos Island,460,460,460.0,,No,1342437892387.jpg,water,Lagos,lagos_lagos_island,2772f69b-9008-4a8f-9954-775f6777bc81,C3,Borehole,water_source,borehole_tube_well,2772f69b-9008-4a8f-9954-775f6777bc81,Southwest
Mechanical Issue,,ISALE EKO,,,"Water Scheme, Source further than 1km",1342086656060.jpg,No,6.46283612 3.38873183 41.70000076293945 5.0,True,Lagos Island,460,460,460.0,Tap (unknown lift),No,1342086656060.jpg,water,Lagos,lagos_lagos_island,b80abc15-4168-4d74-ab68-9e251cd30aab,B1,Tap,outlet,,b80abc15-4168-4d74-ab68-9e251cd30aab,Southwest
Functional,,Isale-eko,,,Stand Alone Water Point,1342438226087.jpg,Yes,6.462149620056152 3.390510678291321 31.0 4.0,True,Lagos Island,460,460,460.0,,No,1342438226087.jpg,water,Lagos,lagos_lagos_island,dddbcbbc-c6c2-474f-809f-d5316e713042,C1,Borehole,water_source,borehole_tube_well,dddbcbbc-c6c2-474f-809f-d5316e713042,Southwest
