access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,954.7240145,False,TRUE,False,,,,formal_educ,UBE Primary School Kujayi,primary_only,1347278005025.jpg,,False,,9.37293954 7.12500123 527.9000244140625 5.0,False,False,primary_only,Gurara,261,261,261.0,0.87962962962963,True,gurara,niger,north_central,FALSE,4.0,0.0,4.0,203.0,2.0,4.0,,1.0,247.0,public,False,1347278005025.jpg,90974,95.2882703465,,False,FALSE,FALSE,Inf,50.75,Inf,50.75,,False,True,UBE Primary School Kujayi,education,Niger,0.0,Others,True,False,FALSE,Inf,1.21674876847291,FALSE,,niger_gurara,6d7d72be-4f43-43f9-85e5-4d2dfe171d71,False,6d7d72be-4f43-43f9-85e5-4d2dfe171d71,North-Central
False,True,954.7240145,False,TRUE,False,,,,formal_educ,Saifudeen primary sch,primary_and_junior_sec,1347011345556.jpg,,False,,9.269617795944214 6.995624899864197 317.0 4.0,False,False,primary_and_junior_sec,Gurara,261,261,261.0,1.63636363636364,False,gurara,niger,north_central,TRUE,10.0,10.0,12.0,29.0,4.0,7.0,,4.0,50.0,private,True,1347011345556.jpg,90974,95.2882703465,,False,TRUE,TRUE,2.9,2.41666666666667,3.625,4.14285714285714,,False,False,Saifudeen primary sch,education,Niger,0.0,Others,False,False,TRUE,Inf,1.72413793103448,TRUE,,niger_gurara,ab51b5b8-9065-457b-89f7-edac4b89aef9,False,ab51b5b8-9065-457b-89f7-edac4b89aef9,North-Central
False,False,954.7240145,True,FALSE,False,,,,formal_educ,UBE Primary School,primary_only,1347193227776.jpg,,False,,9.4028669 7.15514189 563.7000122070313 5.0,False,False,primary_only,Gurara,261,261,261.0,0.73469387755102,True,gurara,niger,north_central,FALSE,,2.0,3.0,85.0,0.0,2.0,,2.0,104.0,public,False,1347193227776.jpg,90974,95.2882703465,,False,FALSE,TRUE,85,28.3333333333333,8.5,42.5,,False,True,UBE Primary School,education,Niger,0.0,Others,True,False,FALSE,Inf,1.22352941176471,FALSE,,niger_gurara,71a08990-0419-4d0a-89c9-3ae879eafb2d,False,71a08990-0419-4d0a-89c9-3ae879eafb2d,North-Central
False,True,954.7240145,True,FALSE,False,0.0261716998139,2.89453121081,,formal_educ,Govt day sec sch lzom,junior_and_senior_sec,1347177157016.jpg,True,False,FALSE,9.242849349975586 7.005591988563538 295.0 3.0,False,False,junior_and_senior_sec,Gurara,261,261,266.0,2.25,False,gurara,niger,north_central,TRUE,,,12.0,260.0,3.0,15.0,,8.0,4.0,public,True,1347177157016.jpg,90974,95.2882703465,,False,FALSE,FALSE,2.08,21.6666666666667,2.03125,17.3333333333333,130,False,True,Govt day sec sch lzom,education,Niger,0.0,Others,True,False,TRUE,Inf,0.0153846153846154,FALSE,,niger_gurara,d601351b-a6e8-46a1-9d4d-074c75343029,False,d601351b-a6e8-46a1-9d4d-074c75343029,North-Central
False,True,954.7240145,False,TRUE,False,0.0260949049238,2.88603767436,,formal_educ,Central primary school izom,primary_only,1347176934803.jpg,,False,FALSE,9.242924451828003 7.005913853645325 297.0 4.0,False,False,primary_only,Gurara,261,261,266.0,0.110743801652893,True,gurara,niger,north_central,TRUE,10.0,14.0,21.0,672.0,6.0,45.0,,25.0,1109.0,public,True,1347176934803.jpg,90974,95.2882703465,,False,FALSE,FALSE,1.76842105263158,32,67.2,14.9333333333333,168,False,False,Central primary school izom,education,Niger,20.0,Others,False,False,FALSE,Inf,1.65029761904762,FALSE,,niger_gurara,565431e6-f3b4-4eb0-9845-21bc6933f7af,False,565431e6-f3b4-4eb0-9845-21bc6933f7af,North-Central
False,False,954.7240145,False,FALSE,False,,,,formal_educ,LEA Primary School Gufana,primary_only,1347107760327.jpg,,False,,9.38298093 7.20997948 575.7000122070313 5.0,False,False,primary_only,Gurara,261,261,261.0,1.04838709677419,True,gurara,niger,north_central,FALSE,,,6.0,127.0,0.0,5.0,,4.0,130.0,public,False,1347107760327.jpg,90974,95.2882703465,,False,FALSE,TRUE,Inf,21.1666666666667,8.46666666666667,25.4,,False,True,LEA Primary School Gufana,education,Niger,0.0,Others,True,False,FALSE,Inf,1.02362204724409,FALSE,,niger_gurara,55c3b3ca-f1e0-444b-9d4c-bc94cc5ed921,False,55c3b3ca-f1e0-444b-9d4c-bc94cc5ed921,North-Central
False,False,954.7240145,True,FALSE,False,0.010599054178,1.17220456514,,formal_educ,Diko Central Primary School,primary_only,1347034262123.jpg,,True,FALSE,9.26477129 7.20332853 582.9000244140625 7.0,False,False,primary_only,Gurara,261,261,689.0,0.728125,True,gurara,niger,north_central,FALSE,3.0,,13.0,553.0,25.0,34.0,,28.0,980.0,public,True,1347034262123.jpg,90974,95.2882703465,,False,FALSE,FALSE,34.5625,42.5384615384615,3.07222222222222,16.2647058823529,276.5,False,True,Diko Central Primary School,education,Niger,30.0,Others,True,False,TRUE,Inf,1.77215189873418,FALSE,,niger_gurara,9ae15c95-1e0a-4237-a9d5-f6154bf7c8d4,False,9ae15c95-1e0a-4237-a9d5-f6154bf7c8d4,North-Central
False,False,954.7240145,False,FALSE,False,0.0220378513586,2.43734280999,,formal_educ,Kpau infant izom,preprimary_only,1347185524389.jpg,,False,FALSE,9.242570400238037 7.013579607009888 273.0 4.0,False,False,preprimary_only,Gurara,261,261,266.0,0.591549295774648,False,gurara,niger,north_central,FALSE,0.0,0.0,2.0,113.0,1.0,4.0,,3.0,0.0,public,False,1347185524389.jpg,90974,95.2882703465,,False,FALSE,FALSE,Inf,56.5,Inf,28.25,Inf,False,False,Kpau infant izom,education,Niger,0.0,Others,False,False,FALSE,Inf,0,FALSE,,niger_gurara,39a7a64e-218e-400e-8cb8-0472a8afbdbb,False,39a7a64e-218e-400e-8cb8-0472a8afbdbb,North-Central
False,True,954.7240145,False,FALSE,True,0.00553975626201,0.612671223372,,formal_educ,Arabic sec.sch Diko,primary_junior_and_senior_sec,1347032333770.jpg,True,False,FALSE,9.26569349 7.21656124 551.0 5.0,False,False,primary_junior_and_senior_sec,Gurara,261,261,689.0,0,False,gurara,niger,north_central,TRUE,3.0,0.0,9.0,580.0,0.0,15.0,,10.0,1853.0,public,False,1347032333770.jpg,90974,95.2882703465,,False,FALSE,FALSE,2.9,64.4444444444444,2.9,38.6666666666667,116,False,False,Arabic sec.sch Diko,education,Niger,0.0,Others,True,False,TRUE,Inf,3.1948275862069,FALSE,,niger_gurara,33d69f2b-3320-4650-8d71-7b0accaaa386,True,33d69f2b-3320-4650-8d71-7b0accaaa386,North-Central
False,False,954.7240145,False,FALSE,False,,,,formal_educ,Boyi  primary School,primary_only,1347019678799.jpg,,False,,9.30853114 7.23424986 554.2000122070313 7.0,False,False,primary_only,Gurara,261,261,261.0,0.931596091205212,True,gurara,niger,north_central,TRUE,1.0,,8.0,593.0,0.0,20.0,,11.0,2009.0,public,False,1347019678799.jpg,90974,95.2882703465,,False,FALSE,FALSE,Inf,74.125,5.93,29.65,,False,False,Boyi  primary School,education,Niger,0.0,Others,True,True,FALSE,20,3.38785834738617,FALSE,,niger_gurara,b81d8d7a-27ec-4ed9-a618-7c135c2fa87c,False,b81d8d7a-27ec-4ed9-a618-7c135c2fa87c,North-Central
