breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Dry Well,,Unguwan Yarbawa,,,Stand Alone Water Point,1338117716982.jpg,No,10.40526348 5.46609375 356.20001220703125 5.0,False,Kontagora,440,440,440.0,,No,1338117716982.jpg,water,Niger,niger_kontagora,4d3c4dba-4722-4fc1-bc82-aa553b79523c,Yamma,Unimproved Well,water_source,unprotected_dug_well,4d3c4dba-4722-4fc1-bc82-aa553b79523c,North-Central
Functional,,Uguwan nasidi,,,,1338027301209.jpg,Yes,10.399830937385559 5.471234321594238 363.0 4.0,False,Kontagora,440,440,440.0,,No,1338027301209.jpg,water,Niger,niger_kontagora,7ec3a214-0b8e-4856-b043-d8fe0022a4a4,Kudu,Don't Know,dk,,7ec3a214-0b8e-4856-b043-d8fe0022a4a4,North-Central
Mechanical Issue,,State Lowcost,,,Stand Alone Water Point,1338021988151.jpg,No,10.390486121177673 5.465124249458313 365.0 4.0,True,Kontagora,440,440,440.0,Hand Pump,No,1338021988151.jpg,water,Niger,niger_kontagora,8edcdc31-f88d-48fc-8d52-50d49f080ac8,kudu,Borehole,water_source,borehole_tube_well,8edcdc31-f88d-48fc-8d52-50d49f080ac8,North-Central
Poorly Constructed,,Sani Ayi,,,,1338019141280.jpg,No,10.40890744 5.47283493 345.29998779296875 5.0,False,Kontagora,440,440,440.0,,No,1338019141280.jpg,water,Niger,niger_kontagora,e90cc040-3039-47c6-b7dd-2a78f61ad186,Arewa,Don't Know,dk,,e90cc040-3039-47c6-b7dd-2a78f61ad186,North-Central
Functional,,Bayan NEPA,,,Stand Alone Water Point,1338045296243.jpg,Yes,10.398634672164917 5.4650866985321045 345.0 4.0,True,Kontagora,440,440,440.0,Diesel,No,1338045296243.jpg,water,Niger,niger_kontagora,0eaf8991-20d2-4b84-8aba-c19de56e7121,Kudu,Borehole,water_source,borehole_tube_well,0eaf8991-20d2-4b84-8aba-c19de56e7121,North-Central
Poorly Constructed,,Maidubu Road,,,Stand Alone Water Point,1338116802716.jpg,No,10.40306362 5.46545145 347.8999938964844 5.0,True,Kontagora,440,440,440.0,,No,1338116802716.jpg,water,Niger,niger_kontagora,4fbb19c2-e93d-4243-bca8-f0dcb79cb906,Yamma,Borehole,water_source,borehole_tube_well,4fbb19c2-e93d-4243-bca8-f0dcb79cb906,North-Central
Functional,,tudun fulani,,,"Water Scheme, Source within 1km",1338118473352.jpg,Yes,10.395201444625854 5.549458265304565 365.0 4.0,True,Kontagora,440,440,440.0,Tap (unknown lift),No,1338118473352.jpg,water,Niger,niger_kontagora,142922dd-c3d7-4905-a172-99137cbb3184,nagwamatse,Tap,outlet,,142922dd-c3d7-4905-a172-99137cbb3184,North-Central
Functional,,Kofar Madawaki,,,,1338025872139.jpg,Yes,10.40910082 5.46950072 355.29998779296875 5.0,False,Kontagora,440,440,440.0,,No,1338025872139.jpg,water,Niger,niger_kontagora,397f6731-f6c8-477b-a879-03e25be75e6c,Arewa,Don't Know,dk,,397f6731-f6c8-477b-a879-03e25be75e6c,North-Central
Poorly Constructed,,tudunmagaji,,,Stand Alone Water Point,1338117079160.jpg,No,10.370643138885498 5.5778467655181885 371.0 4.0,False,Kontagora,440,440,440.0,,No,1338117079160.jpg,water,Niger,niger_kontagora,9ec028c6-0183-4dad-99b0-d2d5d13fe772,nagwamatse,Unimproved Well,water_source,unprotected_dug_well,9ec028c6-0183-4dad-99b0-d2d5d13fe772,North-Central
Mechanical Issue,,General Hospital,,,Stand Alone Water Point,1338042302324.jpg,No,10.398092865943909 5.448853969573975 359.0 4.0,True,Kontagora,440,440,440.0,Hand Pump,No,1338042302324.jpg,water,Niger,niger_kontagora,4d82c878-dbd2-4a7e-b4e8-847299872e19,Kudu,Borehole,water_source,borehole_tube_well,4d82c878-dbd2-4a7e-b4e8-847299872e19,North-Central
Mechanical Issue,,Usalle  Gari,,,Stand Alone Water Point,1338129050982.jpg,No,10.338858962059021 5.5684322118759155 355.0 4.0,True,Kontagora,440,440,440.0,,No,1338129050982.jpg,water,Niger,niger_kontagora,ec52cf98-2630-478f-8674-360f123f751b,Nagwamatse,Borehole,water_source,borehole_tube_well,ec52cf98-2630-478f-8674-360f123f751b,North-Central
Mechanical Issue,,State Lowcost,,,Stand Alone Water Point,1338020886249.jpg,No,10.388892889022827 5.464217662811279 356.0 4.0,True,Kontagora,440,440,440.0,Hand Pump,No,1338020886249.jpg,water,Niger,niger_kontagora,ab6044d3-8489-4c5b-868e-f39e9b456ced,Kudu,Borehole,water_source,borehole_tube_well,ab6044d3-8489-4c5b-868e-f39e9b456ced,North-Central
Functional,,a division,,,"Water Scheme, Source within 1km",1338031257921.jpg,Yes,10.403441190719604 5.477478504180908 351.0 4.0,True,Kontagora,440,440,440.0,Tap (unknown lift),No,1338031257921.jpg,water,Niger,niger_kontagora,c5e2e0ed-b2e9-4a63-9c4b-c3633ee96238,gabas,Tap,outlet,,c5e2e0ed-b2e9-4a63-9c4b-c3633ee96238,North-Central
