antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,71.47153479,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Ijeun titun health post,FALSE,healthpostdispensary,False,True,False,True,1342443668077.jpg,7.14334537 3.35923384 95.69999694824219 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Abeokuta South,8,8,8.0,False,True,True,True,False,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,1,1,1.0,0.0,0.0,0.0,False,public,False,False,1342443668077.jpg,250278,3501.7857212,True,False,False,health,True,TRUE,Ogun,False,,Others,FALSE,ogun_abeokuta_south,False,d397f885-fb83-4e29-bde0-5d519847b57a,,,d397f885-fb83-4e29-bde0-5d519847b57a,Southwest
False,71.47153479,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,Abeokuta south local govt health clinic,,primaryhealthclinic,False,True,False,True,1342258139812.jpg,7.12160572 3.31606708 67.69999694824219 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Abeokuta South,8,8,8.0,False,True,False,False,False,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,1,0,0.0,0.0,0.0,1.0,False,public,False,True,1342258139812.jpg,250278,3501.7857212,True,False,False,health,True,TRUE,Ogun,False,,Others,FALSE,ogun_abeokuta_south,False,747f4764-f117-4c95-8989-0d5d40af92af,,,747f4764-f117-4c95-8989-0d5d40af92af,Southwest
False,71.47153479,False,False,True,True,False,True,False,False,True,True,False,True,,False,FALSE,False,,,False,False,False,,,False,,True,Okeijemo. Health. Centre,TRUE,wardmodelphccentre,False,False,False,True,1342256112026.jpg,7.1650132 3.34547846 105.0 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Abeokuta South,8,8,8.0,False,True,False,True,True,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,2,0,1.0,0.0,1.0,1.0,False,public,False,True,1342256112026.jpg,250278,3501.7857212,,False,False,health,True,TRUE,Ogun,False,True,Others,FALSE,ogun_abeokuta_south,False,1c0c9252-37d6-4f00-9947-9df82283504d,,,1c0c9252-37d6-4f00-9947-9df82283504d,Southwest
False,71.47153479,False,False,False,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,Family health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1342040029088.jpg,7.13524078 3.339555 107.69999694824219 5.0,False,True,FALSE,False,True,True,False,FALSE,False,True,True,False,True,False,False,False,Abeokuta South,8,8,8.0,False,True,True,True,True,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,8,4,1.0,3.0,0.0,0.0,False,public,False,True,1342040029088.jpg,250278,3501.7857212,True,False,False,health,True,TRUE,Ogun,False,True,Others,TRUE,ogun_abeokuta_south,False,a266b1e5-c58f-4096-98e4-983b49d8f68d,,,a266b1e5-c58f-4096-98e4-983b49d8f68d,Southwest
False,71.47153479,True,True,True,True,True,False,False,False,True,True,True,False,,False,FALSE,False,,,True,True,False,True,False,False,,True,Health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1341997950970.jpg,7.17312192 3.35130873 118.5999984741211 5.0,False,True,FALSE,False,True,True,False,FALSE,True,False,True,False,True,True,False,False,Abeokuta South,8,8,8.0,False,True,True,True,True,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,4,2,1.0,1.0,6.0,1.0,False,public,False,False,1341997950970.jpg,250278,3501.7857212,,False,False,health,True,TRUE,Ogun,False,True,Others,TRUE,ogun_abeokuta_south,False,392d7501-395e-4bc3-ba04-885fb1a00f53,,,392d7501-395e-4bc3-ba04-885fb1a00f53,Southwest
False,71.47153479,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,True,Xxx,,healthpostdispensary,False,True,False,False,1342445281115.jpg,7.15234114 3.35743094 114.5999984741211 5.0,False,False,FALSE,False,,,False,FALSE,True,False,False,False,False,False,False,False,Abeokuta South,8,8,8.0,False,True,False,False,False,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,1,0,0.0,0.0,0.0,0.0,False,public,,True,1342445281115.jpg,250278,3501.7857212,True,False,False,health,False,TRUE,Ogun,False,,Others,FALSE,ogun_abeokuta_south,False,f0c82a44-f6e0-4713-903b-917a4d19cf8a,,,f0c82a44-f6e0-4713-903b-917a4d19cf8a,Southwest
False,71.47153479,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,True,False,False,,Health post center,TRUE,primaryhealthcarecentre,False,True,False,True,1342019456752.jpg,7.13949621 3.35333079 107.0 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Abeokuta South,8,8,8.0,False,True,False,True,True,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,1,1,1.0,0.0,1.0,0.0,False,public,False,True,1342019456752.jpg,250278,3501.7857212,True,False,False,health,True,TRUE,Ogun,True,True,Others,FALSE,ogun_abeokuta_south,False,ff8bbdfe-4ba0-4302-87ce-a016b3b14bc8,False,False,ff8bbdfe-4ba0-4302-87ce-a016b3b14bc8,Southwest
False,71.47153479,True,True,True,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,False,False,True,True,False,False,True,Kugba health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1342257495244.jpg,7.17228906 3.35769891 116.0999984741211 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Abeokuta South,8,8,8.0,False,True,True,True,True,False,False,False,False,False,FALSE,abeokuta_south,ogun,southwest,7,6,1.0,1.0,6.0,3.0,False,public,False,True,1342257495244.jpg,250278,3501.7857212,,False,False,health,True,TRUE,Ogun,False,True,Others,TRUE,ogun_abeokuta_south,False,6fd495e9-b73b-4164-9bcb-82efffc79e27,False,False,6fd495e9-b73b-4164-9bcb-82efffc79e27,Southwest
,71.47153479,False,True,True,,,,,,,,,,,False,FALSE,,,,False,False,,,,,,,Nosirullahi Clinic,TRUE,maternity,,True,,True,1342025318672.jpg,7.16918041 3.35405826 130.5 5.0,,,,,,,,TRUE,,,,,,,,,Abeokuta South,8,8,8.0,,False,,True,True,,,,,,,abeokuta_south,ogun,southwest,0,0,1.0,0.0,1.0,2.0,,,,,1342025318672.jpg,250278,3501.7857212,,,,health,True,,Ogun,False,True,Others,FALSE,ogun_abeokuta_south,,130af201-0016-49da-82ae-afd22ef06bef,,,130af201-0016-49da-82ae-afd22ef06bef,Southwest
,71.47153479,True,True,True,,,,,,,,,,True,True,TRUE,,,,False,True,,True,True,,,,Ebga medical center,TRUE,maternity,,,,,1341996390791.jpg,7.14778175 3.34691006 74.5999984741211 5.0,,,,,,,,TRUE,True,,,,,,,,Abeokuta South,8,8,8.0,,True,,True,True,,,,,,,abeokuta_south,ogun,southwest,2,2,4.0,1.0,5.0,2.0,,,,,1341996390791.jpg,250278,3501.7857212,,,,health,True,,Ogun,,True,Others,FALSE,ogun_abeokuta_south,,b9061dad-b06f-47af-aabc-3e9c968dda67,,,b9061dad-b06f-47af-aabc-3e9c968dda67,Southwest
