breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Omi aladie,,,Stand Alone Water Point,1341994091218.jpg,Yes,7.65765538 4.72808938 385.5 5.0,False,Ilesha-West,343,343,343.0,,No,1341994091218.jpg,water,Osun,osun_ilesha_west,93002196-74a3-4d96-86d5-2e624f32e7bb,Ward 5,Unimproved Well,water_source,unprotected_dug_well,93002196-74a3-4d96-86d5-2e624f32e7bb,Southwest
Functional,,Ibosinni,,,Stand Alone Water Point,1342000687481.jpg,Yes,7.63165612 4.7437073 417.6000061035156 5.0,False,Ilesha-West,343,343,343.0,,No,1342000687481.jpg,water,Osun,osun_ilesha_west,17380bf3-aa0e-411d-9208-53c09f6f5dbb,01,Unimproved Well,water_source,unprotected_dug_well,17380bf3-aa0e-411d-9208-53c09f6f5dbb,Southwest
Mechanical Issue,,5ibala road,,,,1342085731356.jpg,No,7.64787269 4.7459071 411.0 5.0,True,Ilesha-West,343,343,343.0,Tap (unknown lift),No,1342085731356.jpg,water,Osun,osun_ilesha_west,2dafdc5a-f443-400c-a5b6-112d78dd5cb3,Ward 5,Tap,outlet,,2dafdc5a-f443-400c-a5b6-112d78dd5cb3,Southwest
Don't Know,,igbaye,,,Stand Alone Water Point,1345819808625.jpg,No,7.6280951499938965 4.748470187187195 413.0 4.0,False,Ilesha-West,343,343,343.0,,No,1345819808625.jpg,water,Osun,osun_ilesha_west,6e65216a-ed6f-4980-9170-10623a22f201,3,Don't Know,water_source,dk,6e65216a-ed6f-4980-9170-10623a22f201,Southwest
Functional,,Oke Ese Ilesa,,,Stand Alone Water Point,1342059528359.jpg,Yes,7.62592845 4.73259611 407.70001220703125 5.0,False,Ilesha-West,343,343,343.0,,No,1342059528359.jpg,water,Osun,osun_ilesha_west,2e613cd8-e12d-435b-98af-01debdb59c81,10,Unimproved Well,water_source,unprotected_dug_well,2e613cd8-e12d-435b-98af-01debdb59c81,Southwest
Functional,,Ilaje,,,Stand Alone Water Point,1341970446914.jpg,Yes,7.63437396 4.73024667 427.79998779296875 5.0,False,Ilesha-West,343,343,343.0,,No,1341970446914.jpg,water,Osun,osun_ilesha_west,27834014-58cb-46df-a09d-e43860c4989b,7,Unimproved Well,water_source,protected_dug_well,27834014-58cb-46df-a09d-e43860c4989b,Southwest
Functional,,Odo - Iro,,,Stand Alone Water Point,1342171582331.jpg,Yes,7.6233768 4.7391044 405.8999938964844 5.0,False,Ilesha-West,343,343,343.0,,No,1342171582331.jpg,water,Osun,osun_ilesha_west,f11fbb37-3d81-4b8b-b9ac-7603d5a42126,10,Unimproved Well,water_source,protected_dug_well,f11fbb37-3d81-4b8b-b9ac-7603d5a42126,Southwest
Mechanical Issue,,Atakunmosa market,,,"Water Scheme, Source within 100m",1342092369428.jpg,No,7.62698293 4.73991463 418.8999938964844 5.0,True,Ilesha-West,343,343,343.0,Tap (unknown lift),No,1342092369428.jpg,water,Osun,osun_ilesha_west,dd2e7c89-b852-4506-b695-8727bfce6748,9,Tap,outlet,,dd2e7c89-b852-4506-b695-8727bfce6748,Southwest
Dry Well,,Enuodi Ijebujesa Street,,,Stand Alone Water Point,1342040511284.jpg,No,7.63359364 4.74838413 409.70001220703125 5.0,False,Ilesha-West,343,343,343.0,,No,1342040511284.jpg,water,Osun,osun_ilesha_west,fecda2f3-a4d3-4b30-803c-1b0f41a73d9e,02,Unimproved Well,water_source,protected_dug_well,fecda2f3-a4d3-4b30-803c-1b0f41a73d9e,Southwest
Functional,,Atakunmosa Market,,,"Water Scheme, Source within 100m",1342048511809.jpg,Yes,7.62612035 4.74098442 414.5 5.0,True,Ilesha-West,343,343,343.0,Tap (unknown lift),No,1342048511809.jpg,water,Osun,osun_ilesha_west,e9632bf2-f9a0-46a9-94d1-a178054f2d8f,9,Tap,outlet,,e9632bf2-f9a0-46a9-94d1-a178054f2d8f,Southwest
