antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,465.7959189,True,True,True,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,True,False,False,,,Comprehensive Health Care Centre,FALSE,comprehensivehealthcentre,False,,False,,1345993465403.jpg,7.48241208 4.93190598 403.79998779296875 5.0,False,False,FALSE,False,,,False,FALSE,True,True,False,False,False,False,False,False,Oriade,609,609,609.0,False,True,True,True,False,False,False,False,False,False,FALSE,oriade,osun,southwest,0,0,0.0,0.0,0.0,4.0,False,public,,True,1345993465403.jpg,148617,319.060330865,False,False,False,health,True,TRUE,Osun,,True,Others,FALSE,osun_oriade,False,ccda2b58-f310-460c-a180-7b8d7c59790c,,,ccda2b58-f310-460c-a180-7b8d7c59790c,Southwest
False,465.7959189,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Pry. Health Care Centre,TRUE,primaryhealthcarecentre,False,,False,,1346157125457.jpg,7.601192593574524 4.863488674163818 456.0 4.0,False,False,FALSE,False,True,True,False,TRUE,,False,True,False,True,False,False,False,Oriade,609,609,609.0,False,True,True,True,False,False,False,False,False,False,FALSE,oriade,osun,southwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1346157125457.jpg,148617,319.060330865,False,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_oriade,False,19efff01-b1bc-4bcb-8f94-8e9ff4139997,,,19efff01-b1bc-4bcb-8f94-8e9ff4139997,Southwest
False,465.7959189,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,0.0100088561424,1.10958617812,False,True,False,False,False,False,,,Primary Health Center Afinbiokin,,primaryhealthcarecentre,False,False,False,True,1345818904575.jpg,7.3678407 4.86852378 347.20001220703125 5.0,False,False,FALSE,False,,,False,FALSE,False,False,False,False,False,False,False,False,Oriade,609,609,341.0,False,True,True,False,False,False,False,False,False,False,FALSE,oriade,osun,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1345818904575.jpg,148617,319.060330865,True,False,False,health,False,TRUE,Osun,False,True,Others,FALSE,osun_oriade,False,d05b4582-4b98-4fdd-a2c8-80e532629d16,,,d05b4582-4b98-4fdd-a2c8-80e532629d16,Southwest
False,465.7959189,False,False,False,False,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Iloko Ijesa Health Center,TRUE,primaryhealthcarecentre,False,True,False,False,1346166858047.jpg,7.64637372 4.82011154 431.79998779296875 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Oriade,609,609,609.0,False,True,False,True,True,False,False,False,False,False,FALSE,oriade,osun,southwest,2,2,0.0,0.0,0.0,1.0,False,public,,True,1346166858047.jpg,148617,319.060330865,,False,False,health,True,TRUE,Osun,False,False,Others,FALSE,osun_oriade,False,1e4cc069-9f74-47f8-91a2-a39897a6a603,False,False,1e4cc069-9f74-47f8-91a2-a39897a6a603,Southwest
False,465.7959189,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,phc,TRUE,primaryhealthcarecentre,False,,False,,1345810419283.jpg,7.379449009895325 4.892215132713318 300.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Oriade,609,609,609.0,False,True,True,True,False,False,False,False,False,False,FALSE,oriade,osun,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1345810419283.jpg,148617,319.060330865,True,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_oriade,False,1f4fbcca-c21c-4c1c-81ad-bfa369aac1dc,,,1f4fbcca-c21c-4c1c-81ad-bfa369aac1dc,Southwest
False,465.7959189,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,True,True,Primary Health Care Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1346322486596.jpg,7.68140048 4.8136733 411.1000061035156 5.0,False,False,FALSE,False,,,False,TRUE,,True,False,False,False,False,False,False,Oriade,609,609,609.0,False,True,False,True,True,False,False,False,False,False,FALSE,oriade,osun,southwest,1,1,0.0,0.0,1.0,1.0,False,public,,True,1346322486596.jpg,148617,319.060330865,True,False,False,health,True,TRUE,Osun,False,True,Others,FALSE,osun_oriade,False,863b624f-79ba-4a68-93f5-635e4d61ecb6,False,False,863b624f-79ba-4a68-93f5-635e4d61ecb6,Southwest
False,465.7959189,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Okeinosa Comm. Health Center,TRUE,primaryhealthcarecentre,False,,False,,1346320541370.jpg,7.67859846 4.81828603 418.0 5.0,False,False,FALSE,False,False,False,False,FALSE,,True,False,False,False,False,False,False,Oriade,609,609,609.0,False,True,False,True,True,False,False,False,False,False,FALSE,oriade,osun,southwest,9,8,0.0,0.0,0.0,0.0,False,public,,True,1346320541370.jpg,148617,319.060330865,,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_oriade,False,afaaf928-81eb-4f96-a2ba-7201c932b4bf,,,afaaf928-81eb-4f96-a2ba-7201c932b4bf,Southwest
False,465.7959189,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Onikoko P.H.C.,TRUE,primaryhealthcarecentre,False,True,False,True,1345806177771.jpg,7.401319742202759 4.882006645202637 293.0 4.0,False,False,FALSE,False,,,False,TRUE,True,False,False,False,True,False,False,False,Oriade,609,609,609.0,False,True,False,True,False,False,False,False,False,False,FALSE,oriade,osun,southwest,1,1,1.0,,0.0,0.0,False,public,,True,1345806177771.jpg,148617,319.060330865,,False,False,health,True,TRUE,Osun,False,True,Others,FALSE,osun_oriade,False,2ee10d0d-c478-40d7-bf9f-7e724cb555d2,,,2ee10d0d-c478-40d7-bf9f-7e724cb555d2,Southwest
False,465.7959189,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Pry. Health Care,TRUE,primaryhealthcarecentre,False,False,False,True,1345808478005.jpg,7.400718927383423 4.87467885017395 314.0 4.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Oriade,609,609,609.0,False,True,True,True,False,False,False,False,False,False,FALSE,oriade,osun,southwest,3,3,0.0,0.0,0.0,0.0,False,public,,False,1345808478005.jpg,148617,319.060330865,True,False,False,health,False,TRUE,Osun,False,True,Others,FALSE,osun_oriade,False,1f0af49c-22b3-454f-b2e1-d93bf83927c8,,,1f0af49c-22b3-454f-b2e1-d93bf83927c8,Southwest
False,465.7959189,False,False,False,True,False,True,False,False,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Owoye Maternity Center,TRUE,primaryhealthcarecentre,False,,False,,1346244898813.jpg,7.68978686 4.81610869 411.79998779296875 5.0,False,False,FALSE,False,,,False,FALSE,,True,False,False,True,False,False,False,Oriade,609,609,609.0,False,True,False,True,True,False,False,False,False,False,FALSE,oriade,osun,southwest,5,4,0.0,0.0,0.0,0.0,False,public,,True,1346244898813.jpg,148617,319.060330865,True,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_oriade,False,f98df253-f1bd-44cf-8b81-bcf10fe3aea9,False,False,f98df253-f1bd-44cf-8b81-bcf10fe3aea9,Southwest
