breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,ALABUKE OWO,,,"Water Scheme, Source within 100m",1346241047109.jpg,Yes,7.38545728 4.12149353 198.1999969482422 5.0,True,Egbeda,180,180,180.0,Tap (unknown lift),No,1346241047109.jpg,water,Oyo,oyo_egbeda,1cb88e99-cda4-43ec-bb41-b401990929ff,9,Tap,outlet,,1cb88e99-cda4-43ec-bb41-b401990929ff,Southwest
Functional,,ABA AFA- EGBEDA,,,"Water Scheme, Source within 100m",1346240668198.jpg,Yes,7.39149296 4.11907035 219.89999389648438 5.0,True,Egbeda,180,180,180.0,Tap (unknown lift),No,1346240668198.jpg,water,Oyo,oyo_egbeda,957cde05-8b6f-44a2-bade-468298772bf2,9,Tap,outlet,,957cde05-8b6f-44a2-bade-468298772bf2,Southwest
Functional,,Wakajaye,,,Stand Alone Water Point,1345985633147.jpg,Yes,7.40834324 3.99644314 241.8000030517578 5.0,False,Egbeda,180,180,180.0,,No,1345985633147.jpg,water,Oyo,oyo_egbeda,ccd6266d-02ed-4465-a6e7-4ec8043a8c43,7,Unimproved Well,water_source,protected_dug_well,ccd6266d-02ed-4465-a6e7-4ec8043a8c43,Southwest
Don't Know,,Adeyadi,,,Stand Alone Water Point,1345977130174.jpg,No,7.418217658996582 4.099633097648621 207.0 4.0,True,Egbeda,180,180,180.0,Hand Pump,No,1345977130174.jpg,water,Oyo,oyo_egbeda,9fa57b5a-36ce-42fa-8f5c-71d073aa6891,two,Borehole,water_source,borehole_tube_well,9fa57b5a-36ce-42fa-8f5c-71d073aa6891,Southwest
Functional,,Wakajaye,,,Stand Alone Water Point,1345985331783.jpg,Yes,7.40832065 3.99565106 251.3000030517578 5.0,False,Egbeda,180,180,180.0,,No,1345985331783.jpg,water,Oyo,oyo_egbeda,1b6b7657-2d6c-4cf2-bb42-76816d14d5a7,7,Unimproved Well,water_source,protected_dug_well,1b6b7657-2d6c-4cf2-bb42-76816d14d5a7,Southwest
Functional,,awaye,,,Stand Alone Water Point,1346083191287.jpg,Yes,7.398691177368164 4.072773456573486 239.0 4.0,True,Egbeda,180,180,180.0,Hand Pump,No,1346083191287.jpg,water,Oyo,oyo_egbeda,f163d01f-a865-43a2-a817-649a284b2ebc,10,Borehole,water_source,borehole_tube_well,f163d01f-a865-43a2-a817-649a284b2ebc,Southwest
Don't Know,,isajin oyindaola,,,Stand Alone Water Point,1345901766688.jpg,No,7.44049072265625 4.115479588508606 214.0 4.0,True,Egbeda,180,180,180.0,Hand Pump,No,1345901766688.jpg,water,Oyo,oyo_egbeda,bda9ba82-4a9b-4c12-a524-52ec118ca782,two,Borehole,water_source,borehole_tube_well,bda9ba82-4a9b-4c12-a524-52ec118ca782,Southwest
Mechanical Issue,,Kumapayi,,,Stand Alone Water Point,1346079967790.jpg,No,7.41993188 4.01292436 221.8000030517578 5.0,True,Egbeda,180,180,180.0,Hand Pump,No,1346079967790.jpg,water,Oyo,oyo_egbeda,d8aa6866-af98-45d9-92dd-4566a130ced8,5,Borehole,water_source,borehole_tube_well,d8aa6866-af98-45d9-92dd-4566a130ced8,Southwest
Functional,,SLAKUA ISEBO,,,Stand Alone Water Point,1345902235743.jpg,Yes,7.39822039 3.97812235 268.8999938964844 5.0,False,Egbeda,180,180,180.0,,No,1345902235743.jpg,water,Oyo,oyo_egbeda,179d83cd-0a5d-48f2-a65e-e144b7de49cc,10,Unimproved Well,water_source,protected_dug_well,179d83cd-0a5d-48f2-a65e-e144b7de49cc,Southwest
Functional,,Abisale,,,Stand Alone Water Point,1345910821622.jpg,Yes,7.422407269477844 4.052474498748779 243.0 4.0,True,Egbeda,180,180,180.0,Hand Pump,No,1345910821622.jpg,water,Oyo,oyo_egbeda,4a826b4b-6628-4792-b7de-01edc37e3c74,three,Borehole,water_source,borehole_tube_well,4a826b4b-6628-4792-b7de-01edc37e3c74,Southwest
