antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,16.87535101,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,False,False,False,,True,BOLUWAJI COMPREHENSIVE PRIMARY HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1347109936847.jpg,7.343276739120483 3.905768394470215 216.0 4.0,False,False,FALSE,False,True,True,False,TRUE,False,True,True,False,True,False,False,False,Ibadan South East,281,281,281.0,False,False,False,True,True,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,10,7,1.0,3.0,3.0,0.0,False,public,,True,1347109936847.jpg,266046,15765.36096,True,False,False,health,True,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,048a29b8-afba-42d8-b7af-a1e6048bbfde,,,048a29b8-afba-42d8-b7af-a1e6048bbfde,Southwest
False,16.87535101,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,0.0192720707932,2.13652779197,False,True,False,False,False,False,True,True,PHC Molete,FALSE,primaryhealthcarecentre,False,True,False,True,1337766316107.jpg,7.35721252 3.88823719 220.0 5.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,True,True,False,False,Ibadan South East,281,281,282.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,9,7,0.0,0.0,0.0,0.0,False,public,,True,1337766316107.jpg,266046,15765.36096,False,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,9ac858c9-bbc1-446a-bbdb-a7238af48b3d,False,False,9ac858c9-bbc1-446a-bbdb-a7238af48b3d,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00715694719483,0.793430622097,False,False,False,,,False,,True,IYANA COURT PRIMARY CENTRE ILE TUNTUN IBADAN,FALSE,primaryhealthcarecentre,False,True,False,True,1346602707909.jpg,7.35947751 3.90421385 239.3000030517578 5.0,False,False,FALSE,False,True,False,False,FALSE,,False,False,False,False,False,False,False,Ibadan South East,281,281,282.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,4,2,0.0,0.0,0.0,0.0,False,public,,False,1346602707909.jpg,266046,15765.36096,,False,False,health,False,TRUE,Oyo,False,True,Others,TRUE,oyo_ibadan_south_east,False,b339de83-b9a7-4ee0-a412-1775d3b2946f,,,b339de83-b9a7-4ee0-a412-1775d3b2946f,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0852613283287,9.45162376075,False,True,False,False,False,False,True,True,COMPREHENSIVE HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1347358867657.jpg,7.38685374 3.82904266 199.89999389648438 5.0,False,False,FALSE,False,True,True,False,TRUE,False,False,False,False,False,False,False,False,Ibadan South East,281,281,298.0,False,True,False,True,True,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,7,3,0.0,0.0,0.0,0.0,False,public,,True,1347358867657.jpg,266046,15765.36096,,False,False,health,False,TRUE,Oyo,False,False,Others,FALSE,oyo_ibadan_south_east,False,91775597-3c8c-4f5b-ad3a-fb93316aba6e,False,False,91775597-3c8c-4f5b-ad3a-fb93316aba6e,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,False,True,,False,FALSE,False,0.00705618951619,0.782275653144,False,True,False,,,False,,True,EYIN GRAMMAR COMMUNITY HEALTH CENTRE,FALSE,healthpostdispensary,False,True,False,True,1346633217531.jpg,7.34212867 3.89408517 205.5 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Ibadan South East,281,281,282.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,3,2,0.0,0.0,1.0,0.0,False,public,,True,1346633217531.jpg,266046,15765.36096,True,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,1d668e20-ba72-45fe-a205-cd59f031e22a,,,1d668e20-ba72-45fe-a205-cd59f031e22a,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,False,True,,False,FALSE,False,0.0208322267548,2.30944849162,False,True,False,False,False,False,,,Omiyale Health Centre,FALSE,primaryhealthcarecentre,False,True,False,False,1347188753729.jpg,7.372244596481323 3.898322582244873 220.0 3.0,False,False,FALSE,False,,,False,TRUE,False,False,False,False,False,False,False,False,Ibadan South East,281,281,280.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1347188753729.jpg,266046,15765.36096,True,False,False,health,False,TRUE,Oyo,True,True,Others,FALSE,oyo_ibadan_south_east,False,93aa2952-82e8-4f49-b516-0364aced7c79,,,93aa2952-82e8-4f49-b516-0364aced7c79,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,False,True,,False,FALSE,False,0.0248347735962,2.75315102774,True,True,False,True,False,False,True,,Mapo Primary Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1347189976049.jpg,7.376487851142883 3.8976413011550903 250.0 4.0,False,False,FALSE,False,True,True,False,TRUE,True,False,True,False,True,False,False,False,Ibadan South East,281,281,280.0,False,True,False,True,True,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,6,4,0.0,0.0,0.0,0.0,False,public,,True,1347189976049.jpg,266046,15765.36096,True,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,15edd336-bdfd-4961-87df-1413a88d0520,False,False,15edd336-bdfd-4961-87df-1413a88d0520,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0032488267694,0.360172611334,False,True,False,False,False,False,,,Balaro pry health center,TRUE,primaryhealthcarecentre,False,True,False,True,1347112441853.jpg,7.35471058 3.90564093 242.5 5.0,False,False,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Ibadan South East,281,281,282.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,3,3,0.0,0.0,1.0,0.0,False,public,,True,1347112441853.jpg,266046,15765.36096,,False,False,health,True,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,6993c86b-c59e-4ba6-b824-4259ee9a4969,,,6993c86b-c59e-4ba6-b824-4259ee9a4969,Southwest
False,16.87535101,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,0.00561826934597,0.622851030835,False,True,False,False,False,False,,,ODINJO PRIMARY HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1346686804439.jpg,7.35901927 3.9130978 242.3000030517578 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,False,False,False,False,Ibadan South East,281,281,279.0,False,True,False,True,True,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,7,6,0.0,1.0,2.0,0.0,False,public,,False,1346686804439.jpg,266046,15765.36096,True,False,False,health,True,TRUE,Oyo,False,False,Others,FALSE,oyo_ibadan_south_east,False,4794cf28-f107-425e-a2ff-6af9114ed140,,,4794cf28-f107-425e-a2ff-6af9114ed140,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0192951481834,2.13908611207,False,True,False,False,False,False,True,True,Molote PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1337847864451.jpg,7.35723384 3.88822319 211.5 5.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,True,False,False,False,Ibadan South East,281,281,282.0,False,True,True,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,9,7,0.0,0.0,0.0,0.0,False,public,,True,1337847864451.jpg,266046,15765.36096,False,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,875e8783-5d61-4d41-968f-d27a62b060ce,False,False,875e8783-5d61-4d41-968f-d27a62b060ce,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0192304180265,2.13191012251,True,True,False,False,False,False,False,,Primaty Healh Care,FALSE,primaryhealthcarecentre,False,True,False,True,1337762602475.jpg,7.35722201 3.88829186 214.3000030517578 5.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,True,False,False,False,Ibadan South East,281,281,282.0,False,True,True,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,14,7,0.0,0.0,0.0,0.0,False,public,,True,1337762602475.jpg,266046,15765.36096,True,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,3452998b-f09c-4801-9275-b107f0dfafd3,False,False,3452998b-f09c-4801-9275-b107f0dfafd3,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0192532763496,2.13444421594,False,True,False,False,False,False,True,,PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1337761637890.jpg,7.3572186 3.88826296 211.39999389648438 5.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,True,False,False,False,Ibadan South East,281,281,282.0,False,True,True,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,9,7,0.0,0.0,0.0,0.0,False,public,,True,1337761637890.jpg,266046,15765.36096,False,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,098ab7f0-540e-4b97-9b13-f5e884c36e95,False,False,098ab7f0-540e-4b97-9b13-f5e884c36e95,Southwest
,16.87535101,True,True,True,,,,,,,,,,,False,FALSE,,0.00585595468802,0.649206544475,False,True,,,,,,,ORE OFE MATERNITY HOME,TRUE,maternity,,True,,False,1346635837477.jpg,7.35162046 3.9005453 225.1999969482422 5.0,,,,,,,,TRUE,,,,,,,,,Ibadan South East,281,281,282.0,,True,,True,True,,,,,,,ibadan_south_east,oyo,southwest,0,0,1.0,0.0,0.0,4.0,,,,,1346635837477.jpg,266046,15765.36096,,,,health,True,,Oyo,False,False,Others,FALSE,oyo_ibadan_south_east,,d2815202-7aff-43bf-890c-196cc416e5f8,,,d2815202-7aff-43bf-890c-196cc416e5f8,Southwest
,16.87535101,True,True,True,,,,,,,,,,False,True,FALSE,,0.0106099457139,1.17623757064,False,True,,,,,,,JESUS POWER CLINIC,TRUE,primaryhealthcarecentre,,,,,1347183458051.jpg,7.35673151 3.89814129 215.89999389648438 5.0,,,,,,,,TRUE,,,,,,,,,Ibadan South East,281,281,282.0,,True,,True,True,,,,,,,ibadan_south_east,oyo,southwest,0,0,1.0,0.0,0.0,6.0,,,,,1347183458051.jpg,266046,15765.36096,,,,health,True,,Oyo,,False,Others,FALSE,oyo_ibadan_south_east,,479ba5a4-0f27-44e3-816a-def848774b1b,,,479ba5a4-0f27-44e3-816a-def848774b1b,Southwest
False,16.87535101,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,0.00561826934597,0.622851030835,False,True,False,False,False,False,,,ODINJO PRIMARY HEALTH CENTRE,TRUE,primaryhealthcarecentre,False,True,False,True,1346686804439.jpg,7.35901927 3.9130978 242.3000030517578 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,False,False,False,False,Ibadan South East,281,281,279.0,False,True,False,True,True,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,7,6,0.0,1.0,2.0,0.0,False,public,,False,1346686804439.jpg,266046,15765.36096,True,False,False,health,True,TRUE,Oyo,False,False,Others,FALSE,oyo_ibadan_south_east,False,4794cf28-f107-425e-a2ff-6af9114ed140,,,4794cf28-f107-425e-a2ff-6af9114ed140,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,False,True,,False,FALSE,False,0.0208322267548,2.30944849162,False,True,False,False,False,False,,,Omiyale Health Centre,FALSE,primaryhealthcarecentre,False,True,False,False,1347188753729.jpg,7.372244596481323 3.898322582244873 220.0 3.0,False,False,FALSE,False,,,False,TRUE,False,False,False,False,False,False,False,False,Ibadan South East,281,281,280.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1347188753729.jpg,266046,15765.36096,True,False,False,health,False,TRUE,Oyo,True,True,Others,FALSE,oyo_ibadan_south_east,False,93aa2952-82e8-4f49-b516-0364aced7c79,,,93aa2952-82e8-4f49-b516-0364aced7c79,Southwest
,16.87535101,True,True,True,,,,,,,,,,,False,FALSE,,0.00621193959501,0.688675778929,True,True,,True,False,,,,PROSPECT MEDICAL CENTRE,TRUE,primaryhealthcarecentre,,,,,1346634614481.jpg,7.34653836 3.89710813 214.60000610351563 5.0,,,,,,,,TRUE,,,,,,,,,Ibadan South East,281,281,282.0,,True,,True,True,,,,,,,ibadan_south_east,oyo,southwest,0,0,2.0,0.0,3.0,2.0,,,,,1346634614481.jpg,266046,15765.36096,,,,health,True,,Oyo,,True,Others,FALSE,oyo_ibadan_south_east,,22bac2d5-5c7a-4c73-b0c0-64b4d9727752,,,22bac2d5-5c7a-4c73-b0c0-64b4d9727752,Southwest
,16.87535101,False,False,False,,,,,,,,,,,False,FALSE,,0.0192621561204,2.1354286498,False,True,,False,False,,,,Molete primary health center,FALSE,primaryhealthcarecentre,,True,,True,1337765157398.jpg,7.35721107 3.88824793 190.5 5.0,,,,,,,,FALSE,True,,,,,,,,Ibadan South East,281,281,282.0,,True,,True,False,,,,,,,ibadan_south_east,oyo,southwest,6,3,0.0,2.0,0.0,0.0,,,,,1337765157398.jpg,266046,15765.36096,,,,health,False,,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,,531807fb-fa69-4cdb-a574-cc969f843321,,,531807fb-fa69-4cdb-a574-cc969f843321,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0192304180265,2.13191012251,True,True,False,False,False,False,False,,Primaty Healh Care,FALSE,primaryhealthcarecentre,False,True,False,True,1337762602475.jpg,7.35722201 3.88829186 214.3000030517578 5.0,False,False,FALSE,False,True,True,False,FALSE,True,True,False,False,True,False,False,False,Ibadan South East,281,281,282.0,False,True,True,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,14,7,0.0,0.0,0.0,0.0,False,public,,True,1337762602475.jpg,266046,15765.36096,True,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,3452998b-f09c-4801-9275-b107f0dfafd3,False,False,3452998b-f09c-4801-9275-b107f0dfafd3,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0032488267694,0.360172611334,False,True,False,False,False,False,,,Balaro pry health center,TRUE,primaryhealthcarecentre,False,True,False,True,1347112441853.jpg,7.35471058 3.90564093 242.5 5.0,False,False,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Ibadan South East,281,281,282.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,3,3,0.0,0.0,1.0,0.0,False,public,,True,1347112441853.jpg,266046,15765.36096,,False,False,health,True,TRUE,Oyo,False,True,Others,FALSE,oyo_ibadan_south_east,False,6993c86b-c59e-4ba6-b824-4259ee9a4969,,,6993c86b-c59e-4ba6-b824-4259ee9a4969,Southwest
False,16.87535101,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00715694719483,0.793430622097,False,False,False,,,False,,True,IYANA COURT PRIMARY CENTRE ILE TUNTUN IBADAN,FALSE,primaryhealthcarecentre,False,True,False,True,1346602707909.jpg,7.35947751 3.90421385 239.3000030517578 5.0,False,False,FALSE,False,True,False,False,FALSE,,False,False,False,False,False,False,False,Ibadan South East,281,281,282.0,False,True,False,True,False,False,False,False,False,False,FALSE,ibadan_south_east,oyo,southwest,4,2,0.0,0.0,0.0,0.0,False,public,,False,1346602707909.jpg,266046,15765.36096,,False,False,health,False,TRUE,Oyo,False,True,Others,TRUE,oyo_ibadan_south_east,False,b339de83-b9a7-4ee0-a412-1775d3b2946f,,,b339de83-b9a7-4ee0-a412-1775d3b2946f,Southwest
