breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Isokun,,,Stand Alone Water Point,1345297934275.jpg,Yes,7.84788556 3.91536751 327.1000061035156 5.0,False,Oyo,638,638,638.0,,No,1345297934275.jpg,water,Oyo,oyo_oyo,4dd0cc20-a5c9-4dba-88cb-ea0a233cf4f9,6,Unimproved Well,water_source,protected_dug_well,4dd0cc20-a5c9-4dba-88cb-ea0a233cf4f9,Southwest
Functional,,Fatuke,,,Stand Alone Water Point,1345799389440.jpg,Yes,7.85552656 3.92585372 325.6000061035156 5.0,True,Oyo,638,638,638.0,Electric,No,1345799389440.jpg,water,Oyo,oyo_oyo,7d9ae7a5-8f48-4f3c-a2d3-98fc334f105d,8,Borehole,water_source,borehole_tube_well,7d9ae7a5-8f48-4f3c-a2d3-98fc334f105d,Southwest
Functional,,Kolobo,,,,1345312826479.jpg,Yes,7.85535963 3.92275016 311.8999938964844 5.0,True,Oyo,638,638,638.0,Tap (unknown lift),No,1345312826479.jpg,water,Oyo,oyo_oyo,11898d9e-6f37-40b2-8bc1-3c177ff9c5bd,10,Tap,outlet,,11898d9e-6f37-40b2-8bc1-3c177ff9c5bd,Southwest
Functional,,Alaka Estate,,,Stand Alone Water Point,1345796585401.jpg,Yes,7.83444785 3.91700255 322.1000061035156 5.0,False,Oyo,638,638,638.0,,No,1345796585401.jpg,water,Oyo,oyo_oyo,719c640e-48c9-4d2d-9286-c2606416a2f1,9,Unimproved Well,water_source,protected_dug_well,719c640e-48c9-4d2d-9286-c2606416a2f1,Southwest
Functional,,Erelu,,,Stand Alone Water Point,1345770935900.jpg,Yes,7.86990875 3.88048609 269.0 5.0,True,Oyo,638,638,638.0,,No,1345770935900.jpg,water,Oyo,oyo_oyo,84fc51ea-dede-496a-8328-c115b04e3216,6,Borehole,water_source,borehole_tube_well,84fc51ea-dede-496a-8328-c115b04e3216,Southwest
Functional,,gedu scheme,,,Stand Alone Water Point,1345801290443.jpg,Yes,7.854806184768677 3.9160090684890747 313.0 4.0,False,Oyo,638,638,638.0,Electric,No,1345801290443.jpg,water,Oyo,oyo_oyo,a3b5a3a8-ca58-4b9d-a69c-c68fab2dbb33,6,Unimproved Well,water_source,protected_dug_well,a3b5a3a8-ca58-4b9d-a69c-c68fab2dbb33,Southwest
Functional,,Isokun,,,Stand Alone Water Point,1345790890155.jpg,Yes,7.8477646 3.92159563 317.0 5.0,False,Oyo,638,638,638.0,,No,1345790890155.jpg,water,Oyo,oyo_oyo,59dba410-3908-4cfd-8f14-01fa5a7cd4e4,6,Unimproved Well,water_source,protected_dug_well,59dba410-3908-4cfd-8f14-01fa5a7cd4e4,Southwest
Functional,,Gboorun village,,,Stand Alone Water Point,1345868896166.jpg,Yes,7.87414885 3.81003843 286.70001220703125 5.0,True,Oyo,638,638,638.0,Hand Pump,No,1345868896166.jpg,water,Oyo,oyo_oyo,bdd9b9f6-f1a3-45e7-a5ac-11bb5e83df81,3,Borehole,water_source,borehole_tube_well,bdd9b9f6-f1a3-45e7-a5ac-11bb5e83df81,Southwest
Functional,,Akeetan Baale,,,Stand Alone Water Point,1345810795212.jpg,Yes,7.84010639 3.92229323 320.5 5.0,True,Oyo,638,638,638.0,,No,1345810795212.jpg,water,Oyo,oyo_oyo,ff7d128d-1aef-4baa-9712-558cc764df4c,9,Borehole,water_source,borehole_tube_well,ff7d128d-1aef-4baa-9712-558cc764df4c,Southwest
Poor Water Quality,,Olukotun,,,Stand Alone Water Point,1345865812214.jpg,No,7.85157702 3.80186805 268.29998779296875 5.0,False,Oyo,638,638,638.0,,No,1345865812214.jpg,water,Oyo,oyo_oyo,51867a15-87a8-40f9-8d45-b0b6f14f2d27,3,Unimproved Well,water_source,unprotected_dug_well,51867a15-87a8-40f9-8d45-b0b6f14f2d27,Southwest
Functional,,lakonu 4,,,Stand Alone Water Point,1345885960655.jpg,Yes,7.849125266075134 3.852800130844116 318.0 4.0,False,Oyo,638,638,638.0,Manual,No,1345885960655.jpg,water,Oyo,oyo_oyo,6dfd9d98-6d2b-460e-879e-ff4249930e82,3,Unimproved Well,water_source,protected_dug_well,6dfd9d98-6d2b-460e-879e-ff4249930e82,Southwest
Functional,,Pakoyi,,,Stand Alone Water Point,1345816467964.jpg,Yes,7.850804328918457 3.9259546995162964 306.0 4.0,False,Oyo,638,638,638.0,Manual,No,1345816467964.jpg,water,Oyo,oyo_oyo,cdb16bc3-5fb1-4732-8d80-8e4cc59cce8d,10,Unimproved Well,water_source,unprotected_dug_well,cdb16bc3-5fb1-4732-8d80-8e4cc59cce8d,Southwest
Functional,,Ogbeyo,,,Stand Alone Water Point,1345793100618.jpg,Yes,7.85443844 3.92425838 318.8999938964844 5.0,False,Oyo,638,638,638.0,,No,1345793100618.jpg,water,Oyo,oyo_oyo,8ec20ea2-655c-49b3-bddf-d0efe69d63cd,8,Unimproved Well,water_source,protected_dug_well,8ec20ea2-655c-49b3-bddf-d0efe69d63cd,Southwest
Functional,,"Akeetan baale, Idiose 1",,,Stand Alone Water Point,1345807723492.jpg,Yes,7.83827596 3.92221265 338.29998779296875 5.0,True,Oyo,638,638,638.0,Diesel,Yes,1345807723492.jpg,water,Oyo,oyo_oyo,f098863b-3d3a-4412-a2e5-6f54d8ab14cf,9,Borehole,water_source,borehole_tube_well,f098863b-3d3a-4412-a2e5-6f54d8ab14cf,Southwest
Functional,,"Atingisi, Akitan, Tutun",,,Stand Alone Water Point,1345795362469.jpg,Yes,7.83604935 3.91845101 327.5 5.0,True,Oyo,638,638,638.0,,No,1345795362469.jpg,water,Oyo,oyo_oyo,76ea0ae7-6791-44d4-ab56-444811ab6389,9,Borehole,water_source,borehole_tube_well,76ea0ae7-6791-44d4-ab56-444811ab6389,Southwest
