antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,969.7606397,False,True,True,False,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,True,True,MPHCC,TRUE,primaryhealthcarecentre,False,,False,,1342259082352.jpg,5.54276688 6.59640748 34.599998474121094 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ogba/Egbema/Ndoni,562,562,562.0,False,True,False,True,True,False,False,False,False,False,FALSE,ogba_egbema_ndoni,rivers,south_south,1,0,1.0,0.0,1.0,2.0,False,public,,True,1342259082352.jpg,284010,292.866083004,True,False,False,health,True,TRUE,Rivers,,True,Others,FALSE,rivers_ogba_egbema_ndoni,False,c289e266-a5c2-4bb4-93d4-445e0ed7e805,False,False,c289e266-a5c2-4bb4-93d4-445e0ed7e805,South-South
,969.7606397,True,True,True,,,,,,,,,,,False,FALSE,,,,False,True,,False,True,,,,Lacem Hospitsl and Matrenity,TRUE,primaryhealthclinic,,True,,True,1342257698627.jpg,5.36041084 6.67822917 30.399999618530273 5.0,,,,,,,,TRUE,True,,,,,,,,Ogba/Egbema/Ndoni,562,562,562.0,,True,,True,True,,,,,,,ogba_egbema_ndoni,rivers,south_south,0,0,2.0,0.0,2.0,2.0,,,,,1342257698627.jpg,284010,292.866083004,,,,health,True,,Rivers,False,True,Others,FALSE,rivers_ogba_egbema_ndoni,,1275a7cc-5573-4221-a9e5-d39502706f6f,,,1275a7cc-5573-4221-a9e5-d39502706f6f,South-South
,969.7606397,True,True,True,,,,,,,,,,True,True,TRUE,,,,True,True,,True,True,,,,Capstone Clinic,TRUE,cottagehospital,,True,,True,1342009003519.jpg,5.35135899 6.65723352 39.20000076293945 5.0,,,,,,,,TRUE,True,,,,,,,,Ogba/Egbema/Ndoni,562,562,562.0,,True,,True,True,,,,,,,ogba_egbema_ndoni,rivers,south_south,1,0,3.0,2.0,4.0,7.0,,,,,1342009003519.jpg,284010,292.866083004,,,,health,True,,Rivers,False,True,Others,FALSE,rivers_ogba_egbema_ndoni,,45d2e970-8b31-4d91-9402-300705d91303,,,45d2e970-8b31-4d91-9402-300705d91303,South-South
,969.7606397,False,False,False,,,,,,,,,,True,True,TRUE,,,,True,True,,True,True,,,,Prize medicals,TRUE,comprehensivehealthcentre,,True,,True,1342178053597.jpg,5.24047764 6.65408121 32.70000076293945 5.0,,,,,,,,TRUE,True,,,,,,,,Ogba/Egbema/Ndoni,562,562,562.0,,True,,True,True,,,,,,,ogba_egbema_ndoni,rivers,south_south,0,0,0.0,0.0,0.0,0.0,,,,,1342178053597.jpg,284010,292.866083004,,,,health,False,,Rivers,True,True,Others,TRUE,rivers_ogba_egbema_ndoni,,83ba13d2-bb5a-4162-b0f1-b80a932fbbcd,,,83ba13d2-bb5a-4162-b0f1-b80a932fbbcd,South-South
False,969.7606397,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,,Model Comprehensive Health Centre Omoku,TRUE,primaryhealthcarecentre,False,True,False,True,1342527222678.jpg,5.34827947 6.65754916 31.600000381469727 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Ogba/Egbema/Ndoni,562,562,562.0,False,True,True,True,True,False,False,False,False,False,FALSE,ogba_egbema_ndoni,rivers,south_south,40,37,1.0,,1.0,3.0,False,public,False,True,1342527222678.jpg,284010,292.866083004,True,False,False,health,True,TRUE,Rivers,False,True,Others,TRUE,rivers_ogba_egbema_ndoni,False,e3d7ab9f-f42c-4024-b0f5-b8131be580c3,,,e3d7ab9f-f42c-4024-b0f5-b8131be580c3,South-South
,969.7606397,False,False,False,,,,,,,,,,,False,FALSE,,,,False,True,,,,,,,Xxx,,primaryhealthcarecentre,,,,,1342438344700.jpg,5.66509277 6.6273164 44.099998474121094 5.0,,,,,,,,FALSE,,,,,,,,,Ogba/Egbema/Ndoni,562,562,562.0,,False,,False,False,,,,,,,ogba_egbema_ndoni,rivers,south_south,0,0,,,0.0,,,,,,1342438344700.jpg,284010,292.866083004,,,,health,False,,Rivers,,,Others,FALSE,rivers_ogba_egbema_ndoni,,df9730f7-a4d6-46da-b5a3-d9112ca03e8f,,,df9730f7-a4d6-46da-b5a3-d9112ca03e8f,South-South
False,969.7606397,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Akabta health centre,,primaryhealthcarecentre,False,,False,,1342522706429.jpg,5.23877144 6.69824457 45.599998474121094 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ogba/Egbema/Ndoni,562,562,562.0,False,True,False,False,False,False,False,False,False,False,FALSE,ogba_egbema_ndoni,rivers,south_south,5,5,0.0,1.0,0.0,0.0,False,public,,True,1342522706429.jpg,284010,292.866083004,True,False,False,health,False,TRUE,Rivers,,,Others,TRUE,rivers_ogba_egbema_ndoni,False,377d0549-59e8-4ecf-92b4-5d1aadda4f73,,,377d0549-59e8-4ecf-92b4-5d1aadda4f73,South-South
False,969.7606397,False,False,False,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,,Health Centre Idu Ogba,TRUE,primaryhealthcarecentre,False,True,False,False,1342438715217.jpg,5.23374338 6.58566728 35.70000076293945 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Ogba/Egbema/Ndoni,562,562,562.0,False,True,False,True,False,False,False,False,False,False,FALSE,ogba_egbema_ndoni,rivers,south_south,4,4,0.0,1.0,0.0,0.0,False,public,False,True,1342438715217.jpg,284010,292.866083004,True,False,False,health,False,TRUE,Rivers,False,True,Others,FALSE,rivers_ogba_egbema_ndoni,False,2b406f2a-7a37-455b-b054-c24dfa6c4c91,,,2b406f2a-7a37-455b-b054-c24dfa6c4c91,South-South
False,969.7606397,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Akabuka health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1342181424436.jpg,5.21111808 6.64135996 41.29999923706055 5.0,False,False,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Ogba/Egbema/Ndoni,562,562,562.0,False,True,False,True,True,False,False,False,False,False,FALSE,ogba_egbema_ndoni,rivers,south_south,4,3,0.0,1.0,1.0,0.0,False,public,,True,1342181424436.jpg,284010,292.866083004,True,False,False,health,False,TRUE,Rivers,False,True,Others,FALSE,rivers_ogba_egbema_ndoni,False,9c73b108-242e-49a2-8e91-9e44d2470e9e,,,9c73b108-242e-49a2-8e91-9e44d2470e9e,South-South
False,969.7606397,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,,Health CentreKreigani,TRUE,primaryhealthcarecentre,False,False,False,True,1342447654994.jpg,5.3000609 6.62443436 36.79999923706055 5.0,False,True,FALSE,False,,,False,TRUE,,True,True,False,True,False,False,False,Ogba/Egbema/Ndoni,562,562,562.0,False,True,False,True,True,False,False,False,False,False,FALSE,ogba_egbema_ndoni,rivers,south_south,3,3,0.0,0.0,0.0,0.0,False,public,False,True,1342447654994.jpg,284010,292.866083004,True,False,False,health,False,TRUE,Rivers,False,True,Others,TRUE,rivers_ogba_egbema_ndoni,False,f691a91c-486b-46b8-8149-eef3670ab24e,,,f691a91c-486b-46b8-8149-eef3670ab24e,South-South
