antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,130.1289695,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,True,True,Comprehensive Health Centre,TRUE,comprehensivehealthcentre,False,,False,,1343746252036.jpg,4.51161628 7.53414447 4.199999809265137 5.0,False,False,FALSE,False,,,False,FALSE,,True,True,False,True,True,False,False,Opobo/Nkoro,606,606,606.0,False,True,False,True,True,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,16,15,1.0,2.0,1.0,0.0,False,public,,True,1343746252036.jpg,151511,1164.31414605,,False,False,health,True,TRUE,Rivers,,True,Others,FALSE,rivers_opobo_nkoro,False,07b6597d-ee14-4069-9ca3-c0643c02c774,False,False,07b6597d-ee14-4069-9ca3-c0643c02c774,South-South
False,130.1289695,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,True,False,False,,,MODEL PRIMARY HEALTH CENTRE NKORO,TRUE,primaryhealthcarecentre,False,True,False,True,1343461423247.jpg,4.54568867 7.46945423 18.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,True,False,True,False,False,False,Opobo/Nkoro,606,606,606.0,False,True,True,True,True,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,10,10,1.0,1.0,1.0,0.0,False,public,False,False,1343461423247.jpg,151511,1164.31414605,True,False,False,health,True,TRUE,Rivers,False,True,Others,FALSE,rivers_opobo_nkoro,False,b357dd9f-1133-45cb-ae1f-9e89b756ec67,,,b357dd9f-1133-45cb-ae1f-9e89b756ec67,South-South
False,130.1289695,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,True,,Primary Health Centre,,primaryhealthcarecentre,False,,False,,1343385764909.jpg,4.52639209 7.51189459 36.29999923706055 5.0,False,False,FALSE,False,,,False,FALSE,,False,True,False,False,False,False,False,Opobo/Nkoro,606,606,606.0,False,True,False,False,False,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,6,6,0.0,2.0,0.0,0.0,False,public,,False,1343385764909.jpg,151511,1164.31414605,True,False,False,health,False,TRUE,Rivers,,True,Others,TRUE,rivers_opobo_nkoro,False,be611192-bae9-43be-b5dc-c532a320eab0,False,False,be611192-bae9-43be-b5dc-c532a320eab0,South-South
False,130.1289695,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,True,False,,True,Epellema Health Center,FALSE,primaryhealthcarecentre,False,True,False,False,1343475530162.jpg,4.49570718 7.52159069 19.5 5.0,False,False,FALSE,False,,,False,TRUE,False,False,False,False,True,True,False,False,Opobo/Nkoro,606,606,606.0,False,True,True,True,False,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,3,3,0.0,1.0,0.0,0.0,False,public,,False,1343475530162.jpg,151511,1164.31414605,True,False,False,health,False,TRUE,Rivers,False,True,Others,FALSE,rivers_opobo_nkoro,False,724e4331-42e2-417f-9940-0ef8349a7c6e,,,724e4331-42e2-417f-9940-0ef8349a7c6e,South-South
False,130.1289695,True,True,True,False,False,False,False,True,True,True,True,True,True,True,TRUE,False,,,False,True,False,True,False,False,,True,GENERAL HOPITAL OPOBO,TRUE,generalhospital,False,True,False,True,1343738650685.jpg,4.51324076 7.5286717 33.099998474121094 5.0,False,True,FALSE,False,True,True,False,TRUE,False,True,False,False,True,True,False,False,Opobo/Nkoro,606,606,606.0,False,True,False,True,True,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,0,0,1.0,0.0,6.0,5.0,False,public,False,False,1343738650685.jpg,151511,1164.31414605,True,False,False,health,True,TRUE,Rivers,False,True,Others,FALSE,rivers_opobo_nkoro,False,4f49881f-5882-492e-ae17-f9ff3f5ff78e,,,4f49881f-5882-492e-ae17-f9ff3f5ff78e,South-South
False,130.1289695,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,True,,Primary Health Centre,,primaryhealthcarecentre,False,,False,,1343385764909.jpg,4.52639209 7.51189459 36.29999923706055 5.0,False,False,FALSE,False,,,False,FALSE,,False,True,False,False,False,False,False,Opobo/Nkoro,606,606,606.0,False,True,False,False,False,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,6,6,0.0,2.0,0.0,0.0,False,public,,False,1343385764909.jpg,151511,1164.31414605,True,False,False,health,False,TRUE,Rivers,,True,Others,TRUE,rivers_opobo_nkoro,False,be611192-bae9-43be-b5dc-c532a320eab0,False,False,be611192-bae9-43be-b5dc-c532a320eab0,South-South
False,130.1289695,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,True,True,Comprehensive Health Centre,TRUE,comprehensivehealthcentre,False,,False,,1343746252036.jpg,4.51161628 7.53414447 4.199999809265137 5.0,False,False,FALSE,False,,,False,FALSE,,True,True,False,True,True,False,False,Opobo/Nkoro,606,606,606.0,False,True,False,True,True,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,16,15,1.0,2.0,1.0,0.0,False,public,,True,1343746252036.jpg,151511,1164.31414605,,False,False,health,True,TRUE,Rivers,,True,Others,FALSE,rivers_opobo_nkoro,False,07b6597d-ee14-4069-9ca3-c0643c02c774,False,False,07b6597d-ee14-4069-9ca3-c0643c02c774,South-South
False,130.1289695,False,False,False,True,False,True,False,False,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,,True,MINIMA HEALTH CENTER,TRUE,primaryhealthcarecentre,False,,False,,1343387533557.jpg,4.49892705 7.54133821 21.200000762939453 5.0,False,True,FALSE,False,,,False,FALSE,,True,True,False,True,False,False,False,Opobo/Nkoro,606,606,606.0,False,True,False,True,False,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,4,3,0.0,1.0,0.0,0.0,False,public,,False,1343387533557.jpg,151511,1164.31414605,False,False,False,health,False,TRUE,Rivers,,True,Others,FALSE,rivers_opobo_nkoro,False,63d88b8a-8a4d-4506-bbd0-9dc39f8f4f20,,,63d88b8a-8a4d-4506-bbd0-9dc39f8f4f20,South-South
False,130.1289695,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,True,False,,True,Epellema Health Center,FALSE,primaryhealthcarecentre,False,True,False,False,1343475530162.jpg,4.49570718 7.52159069 19.5 5.0,False,False,FALSE,False,,,False,TRUE,False,False,False,False,True,True,False,False,Opobo/Nkoro,606,606,606.0,False,True,True,True,False,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,3,3,0.0,1.0,0.0,0.0,False,public,,False,1343475530162.jpg,151511,1164.31414605,True,False,False,health,False,TRUE,Rivers,False,True,Others,FALSE,rivers_opobo_nkoro,False,724e4331-42e2-417f-9940-0ef8349a7c6e,,,724e4331-42e2-417f-9940-0ef8349a7c6e,South-South
False,130.1289695,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Model Health Centre Queens Town,TRUE,primaryhealthcarecentre,False,True,False,True,1343387841755.jpg,4.48330677 7.56723353 13.600000381469727 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,True,False,True,False,False,False,Opobo/Nkoro,606,606,606.0,False,True,True,True,True,False,False,False,False,False,FALSE,opobo_nkoro,rivers,south_south,6,5,0.0,1.0,0.0,1.0,False,public,False,True,1343387841755.jpg,151511,1164.31414605,True,False,False,health,True,TRUE,Rivers,False,True,Others,FALSE,rivers_opobo_nkoro,False,a88c4d50-752d-44a3-986d-ce7d5aff4fc9,,,a88c4d50-752d-44a3-986d-ce7d5aff4fc9,South-South
