access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1274.047923,False,TRUE,False,,,,formal_educ,Lanko bakari primary school,primary_only,1339679012173.jpg,,False,,8.860929608345032 11.567396521568298 540.0 4.0,False,False,primary_only,Yorro,765,765,765.0,1.24691358024691,True,yorro,taraba,northeast,FALSE,,0.0,6.0,182.0,4.0,4.0,,4.0,391.0,public,False,1339679012173.jpg,89410,70.1778939284,,False,FALSE,FALSE,Inf,30.3333333333333,Inf,45.5,,True,True,Lanko bakari primary school,education,Taraba,30.0,148,True,False,FALSE,Inf,2.14835164835165,FALSE,,taraba_yorro,1f404ed8-c3f1-409f-9dda-07ed7650aa0f,False,1f404ed8-c3f1-409f-9dda-07ed7650aa0f,Northeast
False,False,1274.047923,True,TRUE,False,,,,formal_educ,Panyala pri sch,primary_only,1339579331910.jpg,True,False,,9.01747777 11.61956126 430.5 5.0,False,False,primary_only,Yorro,765,765,765.0,0.614457831325301,False,yorro,taraba,northeast,FALSE,0.0,2.0,5.0,134.0,11.0,11.0,,3.0,172.0,public,False,1339579331910.jpg,89410,70.1778939284,,False,FALSE,FALSE,Inf,26.8,Inf,12.1818181818182,,True,True,Panyala pri sch,education,Taraba,50.0,148,False,False,TRUE,1.375,1.28358208955224,FALSE,,taraba_yorro,a0bf26e5-6435-4b89-a897-78b31affa848,False,a0bf26e5-6435-4b89-a897-78b31affa848,Northeast
False,False,1274.047923,False,FALSE,True,,,,formal_educ,Konkon nomadic goverment universal basic education school,primary_only,1339674593603.jpg,,False,,8.877816796302795 11.568260192871094 554.0 4.0,False,False,primary_only,Yorro,765,765,765.0,1.20754716981132,True,yorro,taraba,northeast,FALSE,1.0,0.0,3.0,117.0,2.0,3.0,,2.0,457.0,public,False,1339674593603.jpg,89410,70.1778939284,,False,FALSE,FALSE,3.9,39,3.9,39,,False,True,Konkon nomadic goverment universal basic education school,education,Taraba,20.0,148,True,False,FALSE,Inf,3.90598290598291,FALSE,,taraba_yorro,9d70d5c2-764c-4ed9-9849-132e8641bfc7,False,9d70d5c2-764c-4ed9-9849-132e8641bfc7,Northeast
False,False,1274.047923,True,FALSE,False,,,,formal_educ,Danvo nyaja,primary_only,1339688967689.jpg,,False,,8.917293548583984 11.556329727172852 437.0 3.0,False,False,primary_only,Yorro,765,765,765.0,1.47826086956522,True,yorro,taraba,northeast,FALSE,0.0,,5.0,171.0,4.0,5.0,,4.0,282.0,public,False,1339688967689.jpg,89410,70.1778939284,,False,FALSE,FALSE,3.42,34.2,3.42,34.2,,False,True,Danvo nyaja,education,Taraba,15.0,148,True,False,FALSE,Inf,1.64912280701754,FALSE,,taraba_yorro,3a12ba17-7c4f-40fc-a34e-087adc590bbd,False,3a12ba17-7c4f-40fc-a34e-087adc590bbd,Northeast
False,False,1274.047923,True,TRUE,False,,,,formal_educ,Wakili pugung pramary school,primary_only,1339753189300.jpg,,False,,8.943750858306885 11.534920334815979 443.0 4.0,False,False,primary_only,Yorro,765,765,765.0,1.15789473684211,True,yorro,taraba,northeast,FALSE,2.0,0.0,4.0,205.0,5.0,10.0,,3.0,652.0,public,False,1339753189300.jpg,89410,70.1778939284,,False,FALSE,FALSE,10.25,51.25,10.25,20.5,,False,True,Wakili pugung pramary school,education,Taraba,0.0,148,True,False,TRUE,Inf,3.18048780487805,FALSE,,taraba_yorro,b1d0f153-81c7-40c7-b767-be480a5bca1e,False,b1d0f153-81c7-40c7-b767-be480a5bca1e,Northeast
False,False,1274.047923,True,TRUE,False,,,,formal_educ,Zakum Primary School,primary_only,1339585545424.jpg,,False,,8.77853449 11.64175268 625.5999755859375 5.0,False,False,primary_only,Yorro,765,765,765.0,1.22033898305085,False,yorro,taraba,northeast,FALSE,0.0,,3.0,262.0,6.0,6.0,,4.0,1021.0,public,False,1339585545424.jpg,89410,70.1778939284,,False,FALSE,FALSE,Inf,87.3333333333333,Inf,43.6666666666667,,True,True,Zakum Primary School,education,Taraba,50.0,148,True,False,FALSE,Inf,3.8969465648855,FALSE,,taraba_yorro,306b25cc-d12c-45b9-bc76-8ff4809d730a,False,306b25cc-d12c-45b9-bc76-8ff4809d730a,Northeast
False,False,1274.047923,False,TRUE,False,,,,formal_educ,Kpantl kir primary school,primary_only,1339582842995.jpg,,False,,8.89701361 11.42314141 245.3000030517578 5.0,False,False,primary_only,Yorro,765,765,765.0,1.4390243902439,False,yorro,taraba,northeast,FALSE,2.0,,6.0,100.0,20.0,24.0,,16.0,105.0,public,False,1339582842995.jpg,89410,70.1778939284,,False,FALSE,FALSE,Inf,16.6666666666667,Inf,4.16666666666667,,False,False,Kpantl kir primary school,education,Taraba,50.0,148,True,False,FALSE,Inf,1.05,FALSE,,taraba_yorro,57a36ffc-fa2a-404b-bfa1-3fcfe0fae053,False,57a36ffc-fa2a-404b-bfa1-3fcfe0fae053,Northeast
False,False,1274.047923,False,FALSE,False,,,,formal_educ,Nyaja primary school,primary_only,1339682861242.jpg,,False,,8.893475532531738 11.579198241233826 511.0 4.0,False,False,primary_only,Yorro,765,765,765.0,1.05755395683453,False,yorro,taraba,northeast,FALSE,4.0,2.0,9.0,286.0,5.0,14.0,,9.0,1012.0,public,False,1339682861242.jpg,89410,70.1778939284,,False,TRUE,TRUE,14.3,31.7777777777778,14.3,20.4285714285714,,True,False,Nyaja primary school,education,Taraba,150.0,148,True,False,FALSE,Inf,3.53846153846154,FALSE,,taraba_yorro,6e314b69-c339-4684-a9a4-9582bc91ee97,False,6e314b69-c339-4684-a9a4-9582bc91ee97,Northeast
False,False,1274.047923,False,FALSE,True,,,,formal_educ,Nyaja junior day secondary school,junior_and_senior_sec,1339683944056.jpg,,False,TRUE,8.893995881080627 11.579251885414124 525.0 4.0,False,False,junior_and_senior_sec,Yorro,765,765,765.0,1.33333333333333,False,yorro,taraba,northeast,FALSE,2.0,0.0,8.0,252.0,1.0,1.0,,0.0,,public,False,1339683944056.jpg,89410,70.1778939284,,False,FALSE,FALSE,3.11111111111111,31.5,3.11111111111111,252,63,True,True,Nyaja junior day secondary school,education,Taraba,216.0,148,True,False,FALSE,Inf,,FALSE,,taraba_yorro,b628217a-0c4f-46e1-bf1b-0b274b105b00,False,b628217a-0c4f-46e1-bf1b-0b274b105b00,Northeast
False,False,1274.047923,True,TRUE,False,0.00473224135747,0.523689213292,,formal_educ,Government day junior school kassa,juniors_sec_only,1339579136139.jpg,,False,TRUE,8.812724947929382 11.643453240394592 589.0 4.0,False,False,juniors_sec_only,Yorro,765,765,772.0,1.36641221374046,True,yorro,taraba,northeast,TRUE,4.0,2.0,8.0,310.0,6.0,7.0,,4.0,1201.0,public,False,1339579136139.jpg,89410,70.1778939284,,False,TRUE,TRUE,2.1830985915493,38.75,2.1830985915493,44.2857142857143,51.6666666666667,False,True,Government day junior school kassa,education,Taraba,10.0,148,False,False,TRUE,7,3.8741935483871,FALSE,,taraba_yorro,c5e95d8d-7076-4131-ac17-477bccef38a2,False,c5e95d8d-7076-4131-ac17-477bccef38a2,Northeast
