breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Tunga,,,Stand Alone Water Point,1339575806858.jpg,Yes,12.84108205 11.51558083 340.0 5.0,True,Bosari,123,123,123.0,Diesel,No,1339575806858.jpg,water,Yobe,yobe_bosari,6eb344bc-3acd-4415-bf05-298cf9440afe,Kaliyari,Borehole,water_source,borehole_tube_well,6eb344bc-3acd-4415-bf05-298cf9440afe,Northeast
Functional,,Sabon Gari Guba,,,"Water Scheme, Source within 100m",1339691697285.jpg,Yes,12.79634429 11.39447172 358.20001220703125 5.0,True,Bosari,123,123,123.0,Tap (unknown lift),No,1339691697285.jpg,water,Yobe,yobe_bosari,74a466ad-a9f5-4d62-8ac2-8b76a2cc2d9f,Guba/Dapso,Tap,outlet,,74a466ad-a9f5-4d62-8ac2-8b76a2cc2d9f,Northeast
Functional,,Rinukunu,,,"Water Scheme, Source within 100m",1339667687296.jpg,Yes,12.84451727 11.09658268 359.5 5.0,True,Bosari,123,123,123.0,Tap (unknown lift),No,1339667687296.jpg,water,Yobe,yobe_bosari,d7b5db79-4c82-4bd4-8e04-962195ca0bf2,Garundole Jawa,Tap,outlet,,d7b5db79-4c82-4bd4-8e04-962195ca0bf2,Northeast
Mechanical Issue,,Dapchi,,,Stand Alone Water Point,1339601800593.jpg,No,12.49290276 11.48571214 362.79998779296875 5.0,True,Bosari,123,123,123.0,Solar,No,1339601800593.jpg,water,Yobe,yobe_bosari,90d72fc3-93fd-4556-b769-1d54d9b40fd8,Dapchi,Borehole,water_source,borehole_tube_well,90d72fc3-93fd-4556-b769-1d54d9b40fd8,Northeast
Mechanical Issue,,Gajiganari,,,Stand Alone Water Point,1339664893195.jpg,No,12.75571066 11.56265367 347.1000061035156 5.0,True,Bosari,123,123,123.0,Diesel,No,1339664893195.jpg,water,Yobe,yobe_bosari,4627acab-7ca1-4836-859e-4ebf04cfec65,Bayamari,Borehole,water_source,borehole_tube_well,4627acab-7ca1-4836-859e-4ebf04cfec65,Northeast
Poorly Constructed,,Gamsawa,,,Stand Alone Water Point,1339581275004.jpg,No,12.87298321723938 11.595135927200317 350.0 4.0,True,Bosari,123,123,123.0,Hand Pump,No,1339581275004.jpg,water,Yobe,yobe_bosari,b7d8cd2b-73e9-4ca2-a502-0d713701a666,Dam nawa,Borehole,water_source,borehole_tube_well,b7d8cd2b-73e9-4ca2-a502-0d713701a666,Northeast
Functional,,Mashaya,,,Stand Alone Water Point,1339684035762.jpg,Yes,12.81105871 11.28003221 375.20001220703125 3.0,True,Bosari,123,123,123.0,Diesel,No,1339684035762.jpg,water,Yobe,yobe_bosari,54376120-3846-4588-8ac5-6997721506fa,Garun Dole/Jawa,Borehole,water_source,borehole_tube_well,54376120-3846-4588-8ac5-6997721506fa,Northeast
Under Construction,,Kaliyari,,,Stand Alone Water Point,1339586973214.jpg,No,12.843795418739319 11.524486541748047 353.0 4.0,True,Bosari,123,123,123.0,Diesel,No,1339586973214.jpg,water,Yobe,yobe_bosari,e6333260-cd5e-4a6c-9003-7e6b8afc035f,Kaliyari,Borehole,water_source,borehole_tube_well,e6333260-cd5e-4a6c-9003-7e6b8afc035f,Northeast
Functional,,Dapchi (Anguwar S. Pawa),,,Stand Alone Water Point,1339599602849.jpg,Yes,12.48873636 11.4925357 364.79998779296875 5.0,True,Bosari,123,123,123.0,Diesel,No,1339599602849.jpg,water,Yobe,yobe_bosari,db6a386c-1e51-45fa-94f0-2f6a935b15ce,Dapchi,Borehole,water_source,borehole_tube_well,db6a386c-1e51-45fa-94f0-2f6a935b15ce,Northeast
Functional,,Mundibari,,,Stand Alone Water Point,1339596002254.jpg,Yes,12.880691885948181 11.40729546546936 359.0 4.0,True,Bosari,123,123,123.0,Hand Pump,No,1339596002254.jpg,water,Yobe,yobe_bosari,e1364f95-0067-47a7-a675-5815e66c4b92,Kaliyari,Borehole,water_source,borehole_tube_well,e1364f95-0067-47a7-a675-5815e66c4b92,Northeast
